coral,genotype,nubbin,Tank,Sym Status,Treatment,Tank,PAM Day 2 A,PAM Day 2 B,PAM Day 2 C,PAM Day 2 Average,PAM Day 5 A,PAM Day 5 B,PAM Day 5 C,PAM Day 5 Average,PAM Day 8 A,PAM Day 8 B,PAM Day 8 C,PAM Day 8 Average,PAM Day 11 A,PAM Day 11 B,PAM Day 11 C,PAM Day 14 A,PAM Day 14 B,PAM Day 14 C
AS3,S,3,heat_1,B,Heat,1,0.347,0.433,0.579,0.453,0.462,0.398,0.409,0.423,0.5,0.426,0.485,0.470333333,NA,NA,NA,NA,NA,NA
AO3,O,3,heat_1,B,Heat,1,0.492,0.457,0.383,0.444,0.483,0.493,0.559,0.511666667,0.396,0.433,0.474,0.434333333,NA,NA,NA,NA,NA,NA
AM2,M,2,heat_1,B,Heat,1,0.298,0.365,0.4,0.354333333,0.53,0.539,0.5,0.523,0.418,0.461,0.456,0.445,NA,NA,NA,NA,NA,NA
AJ5,J,5,heat_1,B,Heat,1,0.401,0.481,0.527,0.469666667,0.545,0.532,0.554,0.543666667,0.461,0.378,0.482,0.440333333,NA,NA,NA,NA,NA,NA
AF4,F,4,heat_1,B,Heat,1,0.31,0.47,0.491,0.423666667,0.458,0.505,0.475,0.479333333,0.522,0.516,0.49,0.509333333,NA,NA,NA,NA,NA,NA
AB3,B,3,heat_1,B,Heat,1,0.478,0.52,0.433,0.477,0.579,0.535,0.486,0.533333333,0.582,0.489,0.524,0.531666667,NA,NA,NA,NA,NA,NA
AH4,H,4,heat_1,W,Heat,1,0.403,0.347,0.426,0.392,0.491,0.541,0.576,0.536,0.491,0.459,0.45,0.466666667,NA,NA,NA,NA,NA,NA
AA2,A,2,heat_1,W,Heat,1,0.401,0.42,0.354,0.391666667,0.605,0.506,0.594,0.568333333,0.572,0.506,0.572,0.55,NA,NA,NA,NA,NA,NA
AD1,D,1,heat_1,W,Heat,1,0.433,0.394,0.378,0.401666667,0.178,0.137,0.185,0.166666667,0.309,0.339,0.415,0.354333333,NA,NA,NA,NA,NA,NA
AE5,E,5,heat_1,W,Heat,1,0.518,0.481,0.481,0.493333333,0.428,0.468,0.494,0.463333333,0.559,0.511,0.528,0.532666667,NA,NA,NA,NA,NA,NA
AS6,S,6,heat_2,B,Heat,2,0.509,0.464,0.444,0.472333333,0.392,0.414,0.343,0.383,0.441,0.423,0.435,0.433,NA,NA,NA,NA,NA,NA
