"Culture_Control.1"	"Culture_Control.1.1"	"Culture_Control.2"	"Culture_Control.2.1"	"Culture_Control.3"	"Culture_Control.3.1"	"Culture_Control.4"	"Culture_Control.4.1"	"Culture_Cool.1"	"Culture_Cool.2"	"Culture_Cool.3"	"Culture_Cool.4"	"Culture_Heat.1"	"Culture_Heat.1.1"	"Culture_Heat.2"	"Culture_Heat.2.1"	"Culture_Heat.3"	"Culture_Heat.3.1"	"Culture_Heat.4"	"Culture_Heat.4.1"	"OC4_F_B.host"	"OC4_F_B.sym"	"OC5_H_B.host"	"OC5_H_B.sym"	"OC9_C_B.host"	"OC9_C_B.sym"	"OD4_C_B.host"	"OD4_C_B.sym"	"OD5_F_B.host"	"OD5_F_B.sym"	"OD6_H_B.host"	"OD6_H_B.sym"	"OE10_F_W.host"	"OE11_C_W.host"	"OE3_H_W.host"	"OF7_C_B.host"	"OF7_C_B.sym"	"OF8_F_B.host"	"OF8_F_B.sym"	"OF9_H_B.host"	"OF9_H_B.sym"	"OH1_C_W.host"	"OH11_F_W.host"	"OH15_H_W.host"	"OI1_C_B.host"	"OI1_C_B.sym"	"OI2_F_B.host"	"OI2_F_B.sym"	"OI3_H_B.host"	"OI3_H_B.sym"	"OJ13_C_B.host"	"OJ13_C_B.sym"	"OJ14_F_B.host"	"OJ14_F_B.sym"	"OJ15_H_B.host"	"OJ15_H_B.sym"	"OL6_C_B.host"	"OL6_C_B.sym"	"OL7_F_B.host"	"OL7_F_B.sym"	"OL8_H_B.host"	"OL8_H_B.sym"	"ON4_C_W.host"	"ON5_F_W.host"	"ON6_H_W.host"	"OQ1_C_W.host"	"OQ11_H_W.host"	"OQ4_F_W.host"	"OR7_C_B.host"	"OR7_C_B.sym"	"OR8_F_B.host"	"OR8_F_B.sym"	"OR9_H_B.host"	"OR9_H_B.sym"
"ORTHOMCL4705"	148	144	74	150	59	97	69	71	90	127	165	188	146	107	137	122	71	123	78	138	37	1	9	2	16	1	14	1	64	6	17	1	25	16	17	10	1	34	0	26	6	12	14	37	65	3	49	2	15	0	39	3	60	5	7	2	29	3	32	1	13	2	30	169	11	12	19	91	14	2	44	6	12	0
"ORTHOMCL8156"	810	858	373	749	320	547	276	393	301	460	719	800	797	759	820	651	398	890	394	892	163	10	35	21	50	9	26	19	256	22	35	12	99	52	59	33	19	105	5	52	13	39	60	80	190	31	185	16	36	11	119	21	355	20	30	23	50	26	163	22	45	10	99	596	11	36	53	488	54	18	228	13	12	8
"ORTHOMCL2376.1"	574	533	495	492	273	408	309	285	145	232	309	390	554	704	518	508	319	544	321	599	6	2	2	5	5	4	9	3	11	1	9	0	11	2	11	0	4	13	2	36	4	5	5	22	19	9	15	5	5	1	6	4	6	5	1	5	6	6	9	2	9	4	3	29	12	3	30	17	7	3	5	7	10	2
"ORTHOMCL9014"	1933	2109	1328	1953	846	1493	778	1118	583	979	1364	1635	1600	2064	1645	1422	806	1658	914	1656	93	30	119	32	275	60	335	50	178	69	180	32	172	215	275	84	31	94	57	351	52	333	88	396	453	102	174	69	161	46	373	91	201	64	168	54	265	67	208	67	150	30	351	480	282	293	322	281	325	55	127	46	189	20
"ORTHOMCL2215.1"	203	217	127	168	91	142	96	106	116	134	247	235	197	134	205	215	96	223	119	242	0	1	6	1	4	3	2	1	6	5	4	5	2	2	4	0	8	3	1	10	4	1	1	13	6	5	2	3	4	1	6	1	6	7	2	3	3	3	7	4	2	3	4	22	0	1	9	11	6	2	5	1	4	2
"ORTHOMCL1830"	176	156	107	184	76	109	85	81	60	87	139	130	146	172	180	141	94	151	97	189	25	0	3	6	7	3	19	0	76	9	12	2	35	18	17	7	3	24	1	22	2	15	25	28	29	6	35	7	3	1	61	4	214	4	9	4	15	1	38	2	10	3	20	57	6	5	12	108	15	1	48	4	9	0
"ORTHOMCL3469.1"	230	207	101	219	101	143	98	119	149	201	353	271	244	92	210	151	117	211	126	209	3	5	8	7	1	7	5	2	14	9	16	3	6	4	29	1	9	2	4	27	4	3	2	17	14	14	3	9	3	3	14	5	8	5	13	7	11	7	8	14	7	0	7	19	5	4	17	15	2	2	2	16	14	2
"ORTHOMCL3632"	160	146	76	141	67	77	57	63	71	94	150	156	99	52	94	103	52	87	56	98	22	0	7	3	20	4	17	1	37	5	19	0	38	22	32	8	0	28	3	46	0	20	12	25	46	3	42	2	11	1	28	2	52	1	4	1	16	3	22	6	8	0	34	126	22	25	42	69	17	6	33	4	10	0
"ORTHOMCL1812.1"	61	97	37	86	15	74	32	35	22	30	42	46	42	61	76	44	39	76	44	47	0	3	2	7	3	4	1	1	0	3	0	2	0	2	0	0	5	0	0	0	2	0	0	4	0	2	0	1	0	0	0	3	0	2	0	7	1	5	0	1	0	1	0	0	0	0	48	0	9	2	0	3	0	0
"ORTHOMCL5488"	687	662	400	660	381	524	455	488	261	404	679	608	638	301	632	480	324	634	387	533	79	7	40	7	46	5	31	7	90	8	59	7	57	63	113	26	9	43	2	78	6	41	35	147	172	10	63	9	65	3	114	11	89	13	59	10	65	11	85	14	51	4	72	196	25	37	127	179	69	8	89	15	23	11
