"Culture_Control.1"	"Culture_Control.1.1"	"Culture_Control.2"	"Culture_Control.2.1"	"Culture_Control.3"	"Culture_Control.3.1"	"Culture_Control.4"	"Culture_Control.4.1"	"Culture_Cool.1"	"Culture_Cool.2"	"Culture_Cool.3"	"Culture_Cool.4"	"Culture_Heat.1"	"Culture_Heat.1.1"	"Culture_Heat.2"	"Culture_Heat.2.1"	"Culture_Heat.3"	"Culture_Heat.3.1"	"Culture_Heat.4"	"Culture_Heat.4.1"	"OC4_F_B.host"	"OC4_F_B.sym"	"OC5_H_B.host"	"OC5_H_B.sym"	"OC9_C_B.host"	"OC9_C_B.sym"	"OD4_C_B.host"	"OD4_C_B.sym"	"OD5_F_B.host"	"OD5_F_B.sym"	"OD6_H_B.host"	"OD6_H_B.sym"	"OE10_F_W.host"	"OE11_C_W.host"	"OE3_H_W.host"	"OF7_C_B.host"	"OF7_C_B.sym"	"OF8_F_B.host"	"OF8_F_B.sym"	"OF9_H_B.host"	"OF9_H_B.sym"	"OH1_C_W.host"	"OH11_F_W.host"	"OH15_H_W.host"	"OI1_C_B.host"	"OI1_C_B.sym"	"OI2_F_B.host"	"OI2_F_B.sym"	"OI3_H_B.host"	"OI3_H_B.sym"	"OJ13_C_B.host"	"OJ13_C_B.sym"	"OJ14_F_B.host"	"OJ14_F_B.sym"	"OJ15_H_B.host"	"OJ15_H_B.sym"	"OL6_C_B.host"	"OL6_C_B.sym"	"OL7_F_B.host"	"OL7_F_B.sym"	"OL8_H_B.host"	"OL8_H_B.sym"	"ON4_C_W.host"	"ON5_F_W.host"	"ON6_H_W.host"	"OQ1_C_W.host"	"OQ11_H_W.host"	"OQ4_F_W.host"	"OR7_C_B.host"	"OR7_C_B.sym"	"OR8_F_B.host"	"OR8_F_B.sym"	"OR9_H_B.host"	"OR9_H_B.sym"
"ORTHOMCL8561"	126	126	78	110	57	90	64	80	39	53	90	81	121	109	126	96	80	136	84	141	2	1	2	1	0	4	2	1	2	2	4	1	1	5	5	1	2	1	2	0	0	0	1	7	8	2	1	2	2	0	12	7	3	2	3	2	5	5	1	2	2	3	5	4	2	3	7	5	6	2	4	2	4	1
"ORTHOMCL902.1"	217	220	114	224	111	177	106	140	95	118	235	210	255	153	258	207	127	246	159	297	10	5	2	5	1	4	0	3	3	5	1	1	0	3	1	2	1	1	0	2	4	1	1	9	11	6	2	4	1	1	2	4	8	4	1	8	0	3	6	3	2	4	4	4	0	1	7	6	1	2	1	1	0	0
"ORTHOMCL2547.1"	173	159	122	148	65	92	83	61	61	84	112	146	122	125	117	93	48	118	60	103	5	5	0	0	4	3	1	2	19	5	2	1	16	4	3	0	1	4	2	6	6	3	5	11	9	6	14	7	7	0	11	5	12	10	0	1	3	2	10	4	0	1	4	47	0	8	5	38	9	0	4	4	2	0
"ORTHOMCL8958"	143	107	78	127	66	97	65	82	57	92	129	153	127	80	121	95	58	132	80	121	97	1	21	5	68	1	68	3	182	4	49	2	160	56	77	30	9	159	0	76	5	106	139	129	215	5	263	1	41	1	139	6	323	5	29	5	85	3	177	5	28	2	100	648	34	94	80	564	111	3	116	5	26	0
"ORTHOMCL2519.1"	149	184	80	159	59	119	50	86	50	78	142	164	141	169	132	119	57	150	51	168	0	2	0	1	3	5	10	8	0	5	8	1	4	16	46	1	3	0	2	4	2	4	0	7	15	7	0	2	5	0	35	2	10	4	24	2	14	5	2	3	3	1	12	2	2	2	9	2	9	4	1	0	5	1
"ORTHOMCL3357.1"	168	180	111	182	79	133	97	109	46	74	121	127	156	129	145	133	81	185	94	151	1	1	1	4	2	2	5	8	2	3	6	1	0	3	4	0	5	3	2	5	5	4	0	5	3	10	3	3	6	1	7	8	3	8	6	4	2	2	0	2	4	5	2	5	0	2	1	1	4	1	5	2	5	3
"ORTHOMCL944.1"	92	86	45	86	41	59	33	51	43	93	121	114	97	92	98	83	40	105	59	101	16	1	3	7	7	0	4	0	39	4	23	2	0	4	11	9	3	11	1	12	3	10	5	40	18	5	3	2	7	2	15	6	11	9	13	2	6	4	6	7	5	0	7	35	6	8	12	42	7	2	8	2	2	0
"ORTHOMCL688.1"	184	181	98	227	99	163	81	160	138	139	187	201	175	117	195	158	129	164	136	195	1146	2	504	7	445	1	543	1	2921	3	1621	0	1138	516	1414	267	2	1188	0	1038	8	526	1011	2038	2049	4	2036	6	565	2	911	2	1838	1	804	4	414	3	986	9	554	2	605	3166	353	480	1584	3372	777	1	2278	2	392	2
"ORTHOMCL1150.1"	139	135	83	114	69	104	48	80	77	99	166	156	122	91	107	105	61	102	80	119	7	1	5	4	6	3	6	3	2	7	3	1	4	6	5	6	0	4	0	15	2	12	5	25	12	3	10	3	4	1	7	3	16	4	3	4	11	4	17	3	8	0	7	28	4	7	5	15	9	2	17	1	9	1
"ORTHOMCL5547"	519	544	221	542	260	413	248	326	279	315	736	547	566	291	598	461	281	708	380	640	58	10	28	29	45	8	38	16	87	21	53	9	151	70	80	29	15	36	7	64	15	44	41	95	181	22	84	27	33	9	118	16	96	16	40	20	69	15	82	17	47	7	82	223	37	35	72	152	69	11	83	12	47	6
"ORTHOMCL5269"	675	766	304	711	272	498	287	404	186	304	517	532	493	363	491	421	229	558	265	560	126	7	80	9	103	16	38	7	86	11	65	8	47	79	76	54	6	47	4	101	7	68	26	153	198	21	106	23	50	2	180	25	111	23	71	15	133	19	98	11	74	9	183	377	38	40	93	201	115	9	170	10	26	4
"ORTHOMCL1761"	265	243	117	242	124	187	116	168	74	108	130	147	240	143	239	186	101	229	132	197	129	4	52	5	67	0	25	6	119	1	64	1	55	40	56	37	4	45	3	50	6	34	29	95	134	7	87	8	29	1	110	5	171	10	57	5	53	10	45	3	26	6	58	170	13	39	62	188	36	2	161	4	26	2
"ORTHOMCL2364.1"	75	72	24	74	44	61	30	66	26	41	57	71	87	48	60	55	33	68	42	62	12	0	10	2	23	3	14	1	37	5	10	0	19	15	12	3	1	23	0	22	2	17	10	21	40	3	23	4	18	0	26	6	26	3	4	3	11	7	14	3	17	0	17	63	12	17	16	41	12	1	9	0	7	1
"ORTHOMCL8248"	242	219	120	198	111	163	78	122	153	225	339	283	175	130	167	148	69	161	108	183	14	0	7	1	18	1	20	2	34	4	20	0	16	17	32	4	2	18	0	40	5	15	10	34	38	2	27	4	5	0	19	5	34	2	10	3	27	4	14	2	15	3	16	58	19	32	30	66	6	2	14	0	6	2
"ORTHOMCL8896"	94	121	58	110	45	88	58	64	52	58	101	111	107	70	91	72	47	95	61	107	0	0	1	2	2	3	2	2	4	5	5	3	3	3	7	4	1	2	0	11	2	1	1	2	7	4	10	1	1	1	8	6	9	4	1	3	3	4	3	2	5	2	5	35	1	0	2	13	6	1	6	2	0	1
"ORTHOMCL5221"	151	130	85	150	66	103	47	70	79	130	156	185	47	41	40	40	25	40	21	44	417	32	292	17	583	32	579	28	786	38	284	22	870	398	568	245	1	757	4	704	1	639	487	747	1006	44	819	56	298	20	777	50	657	50	234	13	359	1	576	5	313	1	1026	2063	481	546	801	1120	399	19	502	33	267	11
"ORTHOMCL2536"	69	80	64	65	31	57	38	50	47	71	112	118	65	92	83	71	30	61	43	71	2	2	9	1	19	4	7	2	5	4	5	0	5	7	12	2	3	4	0	14	0	13	9	14	21	6	4	10	10	0	19	4	7	7	2	8	4	3	8	2	3	2	1	23	8	10	15	14	7	4	4	2	14	2
"ORTHOMCL2454"	130	147	86	126	61	96	68	91	45	52	76	92	203	141	208	158	91	177	94	188	3	0	8	5	24	5	20	5	8	2	20	4	7	11	20	12	4	5	0	18	5	21	1	23	46	12	8	7	12	4	31	7	10	3	9	5	18	11	9	1	8	5	11	21	6	19	17	18	17	4	12	3	13	1
"ORTHOMCL2502.1"	199	183	146	184	77	151	83	96	91	107	179	172	171	200	168	172	106	189	112	221	5	1	6	4	27	3	17	1	29	1	6	1	18	12	16	4	2	11	1	8	4	13	14	21	49	3	40	8	8	1	15	3	21	4	6	7	14	2	26	6	7	0	27	62	6	28	14	64	15	1	28	2	13	1
"ORTHOMCL1783"	299	334	162	303	129	233	132	144	94	172	277	334	260	226	282	219	119	278	138	243	6	1	4	2	13	2	6	2	6	6	4	0	11	10	15	1	0	6	4	5	2	6	6	6	13	4	12	10	5	0	7	3	15	7	2	3	7	2	10	5	4	1	8	16	6	6	7	24	5	1	8	1	3	1
"ORTHOMCL5199"	394	412	189	344	153	251	148	162	132	206	295	316	456	422	452	366	211	457	241	463	29	2	6	7	32	6	15	3	34	12	3	4	55	16	17	12	2	87	2	43	4	25	33	26	26	12	33	7	6	3	5	11	12	8	0	7	5	11	27	8	4	1	16	45	1	52	31	170	35	2	24	1	11	6
"ORTHOMCL5593"	103	135	51	106	47	79	50	54	36	64	97	117	138	124	143	130	59	138	71	128	43	1	25	4	40	0	75	3	118	1	54	4	84	75	151	23	4	71	0	74	2	94	55	154	178	5	74	2	53	0	142	0	179	3	42	6	114	3	152	3	82	3	131	316	44	94	95	218	60	1	39	3	26	2
"ORTHOMCL8391"	117	84	64	91	56	79	49	43	63	85	152	122	58	61	62	29	33	49	49	65	89	0	4	0	49	1	39	5	235	7	25	3	86	35	35	13	3	89	3	38	0	41	51	48	77	4	148	5	22	0	61	3	266	6	15	1	29	6	116	4	15	1	43	424	20	35	30	409	24	2	108	3	8	0
"ORTHOMCL2344.1"	159	141	109	157	59	111	86	75	70	92	133	129	156	160	148	102	87	137	111	164	1	1	8	1	7	4	9	1	3	5	5	2	1	11	8	4	3	1	3	14	6	12	2	7	18	9	6	4	3	1	10	7	4	7	4	6	9	2	5	3	6	3	14	10	13	11	10	4	4	3	2	10	4	0
"ORTHOMCL1146.1"	101	108	79	75	43	90	66	62	27	43	59	67	87	59	66	70	38	66	45	86	3	5	0	0	0	1	0	2	4	4	0	2	5	0	1	0	0	4	0	1	5	1	0	0	1	4	3	5	0	2	1	2	11	2	0	3	2	3	5	3	0	2	0	28	0	3	1	11	0	2	2	1	0	0
"ORTHOMCL427.2"	149	148	84	149	55	113	72	83	110	125	185	210	147	79	146	105	80	123	73	163	48	0	25	4	18	0	26	1	72	4	47	4	28	34	24	25	2	44	3	48	0	27	19	32	108	6	44	3	26	2	74	2	105	9	34	4	53	2	61	1	32	1	43	222	26	17	50	120	32	1	99	5	13	3
"ORTHOMCL5459"	628	686	407	597	249	471	236	328	109	192	266	385	782	1022	866	771	548	868	571	961	16	5	7	8	9	11	3	10	6	11	5	13	9	12	7	2	11	8	4	5	20	3	5	4	8	25	4	16	2	5	18	16	28	16	4	11	12	20	14	5	7	10	3	29	1	5	3	19	8	8	6	6	6	8
"ORTHOMCL2229.1"	259	262	147	243	96	202	132	134	143	203	384	307	168	133	196	142	79	195	118	168	2	7	0	4	0	3	0	6	7	5	0	5	2	1	1	1	3	1	0	0	1	1	2	3	2	13	0	6	0	0	16	7	39	9	5	10	2	17	4	5	1	1	1	8	0	0	3	8	1	7	6	7	0	1
"ORTHOMCL8819"	132	145	72	136	53	84	61	63	89	124	156	182	119	96	109	97	44	106	62	138	120	3	33	2	39	3	18	0	119	5	57	1	73	47	66	71	2	68	0	68	2	34	26	100	101	6	74	4	35	2	98	4	171	2	47	1	67	2	84	2	48	2	77	298	24	34	59	287	39	6	209	2	17	2
"ORTHOMCL1768.1"	148	151	108	133	71	108	47	73	47	80	117	137	71	105	85	65	39	82	42	76	4	0	0	2	1	3	3	0	10	7	6	4	2	8	4	1	6	5	6	0	2	0	6	34	1	7	2	5	0	1	4	6	27	5	3	4	0	8	6	5	4	1	0	29	1	1	13	7	19	5	16	3	0	1
"ORTHOMCL4932"	174	192	119	196	84	142	80	98	105	148	225	248	168	144	186	149	83	175	90	194	11	3	7	3	37	2	26	2	53	4	5	1	49	22	28	3	2	44	2	25	1	23	21	12	40	6	71	8	12	1	25	3	32	3	7	1	9	4	22	3	4	3	21	97	8	34	20	47	11	2	18	2	4	1
"ORTHOMCL8993"	106	142	89	78	47	83	46	73	45	62	114	114	142	165	122	128	94	139	114	135	14	1	17	2	31	3	14	3	26	4	9	3	24	5	35	10	0	36	2	91	1	24	14	48	34	4	18	2	20	0	48	3	56	2	33	2	18	5	18	4	9	1	31	119	26	40	25	84	14	0	8	2	22	2
"ORTHOMCL8412"	146	150	70	135	66	112	60	73	63	100	124	125	178	124	222	175	86	219	110	185	2	0	1	3	2	1	4	1	5	4	7	3	3	0	6	0	2	1	0	3	5	1	0	1	8	5	4	2	3	0	6	1	2	1	3	3	2	1	4	2	3	4	6	23	1	3	5	8	5	5	6	2	2	1
"ORTHOMCL4572"	319	272	161	267	142	212	155	168	119	155	250	254	364	205	377	278	153	341	214	426	88	4	27	12	36	6	32	4	113	10	37	6	86	31	66	33	5	67	1	75	6	39	37	78	115	16	57	7	31	7	63	12	128	16	36	7	64	6	63	6	45	5	69	291	36	48	67	218	28	4	87	5	21	3
"ORTHOMCL4809"	390	381	217	394	195	313	198	206	123	170	333	374	332	213	359	314	194	346	200	391	13	3	4	7	14	7	6	6	15	6	5	9	9	10	17	6	4	4	5	8	7	12	5	15	22	15	9	11	9	5	27	17	42	8	10	12	12	7	9	5	8	4	15	49	9	12	15	35	10	1	16	8	8	2
"ORTHOMCL3258"	198	233	155	204	87	147	116	141	113	131	168	195	217	322	236	252	136	213	189	240	27	1	19	4	31	9	15	8	42	7	39	3	29	50	48	18	2	14	5	41	10	24	16	98	68	12	36	15	36	15	83	6	73	11	19	6	55	6	28	7	35	7	49	89	21	16	45	84	36	22	59	6	18	27
"ORTHOMCL1742.1"	96	112	124	110	48	92	50	55	74	86	114	120	124	167	127	106	79	119	82	141	3	1	1	0	4	3	4	3	23	4	4	2	16	6	15	6	4	14	1	11	1	5	3	18	22	1	13	7	7	2	17	1	31	6	4	0	8	3	10	5	5	1	17	56	6	4	8	32	18	3	15	1	3	0
"ORTHOMCL8375"	99	98	43	103	43	65	35	42	29	71	84	99	131	88	110	87	68	120	62	105	25	4	14	4	18	1	17	3	36	1	10	2	11	19	16	14	5	45	3	21	3	17	11	27	46	1	37	4	14	3	40	2	37	1	9	5	19	5	27	3	8	2	23	67	10	11	25	61	14	0	19	3	11	2
"ORTHOMCL8843"	152	153	74	167	91	120	79	110	82	105	164	178	162	87	161	124	101	145	102	152	29	2	21	1	27	1	21	2	24	3	23	4	25	24	17	12	5	12	0	31	4	15	5	35	41	4	19	2	8	0	54	4	45	5	15	2	16	4	27	2	14	5	37	82	15	10	28	41	15	1	27	9	9	3
"ORTHOMCL7759"	73	98	39	69	18	53	37	42	37	51	86	83	82	83	81	69	45	85	54	69	14	1	15	2	13	3	16	3	40	4	17	1	18	20	23	15	5	16	1	43	2	19	10	43	69	0	29	6	15	1	36	3	41	6	6	2	26	4	26	5	14	0	20	99	11	22	30	47	23	0	21	4	7	0
"ORTHOMCL4732"	218	218	117	215	103	163	97	117	88	150	298	245	175	107	207	150	95	182	118	187	100	3	40	3	42	2	36	2	110	6	64	8	53	52	58	44	5	55	2	64	5	35	32	87	145	10	70	4	55	1	90	4	130	7	38	1	46	3	58	3	37	1	80	264	27	28	58	174	52	7	110	6	33	2
"ORTHOMCL1751"	121	104	66	111	50	93	47	42	40	55	141	128	122	106	117	115	50	115	78	144	114	4	12	0	103	2	56	2	227	9	31	2	392	100	147	12	4	152	1	67	10	128	197	149	265	7	287	8	35	1	147	7	412	8	16	0	82	8	307	3	47	2	100	626	18	70	97	481	154	5	96	5	11	0
"ORTHOMCL4684"	161	170	90	181	66	158	78	103	111	150	211	199	213	160	192	151	105	217	97	190	26	1	26	4	56	4	45	1	60	0	47	4	26	41	54	27	1	34	1	62	1	33	24	95	78	5	48	2	31	1	110	3	75	3	23	4	40	4	33	2	43	5	32	152	10	38	42	96	47	2	41	2	23	0
"ORTHOMCL5264"	278	276	215	296	145	242	161	220	196	238	357	348	326	257	372	320	249	339	270	382	59	0	14	1	46	5	48	4	116	8	62	4	63	39	58	14	1	55	3	81	5	33	25	84	108	7	91	4	40	1	99	10	222	4	24	5	34	7	78	5	35	3	32	198	25	41	56	286	31	1	49	1	9	2
"ORTHOMCL789.1"	117	94	45	108	52	77	44	69	52	62	144	119	128	89	116	105	51	116	53	96	12	1	13	5	23	4	6	1	31	3	37	1	10	25	60	7	2	14	0	44	6	18	7	136	80	9	16	0	24	1	54	6	52	7	17	4	37	5	29	1	34	2	24	46	19	18	68	122	20	2	40	4	10	2
"ORTHOMCL9023"	92	204	57	180	32	111	31	87	28	54	66	68	80	110	89	65	34	85	28	55	3	8	4	12	10	10	7	7	2	14	8	1	3	11	10	2	18	7	3	23	5	14	1	19	20	11	11	18	1	5	20	27	7	24	3	9	17	17	7	13	7	1	13	15	12	25	18	20	9	5	5	15	3	0
"ORTHOMCL7274"	150	151	69	162	73	118	86	95	55	88	151	176	153	76	139	99	65	121	66	123	4	1	1	2	1	8	2	19	11	4	2	3	13	13	7	7	2	8	2	5	7	4	10	6	13	14	9	3	3	4	12	9	16	2	0	4	7	23	7	2	4	4	7	24	1	7	4	41	6	28	17	7	2	1
"ORTHOMCL109.1"	698	787	228	750	241	516	205	415	194	380	607	650	749	703	849	621	373	898	478	837	146	3	104	10	138	6	89	7	193	7	156	7	103	92	201	69	5	135	1	305	17	100	145	480	368	6	289	16	165	1	212	4	380	10	134	16	127	11	170	11	202	7	126	484	85	96	289	602	116	7	256	7	66	12
"ORTHOMCL298.1"	108	128	53	120	47	80	46	52	49	52	131	110	131	85	144	108	64	130	73	146	2	2	2	8	2	3	3	5	0	8	1	2	1	5	3	0	4	1	1	1	0	4	2	8	16	4	5	7	5	1	11	6	3	6	1	6	5	3	4	8	2	2	7	4	0	3	3	6	11	2	4	3	3	4
"ORTHOMCL234.1"	399	386	236	373	154	262	153	220	258	245	378	393	477	459	487	438	302	432	349	509	10	3	6	9	9	5	10	1	15	6	8	8	7	13	15	5	1	5	5	33	8	12	2	24	23	9	14	1	7	3	6	8	23	7	11	8	14	9	7	5	5	3	13	42	12	14	17	18	11	3	14	5	11	3
"ORTHOMCL3578.1"	333	339	172	366	136	243	138	227	254	355	539	498	294	154	263	212	110	243	152	291	11	3	4	6	6	2	15	1	40	6	6	5	21	8	11	4	3	20	1	28	2	13	14	21	40	13	30	4	8	0	18	3	65	4	6	3	18	6	23	5	11	2	18	108	7	16	23	47	13	3	9	5	10	2
"ORTHOMCL3305.1"	222	220	162	229	127	168	124	141	74	98	151	167	231	210	240	178	109	201	128	208	88	2	8	9	31	7	23	3	195	1	10	4	114	39	13	0	4	11	2	5	2	18	63	36	44	5	89	8	7	1	67	8	271	3	14	5	18	7	98	8	7	1	24	289	7	30	32	392	23	6	69	1	2	1
"ORTHOMCL3419.1"	214	209	100	245	100	150	84	116	171	220	282	341	218	120	213	190	119	222	131	196	12	1	3	3	4	4	1	3	15	12	2	1	4	3	1	1	2	7	1	9	4	0	3	3	6	12	2	4	0	7	4	2	10	5	2	5	1	7	5	8	2	1	6	23	1	1	3	30	3	7	15	5	0	1
"ORTHOMCL808.1"	182	210	132	220	100	152	99	143	75	111	184	170	229	189	233	183	121	232	143	260	0	3	1	6	0	4	4	6	5	5	0	1	2	0	4	0	3	5	5	1	12	2	1	3	8	20	3	11	1	3	3	9	8	10	0	9	1	7	2	7	0	7	0	13	0	1	1	4	1	7	3	5	0	5
"ORTHOMCL3325"	17	50	10	37	3	27	15	26	24	15	25	28	9	19	18	18	9	22	10	10	13	3	16	4	17	5	43	9	55	2	22	5	42	26	32	15	3	25	4	42	0	20	10	37	86	6	42	12	16	4	48	5	38	3	16	5	14	2	24	5	11	6	18	91	16	18	32	66	36	2	33	9	15	4
"ORTHOMCL7988"	273	282	149	286	110	187	124	139	144	180	238	282	282	270	316	262	149	328	159	314	165	2	42	5	111	1	56	2	262	5	64	5	150	54	70	67	7	175	1	95	4	66	71	96	162	8	179	6	36	1	133	4	369	4	59	4	85	4	218	5	51	1	119	775	28	56	77	740	62	1	262	3	17	0
"ORTHOMCL297.1"	170	136	80	175	94	111	57	83	43	73	141	112	221	110	211	164	108	266	138	216	3	2	3	2	0	0	3	2	3	4	5	0	0	1	3	1	8	3	1	3	5	2	1	4	11	9	4	3	2	4	3	7	7	3	3	8	1	5	2	4	0	3	1	14	6	2	0	7	2	1	2	4	1	2
"ORTHOMCL7995"	203	208	123	211	90	161	82	110	117	146	218	274	196	188	200	186	106	170	114	223	73	0	7	2	23	5	44	3	300	7	23	1	145	34	32	11	3	160	1	37	5	37	96	42	160	12	190	2	17	2	62	7	191	5	12	5	36	4	137	6	15	2	70	396	16	35	42	275	41	1	72	1	8	1
"ORTHOMCL8633"	136	140	120	131	59	96	95	106	88	95	276	171	137	121	140	80	70	101	81	138	53	3	10	3	13	2	18	1	70	4	27	1	47	16	35	9	3	32	1	27	2	8	16	26	49	3	32	2	15	2	61	3	89	2	34	2	22	3	53	4	16	0	24	201	7	7	28	156	6	3	69	3	2	1
"ORTHOMCL8359"	310	296	182	298	119	250	129	175	185	206	345	307	343	415	387	357	243	358	240	440	21	9	1	8	7	6	5	6	35	18	2	6	54	7	13	0	3	23	3	11	9	9	19	10	28	19	38	7	4	6	17	12	69	10	6	16	18	10	53	20	5	5	18	167	6	13	15	101	14	3	16	3	2	7
"ORTHOMCL5364"	64	83	47	63	27	38	36	41	22	33	72	62	64	54	80	47	27	62	32	66	23	1	10	1	20	0	13	1	58	6	12	0	45	20	16	10	1	22	0	20	7	25	21	28	57	2	49	3	12	2	55	4	67	6	7	5	29	1	57	2	11	0	19	112	10	9	5	73	22	1	25	3	6	0
"ORTHOMCL3353"	223	252	297	264	90	194	131	140	50	90	138	178	179	278	208	198	130	189	156	180	6	3	4	7	10	2	6	3	20	6	7	3	16	18	3	8	9	24	0	15	4	20	15	41	15	5	8	6	2	2	11	8	8	3	1	2	9	7	10	5	10	2	18	41	9	3	4	1	15	3	21	3	7	0
"ORTHOMCL1402.1"	163	168	75	175	64	100	62	72	84	99	177	198	138	133	125	106	66	130	62	132	8	5	4	12	23	23	19	21	24	19	8	8	24	13	18	11	1	22	12	26	15	21	15	40	40	34	33	14	15	8	28	37	43	38	6	9	20	19	19	26	9	9	13	44	10	13	17	39	13	17	13	12	11	4
"ORTHOMCL5474"	431	456	458	460	190	375	265	310	162	311	405	463	329	403	293	311	213	335	216	299	0	3	2	7	5	10	3	5	5	16	2	1	6	5	4	2	5	1	2	8	6	3	0	5	13	10	3	15	2	4	3	8	2	14	0	8	5	14	1	9	1	3	4	6	0	6	1	9	12	7	3	9	3	6
"ORTHOMCL8604"	186	188	99	180	70	120	89	117	83	134	224	198	260	227	236	193	109	216	147	232	12	0	5	6	14	3	29	5	67	7	18	6	27	14	51	16	0	19	2	42	4	15	7	13	57	5	52	7	14	3	65	7	82	8	12	8	18	8	23	4	15	4	24	85	17	33	34	87	30	1	27	3	18	3
"ORTHOMCL5084"	236	229	135	241	110	142	88	129	126	123	181	195	184	142	187	135	105	179	85	165	53	1	17	2	42	2	31	1	100	0	35	0	80	46	42	14	2	31	1	29	1	30	32	75	65	6	77	4	17	0	61	7	161	7	15	3	54	3	87	7	38	1	69	264	26	35	45	280	45	4	62	6	13	4
"ORTHOMCL8142"	293	332	190	352	144	240	143	192	83	183	244	296	326	350	307	287	143	321	188	310	7	2	9	3	10	4	13	5	11	12	8	4	8	8	5	4	3	7	5	23	3	5	4	14	38	15	13	9	13	4	27	14	18	5	1	5	14	12	17	4	2	4	21	60	4	14	8	17	15	10	9	5	0	0
"ORTHOMCL7535"	145	142	64	121	72	105	71	113	73	104	176	138	109	42	108	86	46	102	61	103	60	4	32	4	36	0	10	1	60	5	27	1	61	24	38	33	1	29	3	57	4	32	30	91	68	5	34	5	24	2	60	4	127	4	31	7	34	4	61	3	35	2	72	241	34	30	54	159	33	3	60	3	16	3
"ORTHOMCL3435"	117	134	74	104	58	80	59	57	32	37	92	69	99	93	91	89	61	84	52	110	24	4	5	3	16	4	3	1	5	7	11	2	9	5	10	8	5	9	3	18	2	21	5	21	46	10	19	5	14	0	42	9	60	10	8	5	25	6	25	7	11	3	7	48	1	3	4	47	13	3	23	3	4	2
"ORTHOMCL8541"	561	536	272	493	279	391	240	322	343	436	718	645	416	212	467	351	263	417	260	408	30	5	15	15	28	8	26	9	87	14	22	5	57	35	52	13	11	40	3	46	4	21	19	40	40	14	70	13	15	2	23	9	42	10	7	12	24	8	46	11	16	4	23	146	22	25	41	139	27	11	30	12	10	1
"ORTHOMCL3540.1"	121	129	73	114	46	95	62	71	70	95	145	128	126	134	146	102	67	119	85	119	1	3	0	10	1	3	1	2	1	7	0	5	0	2	0	1	10	1	0	5	3	1	2	0	10	7	1	5	0	3	6	14	8	18	0	9	0	10	2	6	0	5	2	11	0	2	4	14	0	1	2	11	0	0
"ORTHOMCL9015"	39	49	27	45	23	34	23	23	21	27	52	50	44	47	58	38	16	55	30	38	10	0	2	1	4	2	2	3	8	2	11	1	3	5	5	2	1	6	1	8	2	4	6	11	13	9	10	5	5	0	14	3	14	7	3	2	7	2	5	2	5	2	8	17	12	5	6	15	2	2	4	1	2	1
"ORTHOMCL8454"	347	312	166	288	153	239	147	211	209	258	416	347	268	297	339	271	138	288	182	276	33	3	12	8	22	10	16	12	37	21	12	4	23	24	22	22	13	24	2	40	4	32	9	58	62	12	28	14	17	3	67	13	52	14	9	14	27	10	45	15	15	6	31	128	8	13	34	89	16	8	35	9	6	9
"ORTHOMCL793.1"	17	21	8	15	9	8	8	7	5	7	3	4	19	6	7	7	7	17	3	15	4	1	1	0	2	1	8	3	8	1	10	1	1	1	1	1	1	3	4	33	2	7	0	16	49	3	5	3	16	0	45	8	9	1	15	0	30	3	1	3	6	0	7	11	4	28	37	18	2	1	2	2	5	5
"ORTHOMCL7810"	100	100	62	105	52	66	69	55	26	55	103	98	98	56	91	72	49	104	50	98	62	3	30	2	52	2	57	1	141	3	70	4	89	72	99	27	2	58	0	81	5	49	17	83	141	2	60	5	37	1	102	6	127	2	29	5	70	1	68	4	49	2	85	198	22	37	69	131	63	0	57	2	24	1
"ORTHOMCL8725"	389	425	219	396	185	302	204	226	206	225	413	373	347	190	374	257	166	363	206	319	6	5	14	7	13	6	4	12	16	10	19	6	11	3	7	12	13	19	3	30	2	2	5	16	9	14	9	13	10	2	10	11	28	10	8	10	7	9	2	8	1	5	19	50	5	3	4	10	1	5	8	8	1	1
"ORTHOMCL899.1"	224	287	137	262	85	177	78	105	42	101	107	194	251	186	252	193	125	231	114	245	3	2	3	3	5	0	4	2	2	2	6	1	5	3	3	2	4	3	1	10	3	4	2	21	13	3	2	1	7	2	3	7	18	4	1	3	9	4	5	5	4	0	9	13	4	5	7	31	5	1	5	0	3	1
"ORTHOMCL4964"	162	150	91	164	69	130	57	90	52	81	129	150	187	120	208	165	100	213	117	227	55	1	27	11	51	3	58	2	125	2	64	7	56	50	69	27	2	62	2	83	8	40	30	76	145	9	91	5	42	1	88	5	120	6	36	10	57	2	77	5	33	1	69	139	32	45	72	142	42	5	57	6	20	7
"ORTHOMCL5521"	399	455	226	426	226	328	206	255	206	239	509	412	382	374	410	342	181	465	248	440	32	6	7	14	22	8	4	14	34	13	11	9	26	13	21	7	2	15	4	24	11	19	14	41	34	21	29	19	12	4	39	7	52	6	7	6	31	7	22	7	13	1	29	130	4	9	16	63	17	17	41	6	5	7
"ORTHOMCL1421.1"	166	167	85	161	70	111	77	97	58	88	155	133	143	101	146	110	68	160	80	154	10	2	6	3	12	6	11	2	12	4	11	4	6	4	20	3	6	3	1	12	2	2	1	8	26	9	1	5	11	2	11	5	8	7	8	2	8	4	4	2	3	2	12	17	5	9	14	22	3	5	0	5	3	2
