	Oculina_OA4_S45_R1_001.fastq.trim.sam.counts	Oculina_OA5_S33_R1_001.fastq.trim.sam.counts	Oculina_OA6_S20_R1_001.fastq.trim.sam.counts	Oculina_OC4_S29_R1_001.fastq.trim.sam.counts	Oculina_OC5_S18_R1_001.fastq.trim.sam.counts	Oculina_OC9_S36_R1_001.fastq.trim.sam.counts	Oculina_OD4_S40_R1_001.fastq.trim.sam.counts	Oculina_OD5_S5_R1_001.fastq.trim.sam.counts	Oculina_OD6_S26_R1_001.fastq.trim.sam.counts	Oculina_OE10_S46_R1_001.fastq.trim.sam.counts	Oculina_OE11_S3_R1_001.fastq.trim.sam.counts	Oculina_OE3_S30_R1_001.fastq.trim.sam.counts	Oculina_OF7_S32_R1_001.fastq.trim.sam.counts	Oculina_OF8_S44_R1_001.fastq.trim.sam.counts	Oculina_OF9_S9_R1_001.fastq.trim.sam.counts	Oculina_OH11_S43_R1_001.fastq.trim.sam.counts	Oculina_OH15_S12_R1_001.fastq.trim.sam.counts	Oculina_OH1_S34_R1_001.fastq.trim.sam.counts	Oculina_OI1_S15_R1_001.fastq.trim.sam.counts	Oculina_OI2_S35_R1_001.fastq.trim.sam.counts	Oculina_OI3_S4_R1_001.fastq.trim.sam.counts	Oculina_OJ13_S11_R1_001.fastq.trim.sam.counts	Oculina_OJ14_S6_R1_001.fastq.trim.sam.counts	Oculina_OJ15_S24_R1_001.fastq.trim.sam.counts	Oculina_OK1_S38_R1_001.fastq.trim.sam.counts	Oculina_OK2_S1_R1_001.fastq.trim.sam.counts	Oculina_OK3_S31_R1_001.fastq.trim.sam.counts	Oculina_OL6_S16_R1_001.fastq.trim.sam.counts	Oculina_OL7_S2_R1_001.fastq.trim.sam.counts	Oculina_OL8_S19_R1_001.fastq.trim.sam.counts	Oculina_OM1_S10_R1_001.fastq.trim.sam.counts	Oculina_OM2_S28_R1_001.fastq.trim.sam.counts	Oculina_OM3_S23_R1_001.fastq.trim.sam.counts	Oculina_ON4_S27_R1_001.fastq.trim.sam.counts	Oculina_ON5_S13_R1_001.fastq.trim.sam.counts	Oculina_ON6_S17_R1_001.fastq.trim.sam.counts	Oculina_OO1_S7_R1_001.fastq.trim.sam.counts	Oculina_OO2_S22_R1_001.fastq.trim.sam.counts	Oculina_OP1_S42_R1_001.fastq.trim.sam.counts	Oculina_OP2_S47_R1_001.fastq.trim.sam.counts	Oculina_OP3_S37_R1_001.fastq.trim.sam.counts	Oculina_OQ11_S8_R1_001.fastq.trim.sam.counts	Oculina_OQ1_S41_R1_001.fastq.trim.sam.counts	Oculina_OQ4_S14_R1_001.fastq.trim.sam.counts	Oculina_OR7_S39_R1_001.fastq.trim.sam.counts	Oculina_OR8_S21_R1_001.fastq.trim.sam.counts	Oculina_OR9_S25_R1_001.fastq.trim.sam.counts
Sym_100168_c0_g1	0	2	0	0	1	2	0	4	0	0	2	1	0	0	1	0	3	2	3	0	1	0	0	0	0	0	1	4	2	0	4	0	3	0	1	0	0	0	1	0	0	6	0	0	1	3	0
Sym_100192_c0_g1	0	2	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0
Sym_100201_c0_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sym_100207_c0_g1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Sym_100207_c0_g2	0	2	0	1	2	1	0	0	1	0	0	0	0	0	3	0	1	3	5	2	0	1	0	2	0	0	0	1	5	0	1	0	3	0	0	1	0	0	1	0	0	0	0	5	0	2	0
Sym_100213_c0_g1	0	0	0	2	3	1	5	7	2	1	5	1	7	1	3	1	3	2	5	10	1	7	6	3	0	0	1	4	3	1	4	2	10	1	0	0	1	0	1	0	2	4	0	10	4	3	1
Sym_100228_c1_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sym_100230_c0_g1	1	9	11	6	15	12	11	16	9	2	17	10	11	4	9	2	17	14	22	20	8	14	16	20	2	0	2	20	17	8	28	2	27	3	2	1	0	0	2	0	11	16	3	21	7	11	4
Sym_100230_c0_g3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Sym_100232_c0_g1	0	3	0	0	2	1	1	1	1	1	0	0	0	1	0	0	2	1	5	3	0	1	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	1	0	2	0
Sym_100232_c0_g2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sym_100246_c0_g1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	2	1	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	4	0	1	0
Sym_100246_c0_g3	0	19	17	7	10	16	12	11	9	3	15	9	8	3	9	6	18	13	9	23	6	8	8	30	2	2	4	12	10	9	9	3	18	1	5	2	2	0	3	1	15	17	1	18	11	4	6
Sym_100252_c0_g1	0	0	0	0	1	2	0	0	0	1	1	0	0	1	1	0	2	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0
Sym_100267_c0_g2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Sym_100267_c0_g3	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Sym_100278_c0_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sym_100304_c0_g2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sym_100317_c0_g1	0	4	0	0	2	1	0	1	1	2	2	0	1	0	4	0	1	0	1	2	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0
Sym_100317_c0_g2	0	3	0	1	1	0	1	3	2	0	2	1	0	0	2	0	0	3	0	1	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0
Sym_100330_c0_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sym_100339_c0_g1	1	3	4	0	2	1	1	2	4	2	0	1	1	1	1	1	3	2	4	3	0	4	4	3	1	0	1	3	0	0	2	4	4	0	1	0	0	0	1	0	4	5	0	4	2	4	0
Sym_100341_c0_g1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sym_100346_c0_g1	0	7	10	1	6	7	1	4	1	0	4	7	4	0	2	0	11	4	6	2	1	10	5	6	0	0	0	6	1	2	9	1	21	1	0	0	0	1	2	0	3	8	0	7	6	1	3
Sym_100365_c0_g2	0	4	1	1	2	0	2	1	2	0	0	2	1	0	1	1	3	1	3	2	1	0	1	2	0	0	0	2	4	0	1	0	6	0	0	0	0	0	0	0	3	1	0	3	3	0	0
Sym_100382_c0_g5	0	9	2	5	1	6	7	8	3	0	5	6	2	1	5	2	7	7	4	7	2	5	7	4	0	0	1	4	6	4	5	4	5	1	1	0	0	0	0	1	3	5	0	4	5	7	0
