	Culture_Control-1-1.fastq.trim.sam.counts	Culture_Control-1.fastq.trim.sam.counts	Culture_Control-2-1.fastq.trim.sam.counts	Culture_Control-2.fastq.trim.sam.counts	Culture_Control-3-1.fastq.trim.sam.counts	Culture_Control-3.fastq.trim.sam.counts	Culture_Control-4-1.fastq.trim.sam.counts	Culture_Control-4.fastq.trim.sam.counts	Culture_Cool-1.fastq.trim.sam.counts	Culture_Cool-2.fastq.trim.sam.counts	Culture_Cool-3.fastq.trim.sam.counts	Culture_Cool-4.fastq.trim.sam.counts	Culture_Heat-1-1.fastq.trim.sam.counts	Culture_Heat-1.fastq.trim.sam.counts	Culture_Heat-2-1.fastq.trim.sam.counts	Culture_Heat-2.fastq.trim.sam.counts	Culture_Heat-3-1.fastq.trim.sam.counts	Culture_Heat-3.fastq.trim.sam.counts	Culture_Heat-4-1.fastq.trim.sam.counts	Culture_Heat-4.fastq.trim.sam.counts	Oculina_OA4_S45_R1_001.fastq.trim.sam.counts	Oculina_OA5_S33_R1_001.fastq.trim.sam.counts	Oculina_OA6_S20_R1_001.fastq.trim.sam.counts	Oculina_OC4_S29_R1_001.fastq.trim.sam.counts	Oculina_OC5_S18_R1_001.fastq.trim.sam.counts	Oculina_OC9_S36_R1_001.fastq.trim.sam.counts	Oculina_OD4_S40_R1_001.fastq.trim.sam.counts	Oculina_OD5_S5_R1_001.fastq.trim.sam.counts	Oculina_OD6_S26_R1_001.fastq.trim.sam.counts	Oculina_OE10_S46_R1_001.fastq.trim.sam.counts	Oculina_OE11_S3_R1_001.fastq.trim.sam.counts	Oculina_OE3_S30_R1_001.fastq.trim.sam.counts	Oculina_OF7_S32_R1_001.fastq.trim.sam.counts	Oculina_OF8_S44_R1_001.fastq.trim.sam.counts	Oculina_OF9_S9_R1_001.fastq.trim.sam.counts	Oculina_OH11_S43_R1_001.fastq.trim.sam.counts	Oculina_OH15_S12_R1_001.fastq.trim.sam.counts	Oculina_OH1_S34_R1_001.fastq.trim.sam.counts	Oculina_OI1_S15_R1_001.fastq.trim.sam.counts	Oculina_OI2_S35_R1_001.fastq.trim.sam.counts	Oculina_OI3_S4_R1_001.fastq.trim.sam.counts	Oculina_OJ13_S11_R1_001.fastq.trim.sam.counts	Oculina_OJ14_S6_R1_001.fastq.trim.sam.counts	Oculina_OJ15_S24_R1_001.fastq.trim.sam.counts	Oculina_OK1_S38_R1_001.fastq.trim.sam.counts	Oculina_OK2_S1_R1_001.fastq.trim.sam.counts	Oculina_OK3_S31_R1_001.fastq.trim.sam.counts	Oculina_OL6_S16_R1_001.fastq.trim.sam.counts	Oculina_OL7_S2_R1_001.fastq.trim.sam.counts	Oculina_OL8_S19_R1_001.fastq.trim.sam.counts	Oculina_OM1_S10_R1_001.fastq.trim.sam.counts	Oculina_OM2_S28_R1_001.fastq.trim.sam.counts	Oculina_OM3_S23_R1_001.fastq.trim.sam.counts	Oculina_ON4_S27_R1_001.fastq.trim.sam.counts	Oculina_ON5_S13_R1_001.fastq.trim.sam.counts	Oculina_ON6_S17_R1_001.fastq.trim.sam.counts	Oculina_OO1_S7_R1_001.fastq.trim.sam.counts	Oculina_OO2_S22_R1_001.fastq.trim.sam.counts	Oculina_OP1_S42_R1_001.fastq.trim.sam.counts	Oculina_OP2_S47_R1_001.fastq.trim.sam.counts	Oculina_OP3_S37_R1_001.fastq.trim.sam.counts	Oculina_OQ11_S8_R1_001.fastq.trim.sam.counts	Oculina_OQ1_S41_R1_001.fastq.trim.sam.counts	Oculina_OQ4_S14_R1_001.fastq.trim.sam.counts	Oculina_OR7_S39_R1_001.fastq.trim.sam.counts	Oculina_OR8_S21_R1_001.fastq.trim.sam.counts	Oculina_OR9_S25_R1_001.fastq.trim.sam.counts	
BPSG_2051	0	1	1	0	0	0	0	0	1	1	0	2	1	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
BPSG_20510	380	382	393	197	274	152	187	132	64	119	133	185	396	459	392	484	426	229	414	200	0	3	3	0	3	0	1	2	6	2	4	0	3	0	3	1	1	1	0	5	0	2	4	6	0	0	1	1	4	1	7	2	2	0	0	1	0	0	0	0	2	5	0	2	3	3	2	
BPSG_20539	5	3	4	2	2	1	7	5	4	0	5	8	5	1	5	2	3	2	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
BPSG_20542	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_20553	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_20564	2109	1933	1953	1328	1493	846	1118	778	583	979	1364	1635	2064	1600	1422	1645	1658	806	1656	914	2	87	48	30	32	60	50	69	32	33	76	65	31	57	52	18	84	70	102	69	46	91	64	54	22	14	22	67	67	30	68	32	75	49	45	22	66	28	73	28	37	46	41	85	55	46	20	
BPSG_20569	7	5	6	4	2	2	3	3	3	3	5	3	0	9	1	5	4	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
BPSG_20577	3	13	9	7	11	2	1	0	7	11	17	30	8	9	7	8	10	9	6	5	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	2	0	1	0	
BPSG_20587	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_206	1	1	2	0	0	0	0	0	0	0	1	1	3	3	2	2	1	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_20601	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
BPSG_20645	8	14	4	5	7	3	5	3	2	4	9	5	2	4	1	1	2	3	3	1	0	0	1	1	2	0	1	4	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	2	0	0	1	1	0	1	0	0	0	0	0	2	0	0	2	0	3	0	
BPSG_20655	114	84	84	81	59	37	52	46	24	45	69	62	158	141	121	150	149	61	136	68	0	5	5	1	2	0	1	2	4	3	3	0	3	0	0	1	4	2	1	0	1	1	4	1	0	1	0	1	1	0	0	0	5	0	0	0	0	0	0	0	3	0	0	3	1	2	2	
BPSG_20656	89	63	66	41	55	31	36	27	47	52	103	123	30	37	28	36	37	14	40	25	0	0	0	0	1	0	4	1	1	1	0	1	1	0	1	2	2	1	1	0	1	2	0	1	0	1	0	1	2	0	2	1	2	0	1	0	0	0	0	0	0	0	0	4	2	1	0	
BPSG_20671	0	1	1	0	1	0	0	2	2	9	6	10	1	2	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
BPSG_20672	85	101	88	60	67	39	42	37	60	72	110	113	49	75	59	65	58	28	55	44	0	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	2	0	1	0	0	2	2	0	1	1	1	0	0	0	0	0	1	0	0	1	0	3	0	1	0	
BPSG_20763	74	72	90	48	63	36	42	40	59	90	141	114	52	92	86	100	109	52	87	73	0	0	2	1	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	1	2	1	2	2	0	0	0	1	1	2	0	2	6	0	0	0	0	0	0	0	2	2	0	0	0	1	0	
BPSG_20785	28	28	34	23	28	8	12	14	36	51	58	59	36	42	28	36	50	28	47	23	0	1	1	0	0	1	1	4	0	1	0	0	0	1	0	1	1	1	0	4	1	1	1	0	0	0	0	0	5	4	3	0	0	0	0	0	0	0	0	0	1	1	0	2	1	1	0	
BPSG_20844	248	270	284	192	240	129	172	167	179	208	371	324	181	198	181	227	197	136	212	134	0	8	7	6	4	2	4	12	3	9	10	6	5	1	8	3	5	10	10	14	0	14	10	11	1	0	1	6	7	3	12	5	13	1	0	2	0	1	3	1	5	5	0	15	3	6	1	
BPSG_20857	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
BPSG_20859	65	79	72	36	49	29	58	38	37	32	66	73	63	94	90	87	80	53	73	58	0	3	0	2	4	1	1	3	1	2	2	3	3	0	4	0	1	2	4	1	0	3	2	4	0	0	0	1	3	1	3	0	6	0	0	1	0	0	0	0	0	2	0	6	2	2	0	
BPSG_20871	22	40	35	11	25	13	17	12	35	33	39	48	17	27	25	24	32	9	32	18	0	0	4	3	0	0	1	2	1	0	1	0	2	0	0	1	3	0	3	0	0	1	4	0	0	0	0	2	0	1	0	2	1	0	0	0	0	0	2	0	2	0	0	2	1	4	1	
BPSG_20887	1	0	0	1	1	0	0	0	6	5	9	7	1	2	2	3	4	1	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_20889	4	9	8	3	5	2	4	0	7	7	6	7	3	6	0	6	6	1	6	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_20892	18	18	16	6	8	4	8	9	3	9	10	9	8	5	5	3	7	2	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
BPSG_20896	207	230	219	101	143	101	119	98	149	201	353	271	92	244	151	210	211	117	209	126	0	10	6	5	7	7	2	9	3	3	4	7	9	4	4	3	10	6	14	9	3	5	5	7	1	1	2	7	14	0	6	6	21	2	0	0	0	0	1	1	2	12	0	10	2	16	2	
BPSG_20926	4	5	11	7	8	2	8	4	6	5	10	2	3	14	10	1	2	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_20931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	7	1	1	2	1	0	2	0	0	0	1	0	0	
BPSG_20940	46	41	42	29	38	21	18	18	18	50	61	86	37	42	32	36	39	30	40	23	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	1	2	1	0	1	0	0	1	2	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	2	0	2	0	1	0	
BPSG_2095	0	3	1	0	0	0	1	0	0	0	4	5	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_20954	8	7	12	3	9	2	5	3	7	1	15	10	3	3	3	7	5	3	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
BPSG_20983	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_21	14	12	9	21	11	5	4	6	4	4	9	8	8	7	4	8	12	3	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_21006	33	38	46	27	33	16	26	17	31	41	47	75	38	52	28	55	40	23	53	26	0	0	0	1	3	2	2	1	0	1	2	2	2	1	2	0	2	0	1	0	1	2	6	2	0	0	0	3	1	2	0	1	3	0	0	0	0	0	1	0	4	0	0	2	0	4	0	
BPSG_2101	77	70	73	30	50	37	53	31	20	24	50	40	44	75	57	86	48	31	61	42	0	2	2	0	1	0	0	1	2	2	1	0	3	0	0	0	3	3	0	1	2	1	2	1	0	0	0	0	1	1	0	1	3	1	0	1	0	1	1	0	0	1	0	0	0	0	0	
BPSG_21057	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_21067	11	21	10	10	16	4	9	10	14	4	12	14	30	39	31	37	24	11	32	24	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_21068	363	381	367	264	254	172	192	212	222	267	503	462	364	349	278	342	325	189	358	208	0	15	4	8	4	5	4	7	1	2	8	1	8	1	4	3	10	6	16	14	2	11	13	3	0	0	0	12	11	3	10	4	14	0	0	0	0	0	2	1	9	9	0	15	2	6	3	
BPSG_21076	4	10	4	0	8	1	4	3	3	2	9	7	6	6	3	1	1	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_21109	100	98	90	89	78	44	61	44	49	75	101	130	105	68	82	84	86	45	93	37	0	0	2	0	0	3	2	3	1	4	3	2	2	1	1	1	0	1	4	7	1	4	4	2	0	0	0	1	6	1	2	3	1	1	0	0	0	0	2	0	1	1	0	7	1	3	2	
BPSG_21150	4	5	4	2	0	6	3	2	12	17	19	20	7	6	3	3	4	2	4	1	2	81	160	68	53	84	105	55	67	6	78	37	49	44	83	42	159	50	385	269	137	126	37	18	28	15	14	151	60	164	205	33	64	152	223	9	66	26	76	66	30	70	11	50	218	86	49	
BPSG_21164	6	6	8	2	2	4	3	10	9	4	13	3	2	7	3	10	7	3	3	3	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	
BPSG_21169	62	90	80	59	45	39	44	42	27	25	35	28	57	92	58	67	83	38	79	38	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	1	4	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_21180	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_2120	0	0	2	0	2	0	3	0	1	1	0	1	3	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_21201	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_21215	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_21226	16	13	16	8	10	4	9	6	9	8	8	12	8	11	10	9	8	10	16	3	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
BPSG_21230	51	60	49	36	40	24	23	28	30	46	51	75	55	56	60	78	57	29	63	35	0	1	0	0	2	1	1	0	0	1	0	4	0	0	1	0	0	0	0	0	1	0	1	3	0	0	0	0	1	0	3	0	1	0	0	0	0	0	1	0	2	6	0	4	1	4	1	
BPSG_21245	4	6	11	1	3	2	2	4	4	3	6	9	1	2	4	9	8	1	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_21251	24	35	30	18	20	11	23	9	9	16	24	37	25	29	33	31	38	10	36	21	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_21264	43	29	19	20	15	11	18	14	12	23	24	28	47	52	52	56	56	30	63	36	0	5	0	0	4	0	0	1	0	0	1	1	0	0	0	1	1	0	2	1	0	1	2	1	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	
BPSG_21277	39	32	29	24	15	8	16	13	18	15	25	35	38	32	30	41	38	16	53	30	0	0	2	1	0	0	1	0	0	0	0	2	1	0	1	0	0	1	1	1	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	
BPSG_21278	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_21288	4	8	5	1	5	0	1	2	3	6	8	4	2	11	5	9	8	13	13	7	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_21289	2	0	0	1	0	0	0	1	3	3	4	2	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_21294	103	78	84	82	59	36	78	70	36	50	96	65	101	80	65	80	60	36	83	52	0	1	1	1	1	0	1	0	0	0	0	0	0	3	0	1	1	4	2	1	0	0	2	2	0	0	0	0	1	0	1	1	5	0	0	0	0	0	0	0	1	1	0	3	1	2	1	
BPSG_21315	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_21344	18	20	23	12	11	7	14	6	7	11	22	10	11	17	15	15	17	11	26	14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_21355	80	46	52	34	37	25	26	26	17	34	40	66	74	71	58	72	77	34	73	30	0	2	2	1	0	1	0	1	1	0	3	0	1	0	0	0	3	1	4	1	0	1	0	2	0	0	0	4	1	0	2	1	2	0	0	0	0	0	1	0	1	1	0	1	2	2	0	
BPSG_21375	463	547	464	302	355	220	258	258	371	424	604	641	457	467	436	511	478	254	529	271	2	29	12	5	6	8	9	17	3	6	10	12	7	4	6	3	25	18	22	12	11	13	14	13	0	0	2	16	23	6	9	5	36	2	1	1	2	0	2	0	9	17	1	18	11	7	7	
BPSG_21384	83	100	92	58	59	44	56	41	14	35	52	42	106	100	77	92	85	58	81	54	0	4	0	0	3	2	0	0	0	2	0	1	0	0	1	0	1	0	2	3	0	5	2	1	0	0	0	1	2	1	2	0	4	0	0	0	0	0	0	0	2	0	0	0	1	0	1	
BPSG_21428	1	1	4	3	8	3	2	1	1	3	6	4	4	3	5	5	3	1	2	1	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_21445	339	333	366	172	243	136	227	138	254	355	539	498	154	294	212	263	243	110	291	152	0	6	1	3	6	2	1	6	5	2	6	2	3	1	2	1	4	4	13	4	0	3	4	3	0	2	1	6	5	2	1	4	11	1	1	1	0	0	0	0	3	7	0	7	3	5	2	
BPSG_21510	66	69	62	56	45	25	48	38	44	56	83	124	71	64	42	57	66	33	55	45	0	0	1	1	1	2	0	2	1	0	3	0	1	0	0	0	0	1	0	2	1	5	3	0	0	0	0	1	4	0	2	2	1	0	0	0	0	0	2	0	0	1	1	1	1	1	0	
BPSG_21519	142	136	131	102	93	58	64	52	45	64	101	110	114	150	119	133	146	59	148	72	0	7	6	1	5	2	7	3	1	2	4	3	6	2	5	2	10	1	3	4	1	5	3	4	0	0	1	7	8	4	5	2	10	1	0	0	0	0	1	2	6	6	1	9	7	1	5	
BPSG_21525	39	34	18	21	24	22	8	17	20	35	62	66	36	44	41	50	40	34	42	27	0	1	1	1	0	0	0	2	0	1	1	0	0	0	1	0	4	0	0	0	0	1	0	1	0	0	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	
BPSG_21539	137	109	100	71	69	54	58	45	44	91	125	125	74	79	70	91	76	40	82	50	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	2	0	0	0	2	1	3	0	0	0	5	2	0	1	2	1	1	0	0	0	0	1	0	0	1	0	1	1	2	0	
BPSG_21542	150	137	136	65	77	63	86	55	50	93	172	158	134	145	104	124	129	70	136	92	0	5	1	0	0	1	2	1	0	0	0	0	0	0	0	1	1	0	2	2	0	0	0	0	0	0	0	2	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	2	1	3	0	
BPSG_21557	4	8	2	5	3	4	5	2	2	5	2	3	6	7	4	2	1	3	5	2	0	4	0	1	1	1	2	1	2	1	0	2	0	0	2	0	1	3	1	1	0	0	1	2	0	0	2	0	0	0	0	1	2	0	5	1	1	3	0	1	0	0	0	1	0	0	1	
BPSG_21563	494	500	487	222	322	190	243	186	241	325	436	520	319	460	390	426	379	225	418	218	0	4	1	0	5	5	2	5	1	1	1	0	1	3	7	2	5	1	3	4	1	3	3	2	0	2	1	5	4	1	5	2	5	0	1	0	0	0	2	0	2	6	0	8	7	3	2	
BPSG_21574	47	30	33	16	33	19	21	14	15	29	27	42	30	29	26	25	33	22	37	19	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	2	3	0	0	0	1	1	1	0	0	0	2	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	2	0	4	0	
BPSG_21604	225	207	213	121	164	92	105	107	81	114	180	188	148	222	150	209	220	115	201	128	10	12	20	32	53	27	5	19	20	27	23	27	29	17	40	17	69	21	18	15	7	19	8	5	6	12	26	52	38	50	126	27	51	16	45	2	14	10	12	13	16	28	15	46	18	36	19	
BPSG_21625	2	3	0	3	4	1	1	2	5	1	4	4	0	1	1	1	1	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_2163	14	10	20	8	13	3	10	8	8	14	29	41	18	14	19	22	11	5	17	11	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	
BPSG_21644	2	1	1	1	0	1	1	1	1	1	2	0	1	4	4	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_21645	86	90	73	52	55	49	59	50	34	47	80	65	58	91	76	113	107	66	101	69	0	0	2	1	0	1	2	1	4	0	3	3	1	0	2	0	5	4	5	1	0	2	0	2	0	0	0	1	0	3	0	2	3	0	0	0	0	0	2	0	2	4	0	1	1	0	0	
BPSG_21646	10	6	7	3	2	2	4	2	4	3	4	8	9	10	5	6	9	4	7	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
BPSG_21649	1	6	3	0	1	1	3	1	4	7	15	13	5	6	2	2	5	3	6	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
BPSG_21668	312	347	288	166	239	153	211	147	209	258	416	347	297	268	271	339	288	138	276	182	0	16	17	3	8	10	12	21	4	5	8	10	13	2	4	5	11	11	12	14	3	13	14	14	1	0	2	10	15	6	17	9	29	0	0	1	0	0	2	0	10	7	1	19	8	9	9	
BPSG_21671	787	698	750	228	516	241	415	205	194	380	607	650	703	749	621	849	898	373	837	478	0	6	14	3	10	6	7	7	7	2	5	14	5	1	17	1	19	3	6	16	1	4	10	16	1	0	2	11	11	7	10	11	32	1	5	4	0	2	0	1	9	14	0	10	7	7	12	
BPSG_21679	94	106	113	75	84	46	61	31	40	40	72	107	114	92	80	109	115	55	111	59	0	1	1	1	1	2	2	1	1	1	2	1	2	0	1	0	1	0	3	1	0	2	1	3	0	0	0	1	2	0	2	3	2	1	0	5	0	0	0	0	2	1	0	3	1	0	1	
BPSG_21682	40	35	32	17	24	18	23	21	16	24	34	33	23	25	20	14	32	16	26	10	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	
BPSG_21688	9	12	12	6	2	2	6	5	4	8	13	10	6	13	9	16	10	9	12	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	
