	Culture_Control-1-1.fastq.trim.sam.counts	Culture_Control-1.fastq.trim.sam.counts	Culture_Control-2-1.fastq.trim.sam.counts	Culture_Control-2.fastq.trim.sam.counts	Culture_Control-3-1.fastq.trim.sam.counts	Culture_Control-3.fastq.trim.sam.counts	Culture_Control-4-1.fastq.trim.sam.counts	Culture_Control-4.fastq.trim.sam.counts	Culture_Cool-1.fastq.trim.sam.counts	Culture_Cool-2.fastq.trim.sam.counts	Culture_Cool-3.fastq.trim.sam.counts	Culture_Cool-4.fastq.trim.sam.counts	Culture_Heat-1-1.fastq.trim.sam.counts	Culture_Heat-1.fastq.trim.sam.counts	Culture_Heat-2-1.fastq.trim.sam.counts	Culture_Heat-2.fastq.trim.sam.counts	Culture_Heat-3-1.fastq.trim.sam.counts	Culture_Heat-3.fastq.trim.sam.counts	Culture_Heat-4-1.fastq.trim.sam.counts	Culture_Heat-4.fastq.trim.sam.counts	Oculina_OA4_S45_R1_001.fastq.trim.sam.counts	Oculina_OA5_S33_R1_001.fastq.trim.sam.counts	Oculina_OA6_S20_R1_001.fastq.trim.sam.counts	Oculina_OC4_S29_R1_001.fastq.trim.sam.counts	Oculina_OC5_S18_R1_001.fastq.trim.sam.counts	Oculina_OC9_S36_R1_001.fastq.trim.sam.counts	Oculina_OD4_S40_R1_001.fastq.trim.sam.counts	Oculina_OD5_S5_R1_001.fastq.trim.sam.counts	Oculina_OD6_S26_R1_001.fastq.trim.sam.counts	Oculina_OE10_S46_R1_001.fastq.trim.sam.counts	Oculina_OE11_S3_R1_001.fastq.trim.sam.counts	Oculina_OE3_S30_R1_001.fastq.trim.sam.counts	Oculina_OF7_S32_R1_001.fastq.trim.sam.counts	Oculina_OF8_S44_R1_001.fastq.trim.sam.counts	Oculina_OF9_S9_R1_001.fastq.trim.sam.counts	Oculina_OH11_S43_R1_001.fastq.trim.sam.counts	Oculina_OH15_S12_R1_001.fastq.trim.sam.counts	Oculina_OH1_S34_R1_001.fastq.trim.sam.counts	Oculina_OI1_S15_R1_001.fastq.trim.sam.counts	Oculina_OI2_S35_R1_001.fastq.trim.sam.counts	Oculina_OI3_S4_R1_001.fastq.trim.sam.counts	Oculina_OJ13_S11_R1_001.fastq.trim.sam.counts	Oculina_OJ14_S6_R1_001.fastq.trim.sam.counts	Oculina_OJ15_S24_R1_001.fastq.trim.sam.counts	Oculina_OK1_S38_R1_001.fastq.trim.sam.counts	Oculina_OK2_S1_R1_001.fastq.trim.sam.counts	Oculina_OK3_S31_R1_001.fastq.trim.sam.counts	Oculina_OL6_S16_R1_001.fastq.trim.sam.counts	Oculina_OL7_S2_R1_001.fastq.trim.sam.counts	Oculina_OL8_S19_R1_001.fastq.trim.sam.counts	Oculina_OM1_S10_R1_001.fastq.trim.sam.counts	Oculina_OM2_S28_R1_001.fastq.trim.sam.counts	Oculina_OM3_S23_R1_001.fastq.trim.sam.counts	Oculina_ON4_S27_R1_001.fastq.trim.sam.counts	Oculina_ON5_S13_R1_001.fastq.trim.sam.counts	Oculina_ON6_S17_R1_001.fastq.trim.sam.counts	Oculina_OO1_S7_R1_001.fastq.trim.sam.counts	Oculina_OO2_S22_R1_001.fastq.trim.sam.counts	Oculina_OP1_S42_R1_001.fastq.trim.sam.counts	Oculina_OP2_S47_R1_001.fastq.trim.sam.counts	Oculina_OP3_S37_R1_001.fastq.trim.sam.counts	Oculina_OQ11_S8_R1_001.fastq.trim.sam.counts	Oculina_OQ1_S41_R1_001.fastq.trim.sam.counts	Oculina_OQ4_S14_R1_001.fastq.trim.sam.counts	Oculina_OR7_S39_R1_001.fastq.trim.sam.counts	Oculina_OR8_S21_R1_001.fastq.trim.sam.counts	Oculina_OR9_S25_R1_001.fastq.trim.sam.counts	
BPSG_10129	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_10191	47	68	59	27	28	29	27	30	36	65	76	96	38	41	37	48	43	18	52	26	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	
BPSG_10192	200	187	182	119	107	66	84	51	71	96	149	197	240	257	194	238	197	95	271	121	0	4	6	0	2	0	1	3	2	1	2	0	1	0	2	0	1	1	3	2	0	3	0	2	0	1	1	0	2	0	2	0	6	0	0	0	0	0	0	0	2	5	1	0	1	0	2	
BPSG_10201	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
BPSG_10215	86	73	68	49	47	39	39	33	28	28	61	56	79	77	75	84	97	33	73	46	0	1	1	1	0	0	0	1	0	0	1	0	0	0	1	0	1	1	0	3	0	1	1	2	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	
BPSG_10222	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_10224	53	59	38	21	36	16	26	18	29	45	58	74	46	61	39	60	54	22	34	25	0	3	0	0	1	0	1	2	0	2	1	0	0	0	1	0	1	0	2	0	0	1	4	1	0	0	0	0	1	1	1	0	3	0	0	0	0	0	2	0	0	1	0	1	2	0	0	
BPSG_10232	22	35	30	14	17	14	10	17	10	5	18	11	27	29	23	39	27	20	28	24	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	
BPSG_10243	335	301	265	350	256	168	252	192	98	135	219	270	428	291	341	330	335	184	338	211	0	6	1	0	2	2	1	0	1	1	4	2	1	0	0	1	4	1	2	2	0	1	1	3	0	0	0	2	0	1	4	0	6	0	0	1	0	0	1	0	2	2	1	3	0	1	1	
BPSG_10248	1	1	1	0	0	0	0	0	1	2	1	1	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_10258	61	71	65	32	39	36	35	32	52	85	121	119	42	48	39	58	43	27	50	23	0	2	1	1	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4	0	1	0	
BPSG_10264	96	110	98	66	90	52	51	44	51	56	85	103	78	106	90	111	106	44	125	52	0	5	5	1	1	1	3	3	0	4	2	0	0	1	1	1	7	2	8	5	2	3	5	1	0	0	1	1	3	0	3	0	8	0	0	0	0	0	0	0	3	2	0	8	1	2	2	
BPSG_10269	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_10275	168	163	175	75	100	64	72	62	84	99	177	198	133	138	106	125	130	66	132	62	0	11	10	5	12	23	21	19	8	12	13	6	1	12	15	8	23	32	34	14	8	37	38	9	2	9	4	19	26	9	21	4	11	10	42	3	14	6	17	8	7	8	10	32	17	12	4	
BPSG_10286	65	49	58	27	35	25	23	22	36	50	67	106	28	56	40	51	48	24	43	37	0	4	1	0	1	2	1	2	1	0	0	0	1	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	5	1	2	1	1	0	0	0	0	0	0	0	0	0	0	6	0	2	0	
BPSG_10290	28	25	25	15	21	11	23	25	19	20	49	40	15	33	12	20	22	6	20	18	0	2	0	0	1	0	0	1	0	2	0	0	0	0	0	0	1	0	0	1	0	4	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	
BPSG_10292	1	0	1	0	3	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_10373	155	163	141	101	96	64	67	76	37	65	137	128	89	138	89	130	117	48	123	38	0	3	0	4	0	1	5	1	2	3	1	1	3	1	0	1	3	7	14	4	1	9	4	8	1	0	1	9	5	1	8	3	8	1	0	0	0	0	1	0	7	6	1	4	4	6	3	
BPSG_10385	0	0	0	0	0	0	0	0	1	0	1	1	0	2	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_10395	12	9	11	4	4	3	5	4	7	7	10	11	1	11	8	11	8	6	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	
BPSG_10399	7	4	11	6	11	3	8	6	2	12	9	11	9	4	7	5	10	7	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
BPSG_10402	4	1	2	0	0	0	2	0	1	2	0	2	0	1	1	2	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BPSG_10436	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
