	Oculina_OA4_S45_R1_001.fastq.trim.sam.counts	Oculina_OA5_S33_R1_001.fastq.trim.sam.counts	Oculina_OA6_S20_R1_001.fastq.trim.sam.counts	Oculina_OC4_S29_R1_001.fastq.trim.sam.counts	Oculina_OC5_S18_R1_001.fastq.trim.sam.counts	Oculina_OC9_S36_R1_001.fastq.trim.sam.counts	Oculina_OD4_S40_R1_001.fastq.trim.sam.counts	Oculina_OD5_S5_R1_001.fastq.trim.sam.counts	Oculina_OD6_S26_R1_001.fastq.trim.sam.counts	Oculina_OE10_S46_R1_001.fastq.trim.sam.counts	Oculina_OE11_S3_R1_001.fastq.trim.sam.counts	Oculina_OE3_S30_R1_001.fastq.trim.sam.counts	Oculina_OF7_S32_R1_001.fastq.trim.sam.counts	Oculina_OF8_S44_R1_001.fastq.trim.sam.counts	Oculina_OF9_S9_R1_001.fastq.trim.sam.counts	Oculina_OH11_S43_R1_001.fastq.trim.sam.counts	Oculina_OH15_S12_R1_001.fastq.trim.sam.counts	Oculina_OH1_S34_R1_001.fastq.trim.sam.counts	Oculina_OI1_S15_R1_001.fastq.trim.sam.counts	Oculina_OI2_S35_R1_001.fastq.trim.sam.counts	Oculina_OI3_S4_R1_001.fastq.trim.sam.counts	Oculina_OJ13_S11_R1_001.fastq.trim.sam.counts	Oculina_OJ14_S6_R1_001.fastq.trim.sam.counts	Oculina_OJ15_S24_R1_001.fastq.trim.sam.counts	Oculina_OK1_S38_R1_001.fastq.trim.sam.counts	Oculina_OK2_S1_R1_001.fastq.trim.sam.counts	Oculina_OK3_S31_R1_001.fastq.trim.sam.counts	Oculina_OL6_S16_R1_001.fastq.trim.sam.counts	Oculina_OL7_S2_R1_001.fastq.trim.sam.counts	Oculina_OL8_S19_R1_001.fastq.trim.sam.counts	Oculina_OM1_S10_R1_001.fastq.trim.sam.counts	Oculina_OM2_S28_R1_001.fastq.trim.sam.counts	Oculina_OM3_S23_R1_001.fastq.trim.sam.counts	Oculina_ON4_S27_R1_001.fastq.trim.sam.counts	Oculina_ON5_S13_R1_001.fastq.trim.sam.counts	Oculina_ON6_S17_R1_001.fastq.trim.sam.counts	Oculina_OO1_S7_R1_001.fastq.trim.sam.counts	Oculina_OO2_S22_R1_001.fastq.trim.sam.counts	Oculina_OP1_S42_R1_001.fastq.trim.sam.counts	Oculina_OP2_S47_R1_001.fastq.trim.sam.counts	Oculina_OP3_S37_R1_001.fastq.trim.sam.counts	Oculina_OQ11_S8_R1_001.fastq.trim.sam.counts	Oculina_OQ1_S41_R1_001.fastq.trim.sam.counts	Oculina_OQ4_S14_R1_001.fastq.trim.sam.counts	Oculina_OR7_S39_R1_001.fastq.trim.sam.counts	Oculina_OR8_S21_R1_001.fastq.trim.sam.counts	Oculina_OR9_S25_R1_001.fastq.trim.sam.counts
Oarb_101409_c0_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Oarb_101409_c1_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0
Oarb_101409_c1_g2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Oarb_101414_c0_g1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oarb_101424_c0_g1	0	10	31	17	10	8	8	23	11	6	3	7	7	8	14	6	13	10	25	13	8	29	30	10	1	4	4	17	9	6	22	6	8	8	37	5	15	9	13	12	8	9	6	36	10	23	11
Oarb_101426_c0_g1	0	0	2	0	0	0	0	0	3	0	1	0	0	0	1	0	3	1	0	2	0	1	1	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	2	1	0
Oarb_101433_c2_g1	0	0	3	0	0	0	1	1	5	0	0	1	5	2	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0
Oarb_101433_c2_g2	0	3	0	0	3	3	2	0	2	1	0	6	1	1	8	0	1	1	6	0	0	2	1	3	0	2	4	3	2	0	1	2	1	0	1	2	1	0	0	0	0	3	0	7	1	0	1
Oarb_101435_c0_g1	0	1	0	1	0	1	2	0	0	0	2	0	0	0	1	0	0	0	3	3	0	2	2	1	0	2	1	1	1	0	1	0	1	1	3	0	0	2	0	0	0	0	0	1	0	0	0
Oarb_101440_c0_g2	0	2	6	3	9	4	7	8	4	1	3	7	2	0	4	1	3	2	13	3	4	10	1	9	0	5	5	4	3	6	4	3	4	10	16	4	30	6	11	7	9	12	5	3	0	0	2
Oarb_101442_c3_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	2	2	0	0	2	0	0	0	0	1	0	0	1	0	1	1	1	0
Oarb_101442_c3_g3	0	1	2	2	1	3	1	2	1	0	5	0	0	1	1	0	2	3	9	2	1	4	1	0	0	0	1	1	0	0	5	1	1	3	2	0	2	0	2	1	1	0	0	3	11	3	0
Oarb_101443_c3_g1	0	0	1	1	0	2	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	2	0	0	0
Oarb_101447_c0_g1	0	2	2	2	2	1	1	0	4	2	5	5	1	1	1	0	9	2	4	3	7	2	5	3	0	3	6	2	1	1	3	1	2	0	6	2	4	3	3	1	4	5	3	13	2	5	1
Oarb_101461_c5_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0
Oarb_101461_c6_g1	0	0	2	0	6	2	8	0	1	0	2	1	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	2	73	1	0	11	0	0
Oarb_101470_c5_g1	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	2	0
Oarb_101473_c0_g1	0	0	0	2	0	0	0	6	4	0	0	0	0	0	0	0	0	0	2	1	1	2	5	0	0	0	0	0	0	0	0	0	0	0	7	0	1	5	0	2	0	0	0	0	0	0	0
Oarb_101476_c0_g1	0	1	2	0	1	0	1	3	0	0	1	0	0	1	1	1	3	0	1	2	2	0	1	0	0	0	0	1	0	2	2	0	0	1	5	0	1	0	0	0	4	1	0	15	0	1	1
Oarb_101483_c0_g1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oarb_101490_c0_g1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oarb_101507_c0_g2	0	1	3	1	0	4	2	3	1	3	1	3	0	1	0	0	5	3	8	5	3	2	6	0	0	1	0	0	2	0	1	0	0	2	6	1	3	5	2	0	1	3	3	7	2	1	0
Oarb_101513_c2_g1	0	1	0	4	1	2	1	1	2	0	0	4	0	1	1	0	1	0	2	1	1	1	8	1	0	0	0	0	0	0	2	1	2	0	14	0	1	4	2	4	0	2	0	3	2	0	0
Oarb_101564_c0_g1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	2	0	5	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	2	0	0	1	1	0	0	0	0	0	0
Oarb_101571_c1_g1	0	0	0	5	0	2	1	5	1	0	2	2	0	0	0	2	0	1	7	7	0	5	3	0	1	4	1	2	9	3	2	0	1	1	10	0	3	2	3	1	0	2	0	16	1	0	1
Oarb_101575_c0_g1	0	1	3	0	2	0	1	2	1	1	1	10	0	0	5	1	6	3	5	4	1	1	1	0	1	2	1	1	2	3	3	0	0	2	3	6	0	2	5	5	2	3	3	3	5	1	1
