gene,mutated_p_updown
evm.TU.chromosome_5.245,-63.30801763
evm.TU.chromosome_7.913,-63.09006605
evm.TU.chromosome_7.2820,63.02233298
evm.TU.chromosome_14.5237,62.51204986
evm.TU.chromosome_14.6461,-62.49627665
evm.TU.chromosome_11.1357,62.41264717
evm.TU.chromosome_8.139,62.41785088
evm.TU.chromosome_9.354,-62.09927881
evm.TU.chromosome_8.2751,61.89338736
evm.TU.chromosome_3.470,-61.72753849
evm.TU.chromosome_12.3723,60.86105699
evm.TU.chromosome_11.3158,-60.82140953
evm.TU.chromosome_1.93,60.67873709
evm.TU.chromosome_3.1233,60.56396647
evm.TU.chromosome_14.6964,59.94808817
evm.TU.chromosome_12.1897,59.84798821
evm.TU.chromosome_12.910,59.76631398
evm.TU.chromosome_6.198,-59.68676522
evm.TU.chromosome_8.2412,59.55626299
evm.TU.chromosome_4.1409,-59.50982474
evm.TU.chromosome_4.2478,59.45294236
evm.TU.chromosome_14.5213,-59.43068409
evm.TU.chromosome_12.184,-58.54588572
evm.TU.chromosome_12.1235,58.45598574
evm.TU.chromosome_3.9,58.40681618
evm.TU.chromosome_9.1710,58.33382987
evm.TU.chromosome_10.580,-58.30790099
evm.TU.chromosome_5.1100,58.12534368
evm.TU.chromosome_11.1325,58.09692436
evm.TU.chromosome_1.96,57.4866129
evm.TU.chromosome_7.485,-57.33337073
evm.TU.chromosome_9.1592,-57.29982685
evm.TU.chromosome_12.7,-56.95063333
evm.TU.chromosome_12.3663,-56.91214767
evm.TU.chromosome_2.194,-56.76742545
evm.TU.chromosome_4.330,56.47329767
evm.TU.chromosome_4.1231,56.079711
evm.TU.chromosome_6.20,55.95285819
evm.TU.chromosome_10.3127,-55.92390856
evm.TU.chromosome_7.435,55.91567469
evm.TU.chromosome_7.483,-55.79590281
evm.TU.chromosome_6.1264,55.75399638
evm.TU.chromosome_14.829,-55.74652581
evm.TU.chromosome_10.492,-55.73052531
evm.TU.chromosome_14.5055,55.5384499
evm.TU.chromosome_3.1568,-55.32690712
evm.TU.chromosome_4.2217,-55.19504512
evm.TU.chromosome_7.3,55.19621345
evm.TU.chromosome_14.6797,-55.10355181
evm.TU.chromosome_8.196,55.06108061
evm.TU.chromosome_6.23,55.01555109
evm.TU.chromosome_12.3606,54.97104299
evm.TU.chromosome_3.114,54.76572389
evm.TU.chromosome_12.3722,-54.72605685
evm.TU.chromosome_6.1320,-54.7277518
evm.TU.chromosome_4.1238,54.6595088
evm.TU.chromosome_2.857,54.46797289
evm.TU.chromosome_9.2247,54.40924459
evm.TU.chromosome_6.2106,54.34370556
evm.TU.chromosome_6.695,54.07261902
evm.TU.chromosome_4.2014,53.98445057
evm.TU.chromosome_9.124,-53.80761913
evm.TU.chromosome_4.8,53.22150196
evm.TU.chromosome_10.2592,53.05353587
evm.TU.chromosome_11.355,53.0460107
evm.TU.chromosome_9.1668,-52.92871205
evm.TU.chromosome_5.1193,52.89644196
evm.TU.chromosome_10.1663,52.85150099
evm.TU.chromosome_14.6369,52.80078981
evm.TU.chromosome_8.1146,-52.78375029
evm.TU.chromosome_1.422,-52.6978245
evm.TU.chromosome_13.1617,-52.64919628
evm.TU.chromosome_13.37_evm.TU.chromosome_13.38,52.35411812
evm.TU.chromosome_5.2017,52.27947519
evm.TU.chromosome_6.2105,52.2089463
evm.TU.chromosome_6.2541,52.19692137
evm.TU.chromosome_11.3000,52.05900931
evm.TU.chromosome_3.927,-51.95878131
evm.TU.chromosome_10.1197,51.7076924
evm.TU.chromosome_9.359,51.63246261
evm.TU.chromosome_13.2157,51.49538677
evm.TU.chromosome_6.179,-51.39048825
evm.TU.chromosome_5.2746,-51.37714651
evm.TU.chromosome_6.382,51.37883636
evm.TU.chromosome_6.785,51.22407503
evm.TU.chromosome_8.1201,-51.18656351
evm.TU.chromosome_2.2042,51.15002046
evm.TU.chromosome_11.655,50.91906012
evm.TU.chromosome_1.234,50.76014975
evm.TU.chromosome_13.847,-50.70019747
evm.TU.chromosome_8.121,-50.61212622
evm.TU.chromosome_9.2088,50.60293597
evm.TU.chromosome_12.1876,-50.46542086
evm.TU.chromosome_7.934,50.45108863
evm.TU.chromosome_1.1193,50.09830395
evm.TU.chromosome_13.4161,-50.07860488
evm.TU.chromosome_14.6785,50.05793067
evm.TU.chromosome_14.5774,-50.04646457
evm.TU.chromosome_13.125,49.99278845
evm.TU.chromosome_4.746,49.98703387
evm.TU.chromosome_9.2168,-49.95990804
evm.TU.chromosome_3.1126,49.79908858
evm.TU.chromosome_11.1017,-49.78216375
evm.TU.chromosome_14.831,49.75862202
evm.TU.chromosome_5.2268,49.71847128
evm.TU.chromosome_6.1124,-49.69308711
evm.TU.chromosome_14.901,49.68354596
evm.TU.chromosome_7.2553,-49.61091557
evm.TU.chromosome_14.639,49.54232284
evm.TU.chromosome_6.1086_evm.TU.chromosome_6.1088,-49.43257148
evm.TU.chromosome_9.2079,-49.34993357
evm.TU.chromosome_2.503,-49.07168759
evm.TU.chromosome_4.571,-49.04227668
evm.TU.chromosome_13.1646,49.00126328
evm.TU.chromosome_1.676,48.94496626
evm.TU.chromosome_2.398,48.69280481
evm.TU.chromosome_9.1719,-48.66300776
evm.TU.chromosome_12.185,48.65621954
evm.TU.chromosome_14.431,-48.4760296
evm.TU.chromosome_4.542,48.47853594
evm.TU.chromosome_12.4061,-48.40573521
evm.TU.chromosome_13.3323,48.26650194
evm.TU.chromosome_1.75,48.17513143
evm.TU.chromosome_10.3117,48.08614752
evm.TU.chromosome_6.711,48.07953147
evm.TU.chromosome_14.4718,-48.05059745
evm.TU.chromosome_4.1100,-47.95813842
evm.TU.chromosome_4.974,47.95267634
evm.TU.chromosome_4.182,47.72417434
evm.TU.chromosome_6.182,-47.54317778
evm.TU.chromosome_4.1445,47.44550533
evm.TU.chromosome_5.90,-47.43244107
evm.TU.chromosome_9.2169,-47.42045371
evm.TU.chromosome_7.484,-47.38908588
evm.TU.chromosome_1.1099,47.24319758
evm.TU.chromosome_12.1868,-47.1065417
evm.TU.chromosome_8.1567,-47.10305538
evm.TU.chromosome_14.5357,-47.0551172
evm.TU.chromosome_13.51,-46.95854798
evm.TU.chromosome_14.6940,46.93005163
evm.TU.chromosome_8.57,-46.82963249
evm.TU.chromosome_12.3791,-46.77479188
evm.TU.chromosome_5.1709,46.588231
evm.TU.chromosome_5.2744,-46.54678778
evm.TU.chromosome_8.1356,46.53898299
evm.TU.chromosome_11.95,46.38595639
evm.TU.chromosome_10.1999,-46.36553992
evm.TU.chromosome_1.1627,45.912814
evm.TU.chromosome_12.4059,-45.7595648
evm.TU.chromosome_10.2563,45.63947101
evm.TU.chromosome_11.2472,45.55569752
evm.TU.chromosome_1.240,45.51796572
evm.TU.chromosome_14.6642,-45.43686014
evm.TU.chromosome_6.44,45.39431054
evm.TU.chromosome_13.2105,45.27115546
evm.TU.chromosome_3.1925,45.25380748
evm.TU.chromosome_11.442,45.23173369
evm.TU.chromosome_13.608,-45.20947489
evm.TU.chromosome_11.144,45.20261002
evm.TU.chromosome_14.522,-45.18899406
evm.TU.chromosome_2.249,45.15573928
evm.TU.chromosome_9.403,-45.12937122
evm.TU.chromosome_2.381,45.1120605
evm.TU.chromosome_12.3102_evm.TU.chromosome_12.3103,-45.08929607
evm.TU.chromosome_8.2482,45.04924555
evm.TU.chromosome_14.6838,44.95483422
evm.TU.chromosome_6.2725,-44.95418686
evm.TU.chromosome_9.222,-44.95149807
evm.TU.chromosome_8.2172,-44.93897487
evm.TU.chromosome_14.199,44.90934029
evm.TU.chromosome_2.1385,44.90711486
evm.TU.chromosome_11.1458,-44.8623558
evm.TU.chromosome_12.2154,-44.86255317
evm.TU.chromosome_13.2106,44.53530374
evm.TU.chromosome_7.1235,-44.51220351
evm.TU.chromosome_13.2694,44.45304169
evm.TU.chromosome_9.2870,44.41417208
evm.TU.chromosome_13.2582,44.2844533
evm.TU.chromosome_14.865,-44.2345985
evm.TU.chromosome_9.1607,44.23439303
evm.TU.chromosome_6.2277,-44.1880421
evm.TU.chromosome_12.3566,44.05499112
evm.TU.chromosome_3.472,-44.04488912
evm.TU.chromosome_4.544,43.96732348
evm.TU.chromosome_9.2173,-43.88863697
evm.TU.chromosome_11.2003,-43.86392423
evm.TU.chromosome_14.1384,43.57742408
evm.TU.chromosome_12.154,43.49427391
evm.TU.chromosome_8.2202,-43.41012573
evm.TU.chromosome_2.1677,43.40089673
evm.TU.chromosome_3.306,-43.09600065
evm.TU.chromosome_11.2937,42.95135207
evm.TU.chromosome_7.2372,42.93730768
evm.TU.chromosome_3.96,42.93364198
evm.TU.chromosome_6.862,42.88710413
evm.TU.chromosome_6.1977,42.78418662
evm.TU.chromosome_7.2187,42.75592269
evm.TU.chromosome_13.1482,42.74555283
evm.TU.chromosome_13.3348,42.738795
evm.TU.chromosome_11.1722,-42.72600886
evm.TU.chromosome_13.2771,42.72833154
evm.TU.chromosome_9.39,-42.63677321
evm.TU.chromosome_2.231,42.5681008
evm.TU.chromosome_8.382,-42.53069651
evm.TU.chromosome_7.1260,-42.41879584
evm.TU.chromosome_12.2633,-42.41050824
evm.TU.chromosome_13.1695,-42.3459827
evm.TU.chromosome_6.1324,42.27816937
evm.TU.chromosome_9.1727,-42.27996575
evm.TU.chromosome_10.2793,42.24340624
evm.TU.chromosome_9.2231,42.22425815
evm.TU.chromosome_6.1021,-42.05047387
evm.TU.chromosome_9.2050_evm.TU.chromosome_9.2071,42.01495778
evm.TU.chromosome_5.2474,42.01189551
evm.TU.chromosome_14.60,-41.98198178
evm.TU.chromosome_12.1644,-41.94058862
evm.TU.chromosome_14.7284,41.87472168
evm.TU.chromosome_2.2096,-41.6793587
evm.TU.chromosome_13.4023,-41.65730183
evm.TU.chromosome_4.2024,41.63662338
evm.TU.chromosome_9.1720,-41.62464523
evm.TU.chromosome_1.242,41.58384361
evm.TU.chromosome_11.3128,41.54416817
evm.TU.chromosome_13.70,41.44896818
evm.TU.chromosome_2.1994,41.43829477
evm.TU.chromosome_11.2568,-41.43060068
evm.TU.chromosome_9.1590,-41.42591362
evm.TU.chromosome_11.85,-41.39338353
evm.TU.chromosome_7.1047,41.22007146
evm.TU.chromosome_3.254,41.19338418
evm.TU.chromosome_8.1207,-41.08477016
evm.TU.chromosome_4.2113,41.05695449
evm.TU.chromosome_8.1066,41.05102822
evm.TU.chromosome_7.1316,40.92008228
evm.TU.chromosome_10.2978,-40.88264218
evm.TU.chromosome_4.2137,40.72287222
evm.TU.chromosome_8.2731,-40.70445356
evm.TU.chromosome_3.396,-40.62241429
evm.TU.chromosome_10.1260,40.56041073
evm.TU.chromosome_13.3143,40.54754636
evm.TU.chromosome_5.2468,40.479201
evm.TU.chromosome_4.853,-40.38835834
evm.TU.chromosome_3.972,40.29129013
evm.TU.chromosome_14.6757,-40.27235093
evm.TU.chromosome_13.1072,40.15045745
evm.TU.chromosome_11.2854,40.13256797
evm.TU.chromosome_4.12,40.01924306
evm.TU.chromosome_14.182,-39.98177346
evm.TU.chromosome_12.647,39.95910602
evm.TU.chromosome_4.1825,39.92816398
evm.TU.chromosome_14.1313,39.76204483
evm.TU.chromosome_5.459_evm.TU.chromosome_5.460,-39.74647403
evm.TU.chromosome_5.59,39.69731795
evm.TU.chromosome_4.25,39.68546188
evm.TU.chromosome_4.561,-39.61440765
evm.TU.chromosome_2.1050,39.57373651
evm.TU.chromosome_13.961,39.54922913
evm.TU.chromosome_2.487,-39.53583564
evm.TU.chromosome_7.2652,39.50745216
evm.TU.chromosome_4.442,-39.39812942
evm.TU.chromosome_13.3252,-39.2715165
evm.TU.chromosome_5.761,-39.25671813
evm.TU.chromosome_4.1237,-39.16958557
evm.TU.chromosome_4.228,-39.1586259
evm.TU.chromosome_9.1712,39.15440542
evm.TU.chromosome_6.1135,39.14448613
evm.TU.chromosome_4.727,39.13444509
evm.TU.chromosome_9.2904_evm.TU.chromosome_9.2905,-39.12824653
evm.TU.chromosome_13.1386,-39.1034266
evm.TU.chromosome_5.2541,-39.0282219
evm.TU.chromosome_13.890,39.00986668
evm.TU.chromosome_3.446,38.94961548
evm.TU.chromosome_14.6207,-38.94248204
evm.TU.chromosome_12.3366,-38.89535366
evm.TU.chromosome_6.444,38.79256986
evm.TU.chromosome_6.2822,38.74803959
evm.TU.chromosome_1.136,-38.74441833
evm.TU.chromosome_14.646,-38.72536323
evm.TU.chromosome_8.192,38.64495956
evm.TU.chromosome_4.141,38.50874544
evm.TU.chromosome_12.3207,38.47254235
