"","pval","direction","color"
"12/68 protein-chromophore linkage",0.00178701764382719,0,"black"
"27/137 generation of precursor metabolites and energy",0.0121418971949907,0,"grey50"
"11/45 photosynthesis, light harvesting",0.00178701764382719,0,"black"
