"","pval","direction","color"
"11/11 nuclear body",0.0011758565029584,1,"black"
"22/24 ribonucleoprotein complex",0.000197926538825648,1,"black"
"15/18 nuclear protein-containing complex",0.00254904933211069,1,"black"
"12/13 spliceosomal complex",0.00109882441841183,1,"black"
"8/9 U2-type spliceosomal complex",0.00308764283777405,1,"black"
"8/9 nucleoplasm",0.0187087984467278,1,"grey50"
"14/20 catalytic complex",0.0109620912598008,1,"grey50"
