"","pval","direction","color"
"9/46 chlorophyll binding",0.00158970812962237,0,"dodgerblue2"
"29/130 tetrapyrrole binding",0.044727361372137,0,"skyblue2"
"52/328 catalytic activity, acting on RNA",0.00158970812962237,1,"firebrick1"
"29/239 S-adenosylmethionine-dependent methyltransferase activity",0.028372046484806,1,"lightcoral"
"42/345 transferase activity, transferring one-carbon groups",0.00250488825758931,1,"firebrick1"
"15/98 RNA methyltransferase activity",0.044727361372137,1,"lightcoral"
