"","no.par","AIC","logLik","LR.stat","df","Pr(>Chisq)"
"oc_reduced_model",9,2857.4547316423,-1419.72736582115,NA,NA,NA
"oc_model",11,2860.860458119,-1419.4302290595,0.594273523298398,2,0.742942399385919
