Day,Tank ID,Symbiotic status,Coral ID,Behavior
1,cold_1,Sym,B2,5
1,cold_1,Sym,R2,5
1,cold_1,Sym,I2,5
1,cold_1,Sym,H8,5
1,cold_1,Sym,J3,5
1,cold_1,Sym,M2,5
1,cold_1,Sym,F2,4
1,cold_1,Sym,L3,5
1,cold_1,Sym,C4,4
1,cold_1,Sym,D2,5
1,cold_1,Apo,A2,5
1,cold_1,Apo,H2,5
1,cold_1,Apo,P2,5
1,cold_1,Apo,N2,5
1,cold_1,Apo,E4,5
1,cold_1,Apo,K2,4
1,cold_2,Sym,H13,4
1,cold_2,Sym,D5,5
1,cold_2,Sym,L7,4
1,cold_2,Sym,J8,4
1,cold_2,Sym,I5,5
1,cold_2,Sym,F5,5
1,cold_2,Sym,M5,5
1,cold_2,Sym,R5,5
1,cold_2,Sym,B5,5
1,cold_2,Sym,C7,4
1,cold_2,Apo,A5,5
1,cold_2,Apo,E9,5
1,cold_2,Apo,N5,5
1,cold_2,Apo,H6,4
1,cold_2,Apo,Q4,5
1,cold_2,Apo,K5,5
1,cold_3,Sym,L11,5
1,cold_3,Sym,I8,5
1,cold_3,Sym,B8,5
1,cold_3,Sym,D11,4
1,cold_3,Sym,R8,4
1,cold_3,Sym,F8,4
1,cold_3,Sym,J14,5
1,cold_3,Sym,C10,5
1,cold_3,Sym,H21,4
1,cold_3,Apo,Q10,4
1,cold_3,Apo,N8,5
1,cold_3,Apo,E10,5
1,cold_3,Apo,O2,4
1,cold_3,Apo,A8,5
1,cold_3,Apo,H11,5
1,control_1,Sym,B1,5
1,control_1,Sym,C2,5
1,control_1,Sym,M1,5
1,control_1,Sym,J1,5
1,control_1,Sym,R1,5
1,control_1,Sym,L2,5
1,control_1,Sym,H4,5
1,control_1,Sym,I1,5
1,control_1,Sym,F1,5
1,control_1,Sym,D1,5
1,control_1,Apo,K1,5
1,control_1,Apo,A1,5
1,control_1,Apo,N1,5
1,control_1,Apo,E2,5
1,control_1,Apo,H1,5
1,control_1,Apo,P1,5
1,control_2,Sym,L6,5
1,control_2,Sym,B4,5
1,control_2,Sym,J7,5
1,control_2,Sym,M4,5
1,control_2,Sym,D4,5
1,control_2,Sym,R4,5
1,control_2,Sym,I4,5
1,control_2,Sym,H12,1
1,control_2,Sym,F4,5
1,control_2,Sym,C6,5
1,control_2,Apo,Q1,5
1,control_2,Apo,K4,4
1,control_2,Apo,A4,5
1,control_2,Apo,H5,5
1,control_2,Apo,E7,5
1,control_2,Apo,N4,5
1,control_3,Sym,C9,5
1,control_3,Sym,H20,5
1,control_3,Sym,J13,5
1,control_3,Sym,F7,5
1,control_3,Sym,I7,4
1,control_3,Sym,B7,5
1,control_3,Sym,D7,5
1,control_3,Sym,M7,5
1,control_3,Sym,R7,5
1,control_3,Apo,A7,4
1,control_3,Apo,O1,5
1,control_3,Apo,N7,5
1,control_3,Apo,E11,5
1,control_3,Apo,K7,5
1,control_3,Apo,H10,5
1,heat_1,Sym,C5,5
1,heat_1,Sym,B3,5
1,heat_1,Sym,M3,5
1,heat_1,Sym,J6,5
1,heat_1,Sym,F3,5
1,heat_1,Sym,I3,5
1,heat_1,Sym,R3,5
1,heat_1,Sym,H9,5
1,heat_1,Sym,L4,5
1,heat_1,Sym,D3,5
1,heat_1,Apo,K3,5
1,heat_1,Apo,P3,5
1,heat_1,Apo,A3,5
1,heat_1,Apo,E5,5
1,heat_1,Apo,H3,5
1,heat_1,Apo,N3,5
1,heat_2,Sym,I6,5
1,heat_2,Sym,D6,5
1,heat_2,Sym,B6,5
1,heat_2,Sym,L8,5
1,heat_2,Sym,M6,5
1,heat_2,Sym,C8,4
1,heat_2,Sym,J11,5
1,heat_2,Sym,H19,5
1,heat_2,Sym,R11,5
1,heat_2,Sym,F6,5
1,heat_2,Apo,A6,5
1,heat_2,Apo,H7,5
1,heat_2,Apo,E1,4
1,heat_2,Apo,N6,5
1,heat_2,Apo,Q7,5
1,heat_2,Apo,K6,5
1,heat_3,Sym,J15,5
1,heat_3,Sym,L19,5
1,heat_3,Sym,B9,5
1,heat_3,Sym,D9,4
1,heat_3,Sym,F9,4
1,heat_3,Sym,R9,5
1,heat_3,Sym,I9,5
1,heat_3,Sym,H18,4
1,heat_3,Sym,C11,3
1,heat_3,Apo,O5,4
1,heat_3,Apo,Q11,4
1,heat_3,Apo,E3,5
1,heat_3,Apo,H15,5
1,heat_3,Apo,N9,5
1,heat_3,Apo,A9,5
2,cold_1,Sym,B2,5
2,cold_1,Sym,R2,5
2,cold_1,Sym,I2,5
2,cold_1,Sym,H8,5
2,cold_1,Sym,J3,5
2,cold_1,Sym,M2,5
2,cold_1,Sym,F2,4
2,cold_1,Sym,L3,5
2,cold_1,Sym,C4,4
2,cold_1,Sym,D2,5
2,cold_1,Apo,A2,5
2,cold_1,Apo,H2,5
2,cold_1,Apo,P2,5
2,cold_1,Apo,N2,5
2,cold_1,Apo,E4,5
2,cold_1,Apo,K2,3
2,cold_2,Sym,H13,3
2,cold_2,Sym,D5,5
2,cold_2,Sym,L7,4
2,cold_2,Sym,J8,4
2,cold_2,Sym,I5,5
2,cold_2,Sym,F5,4
2,cold_2,Sym,M5,5
2,cold_2,Sym,R5,5
2,cold_2,Sym,B5,5
2,cold_2,Sym,C7,4
2,cold_2,Apo,A5,5
2,cold_2,Apo,E9,5
2,cold_2,Apo,N5,5
2,cold_2,Apo,H6,5
2,cold_2,Apo,Q4,5
2,cold_2,Apo,K5,4
2,cold_3,Sym,L11,5
2,cold_3,Sym,I8,5
2,cold_3,Sym,B8,5
2,cold_3,Sym,D11,4
2,cold_3,Sym,R8,5
2,cold_3,Sym,F8,4
2,cold_3,Sym,J14,5
2,cold_3,Sym,C10,5
2,cold_3,Sym,H21,5
2,cold_3,Apo,Q10,5
2,cold_3,Apo,N8,5
2,cold_3,Apo,E10,5
2,cold_3,Apo,O2,5
2,cold_3,Apo,A8,4
2,cold_3,Apo,H11,4
2,control_1,Sym,B1,5
2,control_1,Sym,C2,5
2,control_1,Sym,M1,5
2,control_1,Sym,J1,5
2,control_1,Sym,R1,5
2,control_1,Sym,L2,5
2,control_1,Sym,H4,4
2,control_1,Sym,I1,5
2,control_1,Sym,F1,5
2,control_1,Sym,D1,5
2,control_1,Apo,K1,5
2,control_1,Apo,A1,5
2,control_1,Apo,N1,5
2,control_1,Apo,E2,5
2,control_1,Apo,H1,5
2,control_1,Apo,P1,5
2,control_2,Sym,L6,5
2,control_2,Sym,B4,5
2,control_2,Sym,J7,5
2,control_2,Sym,M4,5
2,control_2,Sym,D4,5
2,control_2,Sym,R4,5
2,control_2,Sym,I4,5
2,control_2,Sym,H12,4
2,control_2,Sym,F4,5
