sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
134769	HH15	HH15_R1_NoIll_No4N_ITS.fastq.gz	f8723feb534d1beacfeae029e8b1f857f3ea461df9b660b5cce5c90069673a33	HH15_R2_NoIll_No4N_ITS.fastq.gz	ad363db952e9f1b09897074ae870e9fbaab87226246ae5fe3c697791e1f4f89a	1.3641975308641976	1.020505179509011	0.03008372357031361	1.020505179509011	0.03008372357031361	0.0	0.0	0.0	0.0	1.0	0.000993330495246204	0	0.1555271746842628	0	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134766	HD6	HD6_R1_NoIll_No4N_ITS.fastq.gz	93a34817035963595fc5799d2a6866b59421651143076925236733f9c4a47f4f	HD6_R2_NoIll_No4N_ITS.fastq.gz	b85869e3a73a62353938e3288f222f5d945fdf158bd147feee1c21ed843cd9c5	1.3763641032224934	1.0190011554756708	0.02882269867762229	1.0190011554756708	0.02882269867762229	0.0	0.0	0.0	0.0	1.0	0.0008987032995249711	0	0.1556040570034664	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134770	HI3	HI3_R1_NoIll_No4N_ITS.fastq.gz	c3e72a3c06cc142aa5a301be2935203997f338016bc0ee7ac7330c698d971bb6	HI3_R2_NoIll_No4N_ITS.fastq.gz	ace0fb79f7c134b8d7ca108b30aa8c6fd88acf81b10afd89f81cce006a9e49e6	1.3685442346699954	1.0188016851302855	0.030738024652831954	1.0188016851302855	0.030738024652831954	0.0	0.0	0.0	0.0	1.0	0.0011702293649555314	0	0.1606334841628959	0	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134754	FE10	FE10_R1_NoIll_No4N_ITS.fastq.gz	49b5d45d8fa69bdcd0df127fef4d9d22b867e888e5d0e5e40ed0db7b512a2eee	FE10_R2_NoIll_No4N_ITS.fastq.gz	da936e9e709dc419351d1e8ed3f50d51f4a1e8d5d6c683e4bb133ddf5c8044e9	1.6669972948602345	1.015238954012624	0.030477908025247972	1.015238954012624	0.030477908025247972	0.0	0.0	0.0	0.0	1.0	0.001352569882777277	0	0.15987376014427412	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134746	CM1	CM1_R1_NoIll_No4N_ITS.fastq.gz	36a007560585bf01d73aaf6e14ccec36b3cb770e44d5c5f8cd6e2d246154ce0b	CM1_R2_NoIll_No4N_ITS.fastq.gz	22f21ff76b12231a0f2ac8758ac1bf017fc63ce1d133fb7e5d55d00bba36ad8d	1.350413038624693	1.0165215449877205	0.02668006251395401	1.0165215449877205	0.02668006251395401	0.0	0.0	0.0	0.0	1.0	0.0007814244250948872	0	0.1619223040857334	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134755	FF8	FF8_R1_NoIll_No4N_ITS.fastq.gz	175403de03572fa7d3beacd786397cf238af595785139ec762543b978b288f38	FF8_R2_NoIll_No4N_ITS.fastq.gz	96edf8b2ddf18bdb15fe6083b0d252ab4b2bf4fc73f001c12702f116f6a8e46b	1.4038114343029087	1.0140421263791375	0.040922768304914744	1.0140421263791375	0.040922768304914744	0.0	0.0	0.0	0.0	1.0	0.0028084252758274826	0	0.16268806419257772	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134744	CJ13	CJ13_R1_NoIll_No4N_ITS.fastq.gz	5533473fd13161e4a5c5b4bc5cb19f85ffd8ac7e1217e9428eb67c3091d1658f	CJ13_R2_NoIll_No4N_ITS.fastq.gz	323a88495b0abe86895e33e71a346c8a7da5c93e1efd1355e6833b65feb52909	1.260876925681395	1.0179448112409006	0.023573726087692568	1.0179448112409006	0.023573726087692568	0.0	0.0	0.0	0.0	1.0	0.0005925173522938886	0	0.16302691721686136	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134777	HR9	HR9_R1_NoIll_No4N_ITS.fastq.gz	bff67ef8750e0249f6b7985aa43d56ec80122c3087c69d2b8344015345bcf4cc	HR9_R2_NoIll_No4N_ITS.fastq.gz	95b27d4c804e6eac1e0eb507a52f88c9a2665d7864dd4b597d5e25beea98699c	1.394127552094296	1.0178909703220376	0.03525573563460324	1.0178909703220376	0.03525573563460324	0.0	0.0	0.0	0.0	1.0	0.0014733740265207324	0	0.1635445169438013	0	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134774	HN6	HN6_R1_NoIll_No4N_ITS.fastq.gz	9e9ac9634bc30b225c811b8c2d8dc97dfa8b51c99f97741e86bee4cbb4fc92df	HN6_R2_NoIll_No4N_ITS.fastq.gz	c2f7d27a608a9da4d503a79e1e39f8cccc09075aa906b190dbd3d69548bde04a	2.2490866821653936	1.0185984722683494	0.04815675855197609	1.0172700099634673	0.04782464297575556	0.001328462304882099	0.00033211557622052476	0.0	0.0	1.0	0.004649618067087346	0	0.16539355695782132	0	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134739	CD4	CD4_R1_NoIll_No4N_ITS.fastq.gz	ea5140ccb2748798a6a50efc9e44f427930767f88a41d5265be5b6be01988c0f	CD4_R2_NoIll_No4N_ITS.fastq.gz	f602809a2aa3cb6b1f8af7126df01ed1455575afad951a9686918b338372e7eb	1.2114156965828013	1.016386167343734	0.019765814358379135	1.016386167343734	0.019765814358379135	0.0	0.0	0.0	0.0	1.0	0.00047792988085890826	0	0.1655002901717134	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
