sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	B2	B2e	1390331_B	22371_B	787438_B	1157383_B	1463665_B	22017_B	64886_B	46221_B	46220_B	1157325_B	1465458_B	1157406_B	B5a	45591_B	47974_B	46283_B	46225_B	1157296_B	1157307_B	1157328_B	1157385_B	1157278_B	787431_B	46226_B	44386_B	1157356_B	61427_B	1778703_B	1778702_B	1465440_B	1465776_B	46272_B	C1	C1t	C1c	21508_C	282233_C	D1	D4	D4c
134769	HH15	HH15_R1_NoIll_No4N_ITS.fastq.gz	f8723feb534d1beacfeae029e8b1f857f3ea461df9b660b5cce5c90069673a33	HH15_R2_NoIll_No4N_ITS.fastq.gz	ad363db952e9f1b09897074ae870e9fbaab87226246ae5fe3c697791e1f4f89a	19227	14383	424	14383	424	0	0	0	0	14094	14	0	2192	0	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3	11568	334	209	328	171	199	198	201	193	194	201	101	94	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134766	HD6	HD6_R1_NoIll_No4N_ITS.fastq.gz	93a34817035963595fc5799d2a6866b59421651143076925236733f9c4a47f4f	HD6_R2_NoIll_No4N_ITS.fastq.gz	b85869e3a73a62353938e3288f222f5d945fdf158bd147feee1c21ed843cd9c5	21441	15874	449	15874	449	0	0	0	0	15578	14	0	2424	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3	12632	522	224	321	257	192	204	277	246	162	188	129	125	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134770	HI3	HI3_R1_NoIll_No4N_ITS.fastq.gz	c3e72a3c06cc142aa5a301be2935203997f338016bc0ee7ac7330c698d971bb6	HI3_R2_NoIll_No4N_ITS.fastq.gz	ace0fb79f7c134b8d7ca108b30aa8c6fd88acf81b10afd89f81cce006a9e49e6	17542	13059	394	13059	394	0	0	0	0	12818	15	0	2059	0	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3	10400	352	248	233	282	173	212	217	187	112	134	81	93	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
134754	FE10	FE10_R1_NoIll_No4N_ITS.fastq.gz	49b5d45d8fa69bdcd0df127fef4d9d22b867e888e5d0e5e40ed0db7b512a2eee	FE10_R2_NoIll_No4N_ITS.fastq.gz	da936e9e709dc419351d1e8ed3f50d51f4a1e8d5d6c683e4bb133ddf5c8044e9	18487	11259	338	11259	338	0	0	0	0	11090	15	0	1773	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3	8867	431	261	172	164	329	225	136	139	66	74	81	59	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0
134746	CM1	CM1_R1_NoIll_No4N_ITS.fastq.gz	36a007560585bf01d73aaf6e14ccec36b3cb770e44d5c5f8cd6e2d246154ce0b	CM1_R2_NoIll_No4N_ITS.fastq.gz	22f21ff76b12231a0f2ac8758ac1bf017fc63ce1d133fb7e5d55d00bba36ad8d	24194	18212	478	18212	478	0	0	0	0	17916	14	0	2901	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3	14566	449	384	311	236	313	273	294	219	236	198	147	159	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134755	FF8	FF8_R1_NoIll_No4N_ITS.fastq.gz	175403de03572fa7d3beacd786397cf238af595785139ec762543b978b288f38	FF8_R2_NoIll_No4N_ITS.fastq.gz	96edf8b2ddf18bdb15fe6083b0d252ab4b2bf4fc73f001c12702f116f6a8e46b	6998	5055	204	5055	204	0	0	0	0	4985	14	0	811	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3	4024	150	64	95	80	92	119	82	39	56	71	41	35	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134744	CJ13	CJ13_R1_NoIll_No4N_ITS.fastq.gz	5533473fd13161e4a5c5b4bc5cb19f85ffd8ac7e1217e9428eb67c3091d1658f	CJ13_R2_NoIll_No4N_ITS.fastq.gz	323a88495b0abe86895e33e71a346c8a7da5c93e1efd1355e6833b65feb52909	29792	24052	557	24052	557	0	0	0	0	23628	14	0	3852	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3	19165	611	447	474	374	433	403	364	257	281	276	202	167	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134777	HR9	HR9_R1_NoIll_No4N_ITS.fastq.gz	bff67ef8750e0249f6b7985aa43d56ec80122c3087c69d2b8344015345bcf4cc	HR9_R2_NoIll_No4N_ITS.fastq.gz	95b27d4c804e6eac1e0eb507a52f88c9a2665d7864dd4b597d5e25beea98699c	13247	9672	335	9672	335	0	0	0	0	9502	14	0	1554	0	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3	7684	264	183	178	163	169	147	153	123	113	110	63	74	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134774	HN6	HN6_R1_NoIll_No4N_ITS.fastq.gz	9e9ac9634bc30b225c811b8c2d8dc97dfa8b51c99f97741e86bee4cbb4fc92df	HN6_R2_NoIll_No4N_ITS.fastq.gz	c2f7d27a608a9da4d503a79e1e39f8cccc09075aa906b190dbd3d69548bde04a	6772	3067	145	3063	144	4	1	0	0	3011	14	0	498	0	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3	2408	105	19	120	0	39	43	32	66	44	45	33	22	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
134739	CD4	CD4_R1_NoIll_No4N_ITS.fastq.gz	ea5140ccb2748798a6a50efc9e44f427930767f88a41d5265be5b6be01988c0f	CD4_R2_NoIll_No4N_ITS.fastq.gz	f602809a2aa3cb6b1f8af7126df01ed1455575afad951a9686918b338372e7eb	35486	29773	579	29773	579	0	0	0	0	29293	14	0	4848	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3	23671	774	657	615	515	485	442	502	216	369	375	303	196	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
