sample_uid	B2	B2e	1390331_B	22371_B	787438_B	1157383_B	1463665_B	22017_B	64886_B	46221_B	46220_B	1157325_B	1465458_B	1157406_B	B5a	45591_B	47974_B	46283_B	46225_B	1157296_B	1157307_B	1157328_B	1157385_B	1157278_B	787431_B	46226_B	44386_B	1157356_B	61427_B	1778703_B	1778702_B	1465440_B	1465776_B	46272_B	C1	C1t	C1c	21508_C	282233_C	D1	D4	D4c
134749	0.8266232255061671	0.05864556667442402	0.012334186641843147	0.013497789155224576	0	0.013497789155224576	0	0.01885036071677915	0.022806609262276005	0.004887130556202001	0	0.007447056085641145	0.008377938096346288	0.006981615080288574	0	0	0	0	0	0	0	0	0	0	0.00605073306958343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134756	0.8454017720745494	0.031775129850290254	0.034830430797433545	0.007027192178429576	0.008860372746715552	0.010693553315001528	0.007332722273143905	0.021387106630003056	0.00977696303085854	0.0058050717995722576	0	0.008554842652001222	0.003971891231286282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00458295142071494	0	0	0	0	0	0	0	0	0	0	0	0	0
134762	0.8356009070294784	0.02834467120181406	0.01101392938127632	0.01652089407191448	0.019922254616132166	0.025429219306770327	0.009880142533203757	0.00923226433430515	0.00647878198898607	0.007936507936507936	0.00923226433430515	0.00923226433430515	0.0051830255911888565	0.005992873339812115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134752	0.8148846656027854	0.035253155375018136	0.018424488611634992	0.02451762657768751	0.02654867256637168	0.014507471347744088	0	0.009429856376033658	0.01653851733642826	0.008559408095169013	0.007108660960394603	0.010590454083853184	0.004497316117800667	0.005077614971710431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0040620919773683446	0	0	0	0	0	0	0
134765	0.8241986545310646	0.02334784329244163	0.01632370399683419	0.017609814008705975	0.01216857934309458	0.012762168579343095	0.0129600316580926	0.014938662445587654	0.012861100118717847	0.013058963197467353	0.014740799366838147	0.009200633161851999	0.008013454689354967	0.00781559161060546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134763	0.7544378698224852	0.09270216962524655	0.08086785009861933	0	0.045364891518737675	0	0	0	0	0	0	0.007889546351084813	0.008875739644970414	0.005917159763313609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0039447731755424065	0	0	0	0	0	0	0	0	0
134738	0.8233165111892746	0.02324514451751032	0.014987001070500076	0.026966406688076667	0.013355762858744966	0.021919763470459295	0.014222358158739868	0.022480501605750113	0.007697405311719427	0.010297191211704134	0.009583524494061274	0.007901310088188816	0.004027119335270429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134745	0.8206527230473881	0.025866424168940083	0.017277963019096697	0.017783166616146307	0.01465090431443872	0.020107103162574518	0.012933212084470042	0.016267555824997473	0.008083257552793776	0.011518642012731131	0.010407194099221986	0.008083257552793776	0.007982216833383854	0.008386379711023543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134760	0.8228517606144037	0.022967685842631504	0.01593971888132155	0.019924648601651933	0.01405593392261991	0.012824228372699609	0.013548761049123316	0.014345746993189393	0.011520069555136937	0.014418200260831763	0.013548761049123316	0.00753513983480655	0.008187219243587885	0.008332125778872627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134776	0.8204009794918886	0.02441077441077441	0.024793388429752067	0.018748086929905112	0.018518518518518517	0.011172329354147536	0.009871441689623508	0.012243648607284972	0.015534129170492806	0.010254055708601164	0.011248852157943067	0.00864707682889501	0.006734006734006734	0.007040097949188858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00038261401897765536	0	0
134769	0.820774797786292	0.023698027529445154	0.01482900525046119	0.023272314460053924	0.012132822477650063	0.014119483468142471	0.0140485312899106	0.014261387824606215	0.013693770398751241	0.013764722576983114	0.014261387824606215	0.007166170001419043	0.006669504753795941	0.007308074357882787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134766	0.8108871485428167	0.03350879445371678	0.014379252792399537	0.020605982796251122	0.01649762485556554	0.012325073822056746	0.013095390935935293	0.017781486712029785	0.015791500834510207	0.01039928103736038	0.012068301450763898	0.008280908974194376	0.008024136602901528	0.00635511618949801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
