"","Estimate","Std. Error","z value","Pr(>|z|)"
"1|2",-3.56739514118233,0.270471346357832,-13.1895492414294,1.00786066802637e-39
"2|3",-3.00931629020946,0.254926942449208,-11.8046223804259,3.69445798605545e-32
"3|4",-2.44629311393599,0.244348448409995,-10.0114943632927,1.35687271825816e-23
"4|5",-1.50699975788597,0.233997553989297,-6.44023722553485,1.19286910526653e-10
"TreatmentCold",-1.38576775958017,0.250744449971052,-5.52661388812456,3.26470361763971e-08
"TreatmentHeat",0.396211668524414,0.299558859437833,1.32265047766561,0.185951639429411
"Sym.StatusBrown",2.23955248780506,0.486487601609465,4.60351400610389,4.15421244628159e-06
"TreatmentCold:Sym.StatusBrown",-2.0833652729117,0.499102775893483,-4.17422096918236,2.99007437578055e-05
"TreatmentHeat:Sym.StatusBrown",-2.00398830108301,0.550760453811253,-3.63858422879756,0.000274140969791226
