baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Sym_100100_c0_g2	93.2336620951292	-0.0979705753968876	0.122586402421778	-0.799196105452253	0.42417670983801	0.5784422728702
Sym_100230_c0_g1	67.8361411518469	0.106051101778518	0.0726235530163251	1.46028522943072	0.144211699770313	0.261935536317506
Sym_100246_c0_g3	80.4975709229601	-0.811590928513427	0.224158552397033	-3.62061103551349	0.000293908084387766	0.00201213996234701
Sym_100437_c0_g1	99.6199316700787	-0.168865303121671	0.0873180100391722	-1.93391149255366	0.0531240108591436	0.125253705357469
Sym_100629_c0_g1	163.9414529534	-0.131480106724036	0.153563077642638	-0.856196090508214	0.391889324694364	0.553825963982
Sym_100793_c2_g1	111.495909924946	-0.277161530578422	0.12061521387481	-2.2978985956622	0.0215675612450171	0.0650682356205602
Sym_100802_c0_g1	129.940010305374	0.00985109609015476	0.0978092207188331	0.100717458106257	0.919774752281322	0.949100903803335
Sym_101037_c0_g1	139.608110414545	0.0869587998738578	0.129917989877906	0.669336093912627	0.50328110735491	0.645622880507287
Sym_101057_c0_g1	182.904974922169	-0.219328160081887	0.156288640378395	-1.40335317749816	0.160511548029379	0.282881738111182
Sym_101138_c0_g1	94.8592914827696	0.301494276211328	0.160718740879641	1.87591238309359	0.060667311980162	0.141160542908089
Sym_101210_c1_g3	60.3751824837846	0.0192890747877698	0.0917416742692209	0.210254226788634	0.833469258455091	0.894545616980853
Sym_101261_c1_g1	77.9641189630443	-0.306957783456871	0.0833681217344047	-3.68195632900045	0.000231451063775629	0.00171659538966925
Sym_101299_c0_g1	53.9566524065268	0.475258191227015	0.137463129649335	3.45735029050616	0.000545515252341474	0.0031836627841568
Sym_101312_c0_g2	33.0048212738464	0.805849571241956	0.198808019457253	4.05340576019987	5.04773394576565e-05	0.000561560401466429
Sym_101326_c0_g1	177.378923875191	-0.104433424727796	0.114044398659823	-0.915726032624411	0.359810607459114	0.522826841858958
Sym_101441_c0_g1	121.54713788569	-0.302374108167467	0.134908218711952	-2.24133200374602	0.0250045773846473	0.0704458742428337
Sym_101501_c0_g1	143.768236650169	-0.0130911901495308	0.089152374645071	-0.146840622043426	0.883257820443721	0.929153535178909
Sym_101501_c0_g2	76.041360660439	-0.289359766527931	0.160255837322452	-1.80561139838987	0.0709790609696413	0.159927504463242
Sym_101543_c0_g2	265.173308139686	-0.354788648562568	0.0825112840596663	-4.29988034492361	1.70890351785905e-05	0.000253487355149093
Sym_101543_c0_g3	232.022680976357	-0.348334884279778	0.122187479819501	-2.85082305318311	0.00436062286454844	0.0174424914581938
Sym_101592_c0_g2	200.01141008103	-0.209949660261578	0.11329084280706	-1.85319179431946	0.0638548733908978	0.147612564462075
Sym_101592_c0_g3	114.635109582173	-0.141210837725027	0.163521837779752	-0.86355950766175	0.387829916264484	0.552269800760625
Sym_101757_c0_g1	135.174328354375	-0.0402436003312597	0.108121828520285	-0.372206064973361	0.709739430795531	0.807243569850508
Sym_101806_c0_g1	98.6788453239963	-0.367999318131653	0.15186844974638	-2.4231452862409	0.0153867716238086	0.0493485648475302
Sym_101851_c0_g1	310.537123884731	-0.320681710109485	0.134808363766632	-2.37879684278803	0.0173692457440704	0.0542408024990269
Sym_101880_c0_g1	136.773004753221	-0.118446119862203	0.10526795853313	-1.12518682334783	0.260509875584427	0.394644747693855
Sym_101976_c0_g1	121.802033839492	-0.44898936582795	0.132057547284313	-3.39995233185195	0.000673976016085443	0.00380849939248282
Sym_102324_c0_g5	59.4966526963687	-0.24868232206087	0.096987483139693	-2.5640661455529	0.0103453826833496	0.0364649132205193
Sym_102382_c3_g3	586.559287161466	-0.197410635384937	0.0744696939577041	-2.65088554677099	0.00802810412616489	0.0288687380698455
Sym_102395_c0_g1	159.745996253792	0.0579992885184629	0.0997679898860897	0.581341656624371	0.561010210590815	0.694506702346633
Sym_102471_c7_g1	197.905242982269	-0.418545627615925	0.183586588902951	-2.27982681151716	0.0226179621704243	0.0663878910570751
Sym_102539_c1_g2	59.7287003292667	0.0418795444744692	0.127061711294482	0.329600034879178	0.741702196242379	0.825143693319647
Sym_102539_c1_g5	232.507452020929	-0.00216488602939373	0.119072430691289	-0.0181812533499588	0.985494257825214	0.988270297988102
Sym_102539_c1_g9	70.1200667444337	-0.233560881413411	0.169291345033317	-1.37963864229116	0.167697933374	0.289952806222411
Sym_102636_c0_g1	272.766940820579	-0.142338050042683	0.0591408845455151	-2.4067622785239	0.0160946425438773	0.050705245536463
Sym_102664_c0_g1	116.674445315695	0.109488781891219	0.183897118855068	0.595380626803124	0.551589072400853	0.689002490437556
Sym_102695_c0_g1	84.2369022204844	-0.360201655257017	0.166649591346634	-2.16143137433677	0.0306620327244556	0.0808569159252311
Sym_102774_c0_g1	262.930837632511	-0.18226609543299	0.127250661325951	-1.4323390820431	0.152046803373484	0.273377080812931
Sym_102797_c0_g2	70.8862016918398	-0.0747659332215886	0.11193360454114	-0.667948946414116	0.504166181969173	0.645622880507287
Sym_102806_c2_g3	63.3145081993887	0.106972878601447	0.0921523667058465	1.16082616676475	0.245712599438564	0.378673962771121
Sym_102806_c2_g4	124.218713416478	0.0397540352688163	0.17707264612192	0.22450692492303	0.822362879128029	0.892466553710658
Sym_102873_c0_g2	48.4835069321809	0.0687672655077376	0.165669030281113	0.415088235809981	0.678077311113164	0.795545028293406
Sym_102902_c2_g1	96.6848134985287	-0.25500942451893	0.196641975270445	-1.29682090595464	0.194692815724841	0.322375080921132
Sym_103005_c0_g1	193.31225952973	-0.103683121880122	0.131007835470215	-0.791426875407731	0.428694932073857	0.5784422728702
Sym_103012_c3_g1	47.2663912342848	0.160963272311064	0.150732148738972	1.06787618738064	0.28557636528801	0.427265229811369
Sym_103171_c0_g1	168.870352424003	-0.369933900158507	0.126924609207289	-2.91459554194367	0.00356149775860549	0.0149163906125124
Sym_103259_c1_g1	53.1776431901676	0.0626770657272615	0.126242001377224	0.496483460682598	0.61955335357458	0.754477026779614
Sym_103259_c1_g2	45.4690519523883	0.352169365431576	0.192604245590343	1.82846107235153	0.0674803828253163	0.153012842584794
Sym_103259_c1_g4	184.220613304865	-0.0573709562441097	0.118695207979976	-0.483346861431745	0.628849471827707	0.758821886132177
Sym_103259_c2_g1	65.1622658478403	0.387311669704539	0.100799126627912	3.84241096784751	0.000121831614327109	0.00108430136751127
