"","OC4_F_B","OC5_H_B","OC9_C_B","OD4_C_B","OD5_F_B","OD6_H_B","OF7_C_B","OF8_F_B","OF9_H_B","OI1_C_B","OI2_F_B","OI3_H_B","OJ13_C_B","OJ14_F_B","OJ15_H_B","OM1_C_B","OM2_F_B","OM3_H_B","OR7_C_B","OR8_F_B","OR9_H_B","Control_1.1","Control_1","Control_2.1","Control_2","Control_3.1","Control_3","Control_4.1","Control_4","Cool_1","Cool_2","Cool_3","Cool_4","Heat_1.1","Heat_1","Heat_2.1","Heat_2","Heat_3.1","Heat_3","Heat_4.1","Heat_4"
"Sym_101501_c0_g2",73.0941618114977,47.8473997841051,81.8508139175594,101.71001050021,91.2659026169848,121.966116920726,101.634860150085,52.6083416134865,91.2188249091357,72.9559213894083,52.762969894855,123.213177583342,114.418282949346,68.1836010821116,113.169268575431,70.5474796181827,36.8141944774018,101.439652618413,105.965496640761,40.9330870614781,121.82030785878,78.1270258760921,79.238185763306,80.7122596632647,136.824797845052,93.0495265104196,89.5912731689091,96.8296188584184,117.680988184434,94.6188150837636,72.5717693544239,69.3761625877751,65.8896439176528,99.1268019056349,69.8084753167206,86.2433768715545,72.1501724779536,75.7760228427343,116.418898244804,82.9404991433377,111.328922969576
"Sym_101543_c0_g2",374.607579283926,306.223358618272,358.884337946222,406.840042000841,289.670038740865,222.408801443677,291.353265763578,420.866732907892,262.254121613765,303.496632979939,233.664580962929,280.02994905305,343.254848848038,280.310360004236,324.418569916235,230.207565069859,257.699361341813,297.402617903985,324.129754430562,257.293690100719,287.938909484388,323.147564972141,331.379557564612,306.464669865829,375.626254673816,398.929759654562,403.401566015922,390.380281563584,379.701310856306,274.811999691814,289.438284793667,234.409478071525,288.75890590031,315.448461994336,269.225517708929,305.683309945381,262.72865836669,272.390492127951,305.395466537972,285.174141735391,269.844967417999
"Sym_101543_c0_g3",237.556025887368,354.070758402377,283.329740483859,278.007362033908,174.595639789014,322.851485966628,311.680237793595,223.585451857318,239.449415386481,215.949527312649,260.046065910357,302.432344977294,206.691091779463,231.0666481116,196.160065530747,193.077312639237,266.902909961163,297.402617903985,292.963431889162,286.531609430346,321.16262980951,250.027344492647,269.737713743227,264.459106934812,420.195190164899,310.700695271056,292.375821578107,310.581959302792,354.724121527365,248.02652630413,252.515805648434,203.183140124686,224.95904546512,301.711789071084,222.811638958924,264.721189104933,217.17930705485,221.754558240866,304.462248916771,224.704047324504,271.47915344324
"Sym_101592_c0_g2",219.282485434493,177.035379201189,201.4789265663,196.63935363374,226.180715181223,172.187459182201,176.167090926814,315.650049680919,176.73647326145,230.54071159053,203.514312451584,179.219167393952,199.309267073054,200.76282540844,248.972390865948,271.050842743544,147.256777909607,343.511550912354,211.930993281522,210.513019173316,177.193175067316,301.764333590834,271.705006631143,274.905516564253,317.668297409692,288.20520534546,292.857495089767,296.803831718195,279.552388258532,222.980369370193,216.229920971222,289.797371624291,232.334751873813,187.115760900524,117.723611600419,144.760692357908,145.636459261055,132.222637667682,132.516902210518,139.881210611955,123.381044905731
"Sym_101592_c0_g3",91.3677022643722,129.187979417084,144.812978469528,183.078018900379,107.138233506895,150.664026784426,40.6539440600341,78.9125124202298,193.840002931913,201.358343034767,109.294723353628,78.4083857348541,140.254669421779,83.3355124336919,116.941577527945,152.234034965552,82.8319375741541,131.410459073854,155.831612707001,122.799261184434,166.118601625609,109.315251159071,111.042754117957,111.061828691958,200.10168156696,114.230344946857,155.098870754778,93.5764498453885,113.117847826262,85.9222328150354,100.581925947359,115.014656510079,133.008572236754,185.011946128495,145.621980768213,154.095597447398,140.534931914129,163.173407561193,158.413691198841,179.2926534673,123.993864665197
"Sym_101757_c0_g1",73.0941618114977,162.681159265957,214.071359476694,142.394014700294,146.819060731671,93.2682070570257,142.288804210119,131.520854033716,131.127060806883,157.584790201122,146.98255899281,89.6095836969761,143.945581774983,174.246980543174,139.575431243031,200.503363125361,156.460326528958,170.603052130968,218.164257789802,169.579932111838,121.82030785878,163.138409172507,155.30684409608,150.318336457334,186.345837279589,152.794041962165,158.952258848065,136.824461430374,151.784458229719,105.750440387736,148.538709204961,152.458002916923,176.894025368475,210.752738633329,150.626172547189,162.733867828717,150.980916481644,152.619313612831,163.079779304845,161.292800461725,141.357091183388
"Sym_101757_c0_g2",9.13677022643722,71.7710996761576,44.0735151863781,20.3420021000421,3.9680827224776,78.9192521251756,33.8782867166951,13.1520854033716,28.5058827841049,35.018842266916,30.1502685113457,67.2071877727321,18.4545617660235,22.7278670273705,45.2677074301724,44.5563029167469,27.6106458580514,41.4980397075327,43.6328515579603,23.3903354637018,11.0745734417072,32.648543523654,35.6298600811555,31.669115508202,30.6296799465465,30.2374442506387,27.2145534088353,30.2353355328658,32.1821477892125,49.0487239956275,38.6200643932899,29.5307901850204,38.230744885056,36.8786354155795,36.03018080863,39.4295244824716,43.6059123225343,32.3737937966611,38.4952268745343,39.6467350514962,32.070900745364
"Sym_101806_c0_g1",164.46186407587,124.403239438673,119.628112648741,81.3680084001682,115.07439895185,107.617161988876,176.167090926814,26.3041708067433,119.724707693241,107.974763656324,90.4508055340371,100.810781659098,81.2000717705035,87.123490271587,94.3077238128591,118.816807777992,119.646132051556,142.937692325946,87.2657031159207,140.342012782211,66.4474406502434,116.512533916682,120.660630458883,113.261072824472,193.315465051857,102.398301544433,105.245662297885,102.76186823512,108.794872750099,77.5735138370562,91.2452070830476,87.03811844006,100.555464038507,173.255334167152,109.091380781685,108.953668357925,103.123731370004,108.624157940445,141.382469611926,115.175530016068,108.877643931713
"Sym_101851_c0_g1",429.428200642549,291.869138683041,365.180554401419,345.814035700715,464.265678529879,308.502531034777,304.904580450256,775.973038798926,222.345885716018,326.842527824549,373.109572827903,246.426355166684,328.491199435219,458.345318385305,331.963187821264,297.04201944498,294.513555819215,283.569938001474,274.263638364322,345.007448089601,265.789762600974,303.641885614558,381.217644058499,325.708056025327,526.20689680624,365.9168978157,522.61576015197,366.07719540742,577.357337949752,302.988926242493,322.541197130773,357.901873390701,318.138803094935,281.663671831742,299.751087560685,295.373116264452,308.763869425855,298.242093035175,316.827382397682,308.468069154371,284.756914898327
"Sym_101880_c0_g1",109.641242717247,129.187979417084,125.924329103938,122.052012600252,119.042481674328,193.710891579977,121.961832180102,210.433366453946,96.9200014659567,180.930685045733,139.444991864974,201.621563318196,162.400143541007,170.459002705279,203.704683435776,174.512186423926,101.239034812855,152.15947892762,162.064877215281,134.494428916285,143.969454742194,170.335691930118,158.367077477283,164.063612285546,140.676434245516,149.580400544222,125.9576232993,145.435791170747,115.99983121037,111.316253039722,135.594621688529,122.220734497812,145.424344691387,209.638954342254,196.539632119297,195.336372171114,197.744917161799,191.159544323142,173.111868732754,195.410168903665,160.76305023313
"Sym_101971_c0_g1",36.5470809057489,57.4168797409261,25.1848658207875,88.1486757668489,55.5531581146864,71.7447746592506,40.6539440600341,0,39.9082358977469,37.9370791224923,37.6878356391821,44.8047918484881,29.5272988256376,26.5158448652656,71.6738700977729,55.6953786459337,64.4248403354532,50.7198263092067,24.9330580331202,52.6282547933289,66.4474406502434,47.9818850507375,46.9964412113401,40.4660920382581,45.6694030340724,44.9909798511919,30.8271047462913,48.797535195448,46.5920647097554,43.8307746343905,52.4129445337506,47.3340416841236,43.8854531317202,74.4997936918754,47.1645075168524,44.7239482645703,56.4811956266809,47.671300755523,40.3616621169359,44.1172867783711,43.1016564157439
"Sym_101976_c0_g1",100.504472490809,138.757459373905,94.4432468279531,189.858686267059,59.521240837164,143.489549318501,135.51314686678,210.433366453946,153.931767034166,180.930685045733,120.601074045383,168.01796943183,125.49102000896,125.003268650538,139.575431243031,103.964706805743,193.27452100636,124.494119122598,168.298141723561,140.342012782211,166.118601625609,128.403696733604,143.612380817909,128.875706165322,233.299119113816,159.951697847582,162.08313667386,150.411226131851,183.726440736922,118.621382145454,106.311276159551,105.547848173255,117.888374098935,167.810166521899,127.857099952847,159.111367346228,120.128822526424,128.78366323507,181.277522918261,134.704782296627,152.387846853768
"Sym_102048_c0_g1",45.6838511321861,28.708439870463,18.8886493655906,61.0260063001262,19.840413612388,50.2213422614754,47.4296014033731,39.4562562101149,45.6094124545678,58.3647371115267,26.3814849474275,22.402395924244,29.5272988256376,26.5158448652656,71.6738700977729,29.704201944498,9.20354861935045,41.4980397075327,24.9330580331202,35.0855031955526,110.745734417072,38.38550804059,35.1926838838407,40.136205418381,67.4953426367014,49.2271435384794,43.1097792936418,39.803479688836,45.1510730177011,23.6547037709409,23.9783916288009,11.8688343327355,25.8149724304237,62.4956741102942,36.655704781002,51.2723145213765,32.0667433235349,43.5208143713357,56.6929704879505,48.7054846033217,36.3606390616228
"Sym_102230_c0_g1",45.6838511321861,66.9863596977471,62.9621645519688,20.3420021000421,35.7127445022984,50.2213422614754,101.634860150085,13.1520854033716,39.9082358977469,37.9370791224923,41.4566192031004,33.603593886366,40.6000358852517,45.455734054741,37.7230895251436,81.6865553473694,9.20354861935045,48.4143796587882,49.8661160662404,17.5427515977763,55.3728672085362,40.5759854016019,39.7830339556461,47.7235976755543,65.6612300650519,49.9575165880118,48.649024677741,54.3470588059107,44.430577171674,47.3094075418818,43.9250182934671,34.7587291172967,42.7790971704164,83.78132945083,40.5339534097087,39.0115436575691,37.2897356072925,41.9792051429232,45.4943590335405,38.352627972664,41.8760168968128
"Sym_102324_c0_g5",54.8206213586233,71.7710996761576,88.1470303727563,81.3680084001682,59.521240837164,71.7447746592506,47.4296014033731,52.6083416134865,62.7129421250308,75.8741582449847,64.0693205866096,89.6095836969761,47.9818605916612,53.0316897305312,90.5354148603447,44.5563029167469,18.4070972387009,89.9124193663209,81.0324386076406,52.6282547933289,44.2982937668289,70.825434672719,69.9481915703667,67.4068326615549,85.1028233245365,68.9472158758525,64.5442505625474,78.8415078451944,77.0930555249045,59.8324860088505,57.5057002779207,62.735267187316,55.0719411849038,84.400098501427,67.80679860513,67.1555858676725,64.8622762680593,71.7441217838094,69.7580171847621,72.7052886107556,80.4836617431427
"Sym_102382_c3_g3",566.479754039107,822.975276286607,692.583810071656,650.944067201346,634.893235596416,688.749836728805,508.174300750426,486.627159924751,718.348246159444,642.012108226793,663.305907249606,593.663491992467,609.000538278776,583.348587035843,720.511009930243,512.39748354259,469.380979586873,737.742928133915,679.425831402525,596.453554324395,764.145567477799,700.118287957717,693.689331089246,636.571214156185,847.176596844901,704.95606740861,759.358291133254,686.418661749302,722.177003001209,547.536819639132,629.804127029036,606.582211790873,625.091118136687,799.697120991527,634.281307985257,661.38499193743,663.198555100382,614.627740835511,668.650425590395,642.700633787311,577.889033176017
"Sym_102395_c0_g1",164.46186407587,215.313299028473,151.109194924725,108.490677866891,146.819060731671,236.757756375527,74.5322307767292,92.0645978236014,222.345885716018,116.729474223053,139.444991864974,257.627553128806,166.091055894212,132.579224326328,313.101643058692,129.955883507179,174.867423767659,235.155558342685,130.898554673881,105.256509586658,254.715189159266,133.410502130203,129.29486035585,127.226273065936,150.397230875258,121.680150052087,117.528336845236,124.577236910732,117.200657620416,143.667539079391,128.592082540295,118.123160740081,123.420153905454,306.290680045501,244.329663608522,272.244843953179,249.367515315217,247.487573822827,320.560252882485,269.880148985556,314.376536605829
"Sym_102471_c7_g1",210.145715208056,129.187979417084,157.405411379922,278.007362033908,246.021128793611,200.885369045902,196.494062956831,420.866732907892,256.552945056944,274.314264424175,324.115386496966,134.414375545464,151.327406481393,306.826204869502,169.753902863146,115.10378253493,266.902909961163,186.741178683897,174.531406231841,239.750938502943,310.088056367803,159.487613570821,191.592468473208,187.705486710072,284.287448605671,200.706514011486,323.684599836059,153.090306495523,266.103132466026,161.060703616848,188.219764378287,107.667282875529,168.657819878768,221.271812493477,335.155744396943,349.989277385048,267.101396092626,234.680358694478,352.756260813914,305.173978408253,312.333804074277
"Sym_102539_c1_g2",82.230932037935,81.3405796329786,100.73946328315,61.0260063001262,47.6169926697312,71.7447746592506,101.634860150085,39.4562562101149,57.0117655682098,55.4465002559503,86.6820219701189,22.402395924244,62.74551000448,98.4874237852723,60.3569432402298,63.1214291320582,55.2212917161027,59.9416129108806,43.6328515579603,87.7137579888816,55.3728672085362,69.7823502150943,75.4128940368016,66.637097215175,67.1285201223715,60.3288138913709,59.486678690109,58.5570422345376,65.8052872704793,51.4837670308714,59.8398799939987,69.9413451750483,75.1092769285184,77.5936389448603,70.559104083567,64.369047034989,69.7208737413222,69.491000603822,62.2922762151555,68.822967374259,56.3794178708309
"Sym_102539_c1_g5",255.829566340242,291.869138683041,239.256225297481,203.420021000421,210.308384291313,251.106711307377,386.212468570324,223.585451857318,222.345885716018,210.113053601496,248.739715218602,257.627553128806,317.418462375605,246.218559463181,252.744699818462,285.902943715793,358.938396154668,195.962965285571,199.464464264962,263.141273966645,210.416895392437,288.09992719595,269.409831595241,279.963778069035,219.359863569279,275.058490453878,253.601103889412,263.698052938539,183.005944890895,239.329944035402,219.625091467336,290.786441152019,217.952124376863,314.210923893142,239.325471829546,270.990901478471,274.875152049847,270.374541598489,264.100586799835,249.880312312694,266.372322114361
"Sym_102539_c1_g6",45.6838511321861,52.6321397625156,25.1848658207875,54.2453389334455,11.9042481674328,35.8723873296253,33.8782867166951,78.9125124202298,39.9082358977469,32.1006054113397,37.6878356391821,33.603593886366,29.5272988256376,30.3038227031607,33.9507805726293,37.1302524306224,18.4070972387009,25.3599131546033,68.5659095910805,23.3903354637018,66.4474406502434,35.8821053422906,43.2804435341644,29.799757995565,40.3504765762889,31.8442649596098,34.6804928395777,34.8280447277315,36.2649575833663,44.5265012158888,31.8297234010631,43.0951722795752,35.0346054412893,28.2158687072219,29.7749410849095,29.6766385680793,26.1149614187879,26.3259422082739,25.1968757724224,24.7056805958878,24.9213368849325
