baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ORTHOMCL5602	9.78470607207602	-1.09113090467996	0.466179438359679	-2.34058136180195	0.0192537427592087	0.0614128001802348
ORTHOMCL1396	7.28023738256898	-0.941413914548168	0.417016926816625	-2.25749568904702	0.0239771185594129	0.0715680180529406
ORTHOMCL7155	17.6103550190666	-0.158972222600323	0.239465656574418	-0.663862304409065	0.506778444501002	0.655622463165631
ORTHOMCL7010	21.5697111192524	1.09306063053557	0.264017356542654	4.14010898695964	3.47140853448013e-05	0.00023785576995512
ORTHOMCL8860	8.17143768128585	0.264461363148135	0.276771743328932	0.955521542651965	0.339314016463013	0.521645277382733
ORTHOMCL5435	29.1305501100696	0.304446550548172	0.140123029144645	2.1727088859455	0.0298022345692878	0.0848217445433577
ORTHOMCL8210	3.54342240545695	-0.959731158165375	0.523384476560904	-1.83370199374588	0.0666982425143313	0.160249024222744
ORTHOMCL8854	4.05641081184934	0.157354421106039	0.452962161654777	0.347389769889799	0.728298517818438	0.826596477278596
ORTHOMCL798.1	13.1215965495198	-1.19936475402081	0.286969012248857	-4.17942252587443	2.92250258217365e-05	0.000207947299116202
ORTHOMCL3522.1	45.6637642770225	0.801685622367767	0.208299856733935	3.84870942754306	0.000118741756092221	0.00064609484932532
ORTHOMCL8145	2.70851095884687	-0.199238572585648	0.603382434285577	-0.33020280549193	0.741246727143378	0.831094815281969
ORTHOMCL5408	3.6849108651166	-1.67504995919599	0.621255380084723	-2.69623412994436	0.00701283557365734	0.0244787656816341
ORTHOMCL3470	20.9509497901857	0.620225379191726	0.195402052304502	3.17409859250203	0.00150302626784383	0.00662047284645496
ORTHOMCL1829	75.7082254206203	-0.401336801056236	0.189072089881962	-2.1226654939224	0.0337818924805087	0.0905994614850771
ORTHOMCL8796	36.40996467752	1.1591205965247	0.232413407324575	4.98732241770345	6.12218487812896e-07	9.43836835378215e-06
ORTHOMCL4705	10.0839686237335	0.454277452028024	0.231869756538746	1.95919234491504	0.0500902652953157	0.128704153883797
ORTHOMCL8156	43.8944163800729	1.17073931921547	0.188095426191199	6.22417749820992	4.84088792472258e-10	9.95071406748531e-09
ORTHOMCL2376.1	6.16656859574498	-0.0244203947439315	0.437169245241683	-0.0558602761052669	0.955453116467082	0.960645796447881
ORTHOMCL9014	132.531884007026	-1.53374079471194	0.223110478060608	-6.87435573642265	6.22706387434054e-12	1.920011361255e-10
ORTHOMCL2215.1	4.38663419337012	-0.419644946525095	0.500427266051649	-0.838573305239895	0.401708795860276	0.567298681176726
ORTHOMCL1830	9.95669588034054	1.02991300005121	0.354499184132102	2.90526197563099	0.00366945826999803	0.0141427037489507
ORTHOMCL3469.1	9.09234884458919	-0.679338760074419	0.426564696017138	-1.59258083572656	0.111254255563751	0.223717796514064
ORTHOMCL1812.1	3.12992715404478	-3.94783638332012	1.32559501463138	-2.97816176113028	0.00289982896104674	0.0114142203785882
ORTHOMCL5488	30.7320015129277	-0.192290370895757	0.208626960602938	-0.921694733700918	0.356687828303392	0.53231110275196
ORTHOMCL1657	37.5301107830573	-0.613781168380856	0.197072078379338	-3.11450091473337	0.00184256385363684	0.00792730960285615
ORTHOMCL8950	9.13313313772757	-5.41896337256304	1.17458576169239	-4.6135101831604	3.9592485629022e-06	4.30859402433475e-05
ORTHOMCL4641	3.3095691424133	0.259621854813543	0.403010615088578	0.644205996302306	0.519441863079219	0.667338504650385
ORTHOMCL5387	4.50341257219999	-0.883271257034793	0.441395781903337	-2.00108676441368	0.0453830404377448	0.118251584239194
ORTHOMCL2459.1	40.9449552321284	-0.293526465053413	0.223747554347614	-1.31186446220275	0.18956587011219	0.340482388065584
ORTHOMCL3658	315.025928340128	-0.0253097573517099	0.405366556618702	-0.0624367179247026	0.950215055311447	0.960599919303922
ORTHOMCL5426	22.6041054122574	-0.693982496486572	0.231801126108822	-2.99387025480098	0.00275463056151228	0.0111257084201834
ORTHOMCL8292	5.57657715953193	-0.399574230361191	0.419796666423096	-0.951828021327059	0.341184208450328	0.521645277382733
ORTHOMCL4694	13.5785092136599	0.931400539626673	0.405139751596267	2.29896112627042	0.0215071468355364	0.0674376638063429
ORTHOMCL8834	6.07766436860135	-0.368973911854757	0.343517530358363	-1.07410504340153	0.282775604395514	0.448477578401086
ORTHOMCL1353.1	16.8992414336463	0.275124966002425	0.448752372147788	0.613088605383055	0.53981775408243	0.688732996587928
ORTHOMCL2178.1	48.0817070927392	0.236963575721882	0.222466874005086	1.06516341716774	0.286801985212439	0.449647180205943
ORTHOMCL5179	18.936953261105	-0.125404210013101	0.187905465105766	-0.667379258727333	0.504529911031303	0.655622463165631
ORTHOMCL1813.1	62.2044791189103	-0.678995605884556	0.273492777166667	-2.48268203979213	0.0130397422192075	0.0430777198313106
ORTHOMCL1140	4.12969846144785	-0.241710573068994	0.481807383203706	-0.501674697182463	0.615896365946591	0.751370460042019
ORTHOMCL1113.1	408.097185771704	-0.461547523821382	0.21571090468622	-2.13965781884214	0.0323824302782874	0.0905994614850771
ORTHOMCL2461.1	22.6212718834905	-1.60662757584729	0.244270945615258	-6.57723566673308	4.79274836426011e-11	1.26665492484017e-09
ORTHOMCL5380	6.72800275224529	-1.67780693891013	0.339434144632887	-4.94295275074566	7.69481379228557e-07	1.09503119351756e-05
ORTHOMCL3054.1	8.58327266794431	0.830417425614822	0.304054074141334	2.73115046381131	0.0063113649891492	0.022894167117502
ORTHOMCL5282	39.2032180225226	0.730804393150826	0.172615975686178	4.23370079302193	2.2987674585876e-05	0.000170108791935483
ORTHOMCL8692	8.89462765546038	0.531981941196547	0.300501713491163	1.77031250509722	0.0766750960313504	0.179555604630378
ORTHOMCL2424	10.4263042886745	0.480544638502723	0.25981264673354	1.84958139853586	0.0643739058806083	0.156699639314639
ORTHOMCL8891	6.02600648696287	0.544707156917788	0.410144573510144	1.32808573390601	0.184149785786641	0.333997160495378
ORTHOMCL294.2	23.1949241014193	-0.291302616681375	0.593452384242997	-0.490860976239835	0.623524779317532	0.751370460042019
ORTHOMCL8888	26.5892294597026	1.37981643003017	0.169829607094388	8.12471072410416	4.48430611354371e-16	4.14798315502793e-14
