"","OC4_F_B","OC5_H_B","OC9_C_B","OD4_C_B","OD5_F_B","OD6_H_B","OF7_C_B","OF8_F_B","OF9_H_B","OI1_C_B","OI2_F_B","OI3_H_B","OJ13_C_B","OJ14_F_B","OJ15_H_B","OL6_C_B","OL7_F_B","OL8_H_B","OM1_C_B","OM2_F_B","OM3_H_B","OR7_C_B","OR8_F_B","OR9_H_B","Control_1.1","Control_1","Control_2.1","Control_2","Control_3.1","Control_3","Control_4.1","Control_4","Cool_1","Cool_2","Cool_3","Cool_4","Heat_1.1","Heat_1","Heat_2.1","Heat_2","Heat_3.1","Heat_3","Heat_4.1","Heat_4"
"Sym_100100_c0_g2",92.3494443778008,78.6795416849154,74.8291545091344,85.8918737654041,68.8064143840925,64.5118788894554,113.529899753068,71.4746003188769,77.1307720612971,100.424638522665,55.0199013963003,71.1274754555336,136.063065890202,114.02343712499,110.718541766753,82.9894533779821,66.4973123205541,96.8209294972437,113.126560141455,83.619551916969,117.052853797673,107.61108238292,105.862614750597,108.696169663497,99.553144841761,95.7569628739135,88.1099464088986,119.382656680123,89.7996753333529,82.0691360338046,87.2600632659675,90.882717890718,75.6273614559847,76.1949220159539,110.131759093332,88.2629955195134,117.217104981474,82.1545491300299,105.48878235897,94.531341173704,89.9947780335489,111.767759952185,94.6039692016451,106.60302792736
"Sym_100230_c0_g1",58.7678282404187,74.3084560357534,80.5852433175294,79.7567399250181,65.1850241533508,64.5118788894554,77.6783524626252,59.5621669323974,56.5625661782846,66.0688411333322,75.652364419913,91.4496112999717,53.0977818108106,62.1946020681766,73.812361177835,79.3812162745915,74.320525534737,62.2420261053709,100.197810411003,25.0858655750907,62.7068859630391,45.3099294243874,68.8106995878881,49.407349847044,65.4418251939323,62.9727014883668,60.7152331924604,64.3436247364469,67.8599819280451,60.0301097331666,64.0921782515537,67.3676090658469,74.0044567037103,66.2147307191539,67.2451564346343,69.6579977186624,72.6446043669463,70.9415633703907,80.4721669163635,74.1657181328253,74.9258849674663,72.0418342233237,70.5116301733447,72.4681542588386
"Sym_100246_c0_g3",92.3494443778008,69.9373703865914,132.390042593084,110.432409126948,61.5636339226091,90.3166304452375,77.6783524626252,59.5621669323974,77.1307720612971,47.5695656159992,106.601058955332,101.610679222191,53.0977818108106,48.3735793863596,137.559400376874,72.1647420678105,62.5857057134627,96.8209294972437,54.9471863544212,41.8097759584845,60.6166564309378,96.2836000268231,37.051915162709,98.814699694088,66.2760694244498,72.2022882713946,66.2524624596128,151.554469048347,104.723769103242,85.4274638510447,104.847362838953,134.09967464994,53.5558568250535,52.5879310639077,56.7502476269168,60.3554988182369,97.1809087917703,56.1759484591826,94.2744375053876,54.5624446175411,66.4496326177948,116.090270005584,69.0577821285335,92.1824128481448
"Sym_100437_c0_g1",109.140252446492,135.503655124021,103.609598551109,73.6216060846321,101.398926460768,90.3166304452375,149.38144704351,95.2994670918358,107.983080885816,84.5681166506653,68.7748767453754,111.77174714441,82.9652840793915,72.5603690795393,87.232790482896,97.4224017915441,89.9669519631026,96.8209294972437,80.8046858153253,117.067372683757,123.323542393977,73.6286353146295,121.742006963187,98.814699694088,98.3481253976801,99.0257748595691,98.7958274507716,116.701672316105,110.591361525592,99.4904615857376,114.317447224407,104.652826662039,107.111713650107,98.8422791894616,85.1253714403752,85.937370794407,106.181125262011,94.1446725165748,109.062584565056,90.1750581703075,90.5180034872323,100.241066476453,99.4847447806543,100.944305554503
"Sym_100629_c0_g1",83.9540403434553,174.843425966479,195.707019485428,110.432409126948,137.612828768185,174.182073001529,209.134025860914,119.124333864795,190.255904417866,145.351450493331,127.233521978945,233.704562211039,202.435293153715,193.494317545438,147.62472235567,147.937721239011,93.8785585701941,172.894516959364,258.574994609041,192.324969409029,127.50400145818,118.938564739017,137.621399175776,138.340579571723,194.100824300417,168.151534203288,150.379489571086,125.690855183697,157.53210090439,129.085725475166,131.566529497912,101.475109253272,103.216742244649,147.783601894923,123.088436633724,154.266440098723,213.00512312904,225.480931463636,206.7875897177,224.021853449665,218.394304367461,192.248780470241,248.40032308489,165.380724832513
"Sym_100793_c2_g1",92.3494443778008,65.5662847374295,138.146131401479,92.0270076057901,61.5636339226091,141.926133556802,131.455673398289,107.211900478315,92.5569264735566,137.423189557331,85.9685959317193,152.416018833286,136.063065890202,120.933948465899,104.008327114222,86.5976904813726,82.1437387489198,131.399832889116,122.823122439294,83.619551916969,110.782165201369,101.947341204872,100.569484013067,197.629399388176,120.872719621654,126.810676737642,137.556432320838,121.590526156374,121.050982800216,129.715411940898,123.44931431038,134.735218131694,122.691599271941,101.721180525077,108.836091339293,87.5985313123401,66.215878316774,104.469500988322,87.9894750050284,108.798168009827,106.528702369945,100.44690028852,103.015518603767,114.452223476806
"Sym_100802_c0_g1",134.326464549528,109.277141229049,138.146131401479,110.432409126948,177.448121306344,109.670194112074,89.628868226106,190.598934183672,128.551286768829,110.995653103998,137.549753490751,152.416018833286,112.832786347972,145.120738159079,130.849185724344,133.504772825449,121.259804819834,110.652490853993,132.519684737133,150.515193450544,140.045378650787,135.929788273162,116.448876225657,79.0517597552704,120.687332014872,129.598781078349,120.847600146273,154.393158374955,130.872822289801,136.851858552534,138.838201436743,165.453153083102,171.378741840171,134.924509262508,125.161505040186,123.368854465167,111.002669799641,120.789391153341,121.509275006944,118.273083542215,109.144829638362,133.586144031249,123.057852364379,129.968075144315
"Sym_101037_c0_g1",151.117272618219,144.245826422345,92.0974209343193,141.108078328878,152.098389691152,148.377321445747,125.480415516548,178.686500797192,128.551286768829,116.281160394665,103.162315118063,152.416018833286,179.205013611486,172.762783522713,110.718541766753,162.370669652574,132.994624641108,145.231394245866,174.538121361103,150.515193450544,163.037903503902,101.947341204872,105.862614750597,108.696169663497,143.119232435455,154.595578615716,162.133958717146,106.923964635566,132.5310549309,151.334647264381,158.285696156871,99.1447831535105,172.677065641991,127.823219301323,142.1347526181,147.843286096048,112.502705878014,162.088705040329,145.047075743583,157.044002272444,133.631780870746,132.762808782982,135.31171445636,124.309352771459
"Sym_101057_c0_g1",176.303484721256,126.761483825697,155.414397826664,177.918881371194,141.234218998927,148.377321445747,233.035057387876,214.423800956631,128.551286768829,229.919567143996,244.150812446083,162.577086755505,228.984184059121,120.933948465899,228.147298186036,205.66951489326,199.491936961662,165.978736280989,197.163433389394,183.963014217332,169.308592100206,152.921011807307,195.845837288605,138.340579571723,157.579465764426,176.323564167427,158.636761285261,297.904674331246,183.298485019926,193.943431445615,187.372383912194,262.055762309599,194.748570272922,160.642694527339,175.174280346099,164.011915137264,194.254672149371,158.980154532706,200.25615809968,148.331436265651,136.875778683584,219.624677475104,151.927120682774,200.245756226564
"Sym_101138_c0_g1",109.140252446492,65.5662847374295,132.390042593084,55.2162045634741,101.398926460768,96.767818334183,113.529899753068,83.3870337053563,143.977441181088,97.7818848773317,65.3361329081066,71.1274754555336,102.876952258445,134.754971147716,57.0368245465089,122.680061515278,58.6740991063713,89.9051488188691,135.751872169746,117.067372683757,68.9775745593431,90.6198588487747,89.9832225380075,88.9332297246792,113.457215350387,106.332531062799,88.1099464088986,93.5190428154731,70.6662217822123,79.5503901708746,61.8937658049305,67.791304720349,116.524561213298,98.6503524337539,97.1750815529398,108.972129976413,65.7872965800959,111.574759291459,90.700635299301,90.0661510952226,100.668577288691,107.856917522919,116.307843584899,95.2855831816467
