gene,pval
Oarb_100001_c0_g1,-0.791631501691852
Oarb_100009_c0_g1,-0.296617751741826
Oarb_100012_c0_g1,0.0636533001057658
Oarb_100015_c0_g1,-0.116629939392394
Oarb_100023_c0_g1,-1.66992247927732
Oarb_100037_c0_g1,-0.0649387377610278
Oarb_100054_c0_g1,-0.204918803307104
Oarb_100054_c2_g1,0.773481878903459
Oarb_100054_c2_g2,0.184751871241265
Oarb_100054_c2_g3,-0.226236372220387
Oarb_100054_c2_g4,-0.0438675632572513
Oarb_100054_c2_g6,0.227773512497356
Oarb_100058_c0_g1,0
Oarb_100059_c0_g1,-1.27384148365196
Oarb_100078_c0_g1,-0.557332731077345
Oarb_100106_c0_g1,-2.38469997217077
Oarb_100107_c0_g1,0
Oarb_100115_c0_g1,-0.562929928389735
Oarb_100118_c0_g1,-0.211540551392222
Oarb_100120_c1_g1,0
Oarb_100138_c0_g1,-0.417923801195511
Oarb_100172_c0_g1,-4.01000501747066
Oarb_100175_c1_g1,0.58822184946543
Oarb_100175_c1_g2,0
Oarb_100181_c0_g1,0
Oarb_100181_c1_g1,-1.36918329461471
Oarb_100188_c0_g1,-0.576201787765772
Oarb_100193_c0_g1,-13.658957472463
Oarb_100202_c0_g1,-4.68994867708496
Oarb_100214_c0_g1,-0.125540088465304
Oarb_100217_c0_g1,-1.38480831043967
Oarb_100218_c0_g1,0.0326119624223146
Oarb_100229_c0_g1,-6.89734934063643
Oarb_100239_c0_g1,-0.199645637230018
Oarb_100248_c1_g1,1.16602605487725
Oarb_100254_c0_g1,-0.930254836349195
Oarb_100266_c0_g1,0.0241704673526601
Oarb_100268_c0_g1,0
Oarb_100277_c0_g1,-0.457791077166907
Oarb_100283_c0_g1,0.378562174158967
Oarb_100298_c1_g2,-0.762058618258834
Oarb_100302_c1_g1,-1.00082507480328
Oarb_100314_c0_g1,-0.012725640838843
Oarb_100337_c0_g1,0.404977537515701
Oarb_100343_c0_g1,-0.533841121986349
Oarb_100352_c0_g1,-0.353972500364729
Oarb_100364_c0_g1,-0.0431712485594166
Oarb_100378_c0_g1,-0.0923469043866778
Oarb_100389_c0_g1,0.0327921593057314
Oarb_100397_c0_g1,-0.922082606724158
Oarb_100414_c0_g1,-1.92982282144556
Oarb_100462_c0_g1,0
Oarb_100473_c0_g1,0.049658557200688
Oarb_100478_c0_g1,-0.493780632478112
Oarb_100484_c0_g1,-0.15534446831934
Oarb_100494_c2_g1,1.83557966769243
Oarb_100496_c0_g1,-0.343799234832664
Oarb_100497_c0_g1,-0.116629939391168
Oarb_100499_c0_g4,-0.141475577466701
Oarb_100499_c0_g5,-0.241259644628683
Oarb_100510_c0_g1,0.473593643810551
Oarb_100535_c0_g1,-0.504725015483676
Oarb_100544_c0_g2,-7.97153224739825
Oarb_100547_c0_g1,0.0491161038555043
Oarb_100548_c0_g2,-0.226236372206971
Oarb_100551_c0_g1,0.0326119624223136
Oarb_100562_c0_g1,-0.791426585977685
Oarb_100563_c0_g1,-0.121016948467544
Oarb_100565_c0_g1,-0.884489701466528
Oarb_100565_c1_g1,0
Oarb_100565_c1_g2,0.0326119624223146
Oarb_100576_c0_g1,-0.729568435619954
Oarb_100583_c0_g2,-1.13235668783298
Oarb_100590_c0_g1,-0.0431712485511368
Oarb_100615_c0_g1,-3.15224737251087
Oarb_100625_c1_g1,0.00736011586835211
Oarb_100625_c1_g2,-0.0698593633085635
Oarb_100631_c0_g1,-0.256210550361659
Oarb_100638_c1_g1,0.0142620993119783
Oarb_100640_c0_g1,0.0326119624223146
Oarb_100649_c0_g1,1.49403294194086
Oarb_100655_c1_g1,-0.545090608873202
Oarb_100663_c1_g2,0.0326119624223146
Oarb_100663_c1_g3,0
Oarb_100665_c2_g1,-0.513739848703772
Oarb_100670_c0_g1,0.0539504058558013
Oarb_100671_c0_g1,-0.893617773614403
Oarb_100674_c0_g1,-1.28739496302479
Oarb_100676_c1_g1,-0.226237758512346
Oarb_100678_c1_g1,-0.121016847795856
Oarb_100696_c0_g1,0.359291902689744
Oarb_100698_c0_g1,-1.27521836884921
Oarb_100698_c1_g1,-11.6149602008314
Oarb_100700_c1_g1,-5.62067300313811
Oarb_100702_c0_g1,-2.88024238172916
Oarb_100719_c3_g1,-0.00371802220034
Oarb_100728_c0_g1,0.872200965317641
