gene,pval
Sym_100008_c0_g1,0.320392856633686
Sym_100008_c0_g2,-0.0376841939904128
Sym_100008_c0_g3,0.62307397100348
Sym_100036_c0_g1,1.43703745913507
Sym_100044_c0_g1,0.0945638454756875
Sym_100066_c0_g1,0.654100700434056
Sym_100071_c0_g1,0.206308764499063
Sym_100075_c2_g1,0.172191773269094
Sym_100075_c2_g2,1.15888098038995
Sym_100097_c0_g1,-0.352711543976858
Sym_100097_c0_g3,0.507189563643273
Sym_100100_c0_g2,-0.760414623300573
Sym_100110_c0_g3,0.309115203603955
Sym_100136_c0_g1,0.7144156607904
Sym_100136_c0_g3,0.261564637950606
Sym_100168_c0_g1,-0.5627628515985
Sym_100192_c0_g1,0.363839203568321
Sym_100207_c0_g1,0.07862901164528
Sym_100207_c0_g2,0.826962070565187
Sym_100213_c0_g1,-1.16648804656577
Sym_100228_c1_g1,0.172190991300369
Sym_100230_c0_g1,-0.160976780039165
Sym_100230_c0_g3,-0.227145264822794
Sym_100232_c0_g1,0.202406718771187
Sym_100232_c0_g2,-0.0308415013513668
Sym_100246_c0_g1,0.241055108966499
Sym_100246_c0_g3,1.09962825397289
Sym_100252_c0_g1,-0.0648769720168975
Sym_100267_c0_g2,-0.132489377676004
Sym_100267_c0_g3,0.00592072558514606
Sym_100278_c0_g1,0
Sym_100304_c0_g2,0.0173353435391126
Sym_100317_c0_g1,1.35443994381194
Sym_100317_c0_g2,0.842194805334845
Sym_100330_c0_g1,0.119181274969913
Sym_100339_c0_g1,0.0698456731972652
Sym_100341_c0_g1,-0.13248858656967
Sym_100346_c0_g1,-0.242597950114957
Sym_100365_c0_g2,0.710621715620078
Sym_100382_c0_g5,-1.86507676710294
Sym_100387_c0_g1,0.0157606319012475
Sym_100410_c0_g1,-2.99537655885546
Sym_100410_c0_g4,0.784258845391974
Sym_100437_c0_g1,1.86608193766249
Sym_100437_c0_g2,-0.33614346775042
Sym_100439_c1_g1,5.51053194689181
Sym_100466_c0_g1,-0.264750257036657
Sym_100467_c0_g1,-1.92949647622822
Sym_100475_c0_g1,-0.0308415013513668
Sym_100490_c0_g1,0.118785686552805
Sym_100492_c0_g1,0.721282344221462
Sym_100493_c0_g1,0.159194560456048
Sym_100511_c0_g1,0.298892989455622
Sym_100536_c1_g2,-0.37968070722204
Sym_100536_c1_g4,0.624904355235464
Sym_100539_c0_g1,1.46215800984922
Sym_100541_c0_g1,-0.2573832079864
Sym_100546_c0_g1,0.595217327974088
Sym_100571_c0_g1,0.120791360306835
Sym_100572_c0_g3,-0.355035933249515
Sym_100588_c0_g2,0.656843871051315
Sym_10059_c0_g1,0
Sym_100611_c0_g1,0.0812166931584146
Sym_100611_c0_g2,-0.840520974966724
Sym_100629_c0_g1,-0.57006577117963
Sym_100635_c0_g1,-0.183502253205127
Sym_100639_c0_g1,-0.0510911648027326
Sym_100639_c1_g1,0.29636189879307
Sym_100639_c2_g1,1.19138058006469
Sym_100642_c0_g1,0.45950417956877
Sym_100645_c0_g1,-0.171739823941687
Sym_100665_c0_g1,-0.0494522696998523
Sym_100679_c0_g1,-0.874475696747936
Sym_100693_c0_g1,-1.16393630283543
Sym_100694_c0_g1,-0.629667581081037
Sym_100703_c0_g1,0.508486069502148
Sym_100705_c0_g1,-0.908022010448849
Sym_100716_c0_g1,1.8476615175086
Sym_100716_c0_g2,0.0525312566214386
Sym_100730_c0_g1,1.33812227951528
Sym_100737_c0_g1,0.364418568103047
Sym_100738_c0_g1,-0.0390120210589135
Sym_100743_c0_g1,-0.0538000218082936
Sym_100761_c0_g1,0.205551905110175
Sym_100761_c0_g3,0
Sym_100761_c0_g4,0.0525312566214386
Sym_100764_c6_g1,0.169675049427536
Sym_100770_c0_g1,-2.762272615075
Sym_100773_c0_g1,0.876874883773273
Sym_100778_c0_g2,0.0979518136617937
Sym_100778_c0_g3,0
Sym_100778_c0_g4,0.0479997555946155
Sym_100782_c0_g1,-0.284877708399152
Sym_100792_c0_g1,-0.640479289422641
Sym_100793_c2_g1,-0.36030535198248
Sym_100793_c2_g2,0.172191773269094
Sym_100793_c2_g4,1.49409480806132
Sym_100794_c0_g1,0
Sym_100802_c0_g1,0.487174771928767
Sym_100806_c0_g1,-0.921519813992799
Sym_100806_c1_g1,0.894429500301508
Sym_100816_c0_g1,-0.33338599898031
Sym_100834_c0_g1,0
Sym_100842_c0_g1,-0.563763714723687
Sym_100842_c0_g2,0.0358968991304602
Sym_100842_c0_g3,-0.13248858656967
Sym_100866_c0_g1,0.907794657241144
Sym_100888_c0_g1,-0.0606266303582598
Sym_100888_c1_g1,-0.0416341747733904
Sym_100898_c0_g1,0.172190991300369
Sym_100917_c0_g1,0.0244581541870918
Sym_100918_c2_g1,0.737750537076929
Sym_100921_c0_g1,0.0948357480931621
Sym_100952_c0_g1,-0.691115765363707
Sym_100952_c0_g2,0.0554488180888035
Sym_100968_c0_g1,0.249549241712731
Sym_100969_c0_g1,0.243648628158879
Sym_100977_c1_g1,-0.150678292596499
Sym_100987_c6_g1,-0.0664107612009186
Sym_101035_c0_g2,0
Sym_101037_c0_g1,0.292115778445446
Sym_101045_c0_g1,0.356052459607067
Sym_101046_c0_g1,-0.457399638781023
Sym_101049_c0_g1,0
Sym_101057_c0_g1,-1.52848438583321
Sym_101084_c0_g1,-0.0308421281018934
Sym_101085_c0_g1,0.439819594018989
Sym_101087_c1_g1,1.25844068563161
Sym_101098_c0_g1,-0.0308421281018934
Sym_101102_c1_g1,-1.43044378399611
Sym_101115_c0_g2,-0.234176901714561
Sym_101115_c0_g3,0
Sym_101136_c0_g1,-1.08409033055852
Sym_101138_c0_g1,-1.94728963831933
Sym_101146_c0_g2,0.0852480706861092
Sym_101148_c0_g1,1.02053009244579
Sym_101158_c0_g1,0.754165154363644
Sym_101173_c0_g1,0.645726750762542
Sym_101178_c0_g1,0
Sym_101178_c0_g2,0.124780917060996
Sym_101196_c1_g1,0.104172122725932
Sym_10119_c0_g1,-0.278605070850022
Sym_101203_c0_g1,-1.87702956097855
Sym_101203_c1_g2,0.150213726238925
