gene,pval
Oarb_100001_c0_g1,0.331607605917453
Oarb_100009_c0_g1,0.610354246678148
Oarb_100012_c0_g1,4.73157372087467
Oarb_100015_c0_g1,0
Oarb_100023_c0_g1,-1.12356143601215
Oarb_100037_c0_g1,-0.544593541523727
Oarb_100054_c0_g1,-0.0207878546068052
Oarb_100054_c2_g1,-1.92605895687258
Oarb_100054_c2_g2,0.124280898762806
Oarb_100054_c2_g3,0
Oarb_100054_c2_g4,-2.00142241302187
Oarb_100054_c2_g6,-0.350424632037579
Oarb_100058_c0_g1,0.00739241464893047
Oarb_100059_c0_g1,-1.72729988992925
Oarb_100078_c0_g1,-0.338816408358529
Oarb_100106_c0_g1,-1.08175041729582
Oarb_100107_c0_g1,-0.220772525437394
Oarb_100115_c0_g1,-2.23304158463598
Oarb_100118_c0_g1,-1.05173764095188
Oarb_100120_c1_g1,0.00739474937497493
Oarb_100138_c0_g1,-0.232986449508131
Oarb_100172_c0_g1,-4.15163079603207
Oarb_100175_c1_g1,0.0333413131113856
Oarb_100175_c1_g2,0
Oarb_100181_c0_g1,0
Oarb_100181_c1_g1,-0.811752278334798
Oarb_100188_c0_g1,1.82430559035884
Oarb_100193_c0_g1,-9.9518225018015
Oarb_100202_c0_g1,-1.12586322840657
Oarb_100214_c0_g1,0.300749778785274
Oarb_100217_c0_g1,-0.993509345775734
Oarb_100218_c0_g1,0
Oarb_100229_c0_g1,-5.91623021943399
Oarb_100239_c0_g1,-0.029288186510212
Oarb_100248_c1_g1,1.12306369137162
Oarb_100254_c0_g1,-2.14503418065602
Oarb_100266_c0_g1,0.180813728575677
Oarb_100268_c0_g1,0.0325770513129338
Oarb_100277_c0_g1,0
Oarb_100283_c0_g1,0
Oarb_100298_c1_g2,-1.01605605323662
Oarb_100302_c1_g1,-0.963856998575089
Oarb_100314_c0_g1,0.641493543617875
Oarb_100337_c0_g1,-0.044931347150106
Oarb_100343_c0_g1,0.00945473367362946
Oarb_100352_c0_g1,0.604331677230894
