gene,pval
Sym_100100_c0_g2,1.00690014511294
Sym_100230_c0_g1,7.56427119537209
Sym_100246_c0_g3,-2.12017786624143
Sym_100437_c0_g1,-1.61420139962107
Sym_100629_c0_g1,11.4082766472019
Sym_100793_c2_g1,-8.40790903913034
Sym_100802_c0_g1,-3.78719851562398
Sym_101037_c0_g1,-0.0650188639979865
Sym_101057_c0_g1,-2.11270802275807
Sym_101138_c0_g1,1.8944158638651
Sym_101210_c1_g3,1.57737204608949
Sym_101261_c1_g1,-5.5589354340456
Sym_101299_c0_g1,-2.83305822925891
Sym_101312_c0_g2,-1.65668575837161
Sym_101326_c0_g1,2.0589266950936
Sym_101441_c0_g1,4.03615717160321
Sym_101501_c0_g1,4.26404175480794
Sym_101501_c0_g2,-0.889639787503878
Sym_101543_c0_g2,-14.2797868972504
Sym_101543_c0_g3,-4.89718771085238
Sym_101592_c0_g2,-65.616071435005
Sym_101592_c0_g3,4.60054215762876
Sym_101757_c0_g1,0.645230486743328
Sym_101806_c0_g1,0.146603686666688
Sym_101851_c0_g1,-11.2129859343287
Sym_101880_c0_g1,12.4170295280226
Sym_101976_c0_g1,-1.30612850818497
Sym_102324_c0_g5,0.0384568994769897
Sym_102382_c3_g3,-2.8157008561839
Sym_102395_c0_g1,104.540981855199
Sym_102471_c7_g1,5.85173036538983
Sym_102539_c1_g2,0.539212022036285
Sym_102539_c1_g5,1.02187419321653
Sym_102539_c1_g9,-0.778035858298376
Sym_102636_c0_g1,-19.8049067184279
Sym_102664_c0_g1,0.582119192456773
Sym_102695_c0_g1,-3.62109650117279
Sym_102774_c0_g1,-0.406773381000581
Sym_102797_c0_g2,-27.0532080574812
Sym_102806_c2_g3,-19.2750078186182
Sym_102806_c2_g4,-0.326870209517043
Sym_102873_c0_g2,-2.40310292906396
Sym_102902_c2_g1,-25.0345326635976
Sym_103005_c0_g1,-7.62230829332071
Sym_103012_c3_g1,-5.09746748918821
Sym_103171_c0_g1,-0.481213133320156
Sym_103259_c1_g1,6.32613155206135
Sym_103259_c1_g2,7.19510850093122
Sym_103259_c1_g4,-1.5999576689215
Sym_103259_c2_g1,-10.5884587345345
Sym_103301_c0_g1,-0.554998438841137
Sym_103490_c0_g1,1.2693397237171
Sym_103496_c0_g1,0.168948713506731
Sym_103660_c1_g1,2.17374401104432
Sym_103755_c0_g1,-4.19956547733819
Sym_103763_c6_g1,1.90985980418954
Sym_103763_c6_g2,2.79653794446252
Sym_103894_c0_g1,-1.34694555371476
Sym_103894_c0_g2,1.18610019880689
Sym_103894_c0_g4,-7.02187325294281
Sym_104048_c2_g7,-0.148297552586957
Sym_104174_c0_g1,-4.70723691153409
Sym_104246_c3_g2,6.55429433040977
Sym_104246_c5_g1,0.771179829913581
Sym_104246_c5_g4,2.14317205858815
Sym_104264_c2_g1,0.74084181046312
Sym_104397_c2_g9,-1.18250726920439
Sym_104594_c0_g1,-19.2045331928028
Sym_104762_c1_g5,-7.36257212762531
Sym_104781_c1_g2,1.06387904998423
Sym_104866_c10_g1,-8.07200951333904
Sym_105077_c3_g2,-0.0810302616084289
Sym_105147_c1_g1,-0.706812333312426
Sym_105147_c1_g2,-0.445023576071036
Sym_105388_c1_g2,-2.48408724060527
Sym_105558_c0_g1,16.4841391411572
Sym_105819_c0_g1,-3.58814045423916
Sym_105943_c4_g1,-0.36802338896311
Sym_106497_c4_g4,-1.52028579129479
Sym_106752_c2_g1,-1.20269754520888
Sym_106752_c4_g4,-0.737533373520705
Sym_106900_c1_g4,-3.11413057761897
Sym_106992_c0_g1,7.34336609374199
Sym_107127_c2_g8,3.84478536061489
Sym_107242_c3_g1,3.7597350569073
Sym_107300_c1_g1,-0.755168019126855
Sym_107369_c2_g3,-4.96270623768406
Sym_107499_c4_g1,0.620052927131877
Sym_107578_c2_g1,-0.979496385660103
Sym_107578_c2_g2,-0.437843724314494
Sym_107647_c1_g2,-8.96978267648769
Sym_107783_c2_g1,1.1367329533967
Sym_107887_c2_g1,-0.403222736282258
Sym_108316_c1_g1,-2.76275002611844
Sym_108329_c1_g2,-14.5353725037214
Sym_108395_c0_g2,-2.8369730472274
Sym_108429_c4_g2,2.8262133889413
Sym_108429_c4_g6,1.38285117634376
Sym_108771_c2_g1,5.60687739262621
Sym_109060_c7_g1,-6.64417199514519
Sym_109253_c1_g1,2.11191169937681
Sym_109253_c1_g2,-3.56018855098521
