"","C4","C5","C9","D4","D5","D6","E10","E11","E3","F7","F8","F9","H1","I1","I2","I3","J13","J14","J15","K2","K3","L6","M2","M3","N4","O2","Q1","Q11","Q4","R7","R8"
"evm.TU.chromosome_14.866",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_14.867",2,3,3,6,12,6,5,2,9,4,9,5,4,9,6,3,9,12,2,3,4,8,0,3,4,6,3,5,20,2,4
"evm.TU.chromosome_14.868",0,0,1,0,5,5,1,1,0,2,3,1,1,2,4,2,4,6,0,2,0,1,0,1,0,0,1,0,18,4,7
"evm.TU.chromosome_14.869",1,4,4,1,0,1,1,5,12,1,0,1,0,24,0,7,18,0,11,0,0,21,4,21,0,1,10,13,1,5,0
"evm.TU.chromosome_14.87",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,2,0,1,0,0,1,1,1,0,0,0,1,0
"evm.TU.chromosome_14.870",0,0,0,0,0,0,1,0,0,1,5,2,0,3,0,0,0,2,0,0,0,2,0,0,3,0,0,0,0,0,1
"evm.TU.chromosome_14.871",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_14.872",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"evm.TU.chromosome_14.873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_14.874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_14.875",2,4,6,10,43,26,2,4,22,5,6,14,4,11,18,7,7,11,8,11,6,9,2,10,6,8,6,15,28,4,21
"evm.TU.chromosome_14.876",4,6,14,5,8,22,11,12,42,6,8,15,8,40,13,12,24,31,15,11,8,16,6,32,10,9,2,12,26,3,5
"evm.TU.chromosome_14.877",0,1,1,1,1,1,2,4,4,0,4,5,8,13,5,6,4,4,3,12,4,14,2,10,2,0,1,8,2,3,1
"evm.TU.chromosome_14.878",0,1,0,0,0,0,0,3,1,0,0,4,3,2,1,0,1,7,0,1,1,2,1,3,0,0,1,2,2,1,2
"evm.TU.chromosome_14.879",8,2,6,4,10,10,1,4,9,0,4,7,12,38,14,8,2,5,1,6,3,4,2,11,2,9,3,5,7,4,3
"evm.TU.chromosome_14.88",0,3,2,4,1,2,1,1,1,1,0,0,4,3,0,3,2,0,0,2,1,2,1,0,1,1,2,2,2,1,0
"evm.TU.chromosome_14.880",2,0,2,1,0,1,2,2,4,1,2,3,1,7,0,0,5,3,4,3,3,17,0,9,1,2,1,3,3,3,1
"evm.TU.chromosome_14.881",2,11,15,15,17,42,9,18,36,8,9,20,9,19,5,4,64,40,29,12,15,16,8,22,24,16,7,21,15,15,8
"evm.TU.chromosome_14.882",2,2,6,0,0,3,1,0,4,5,1,2,1,9,0,3,10,3,3,3,1,4,1,7,9,2,3,2,3,6,5
"evm.TU.chromosome_14.883",0,1,1,0,0,0,0,1,2,0,1,2,1,0,1,0,2,3,1,0,0,0,0,1,1,0,0,0,1,1,0
"evm.TU.chromosome_14.884",18,19,8,10,13,22,7,12,12,27,11,18,10,52,7,16,45,22,8,6,8,21,7,16,19,7,7,23,23,21,31
"evm.TU.chromosome_14.885",5,1,0,1,2,5,12,2,8,2,9,14,3,11,7,4,11,26,3,12,1,8,7,5,5,7,0,3,12,3,7
"evm.TU.chromosome_14.886",1,1,3,3,2,1,0,2,1,4,0,3,2,7,1,1,10,6,3,1,0,1,0,2,2,1,4,4,5,3,2
"evm.TU.chromosome_14.887",1,1,6,10,4,2,8,2,4,9,6,24,17,15,4,9,24,11,6,7,7,7,3,5,23,12,17,9,72,8,27
"evm.TU.chromosome_14.888",4,3,4,3,5,3,2,3,5,4,4,6,5,9,0,2,5,1,3,4,2,5,2,4,5,0,5,3,1,4,3
"evm.TU.chromosome_14.889",0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"evm.TU.chromosome_14.89",0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_14.890",5,4,5,12,5,13,10,9,9,8,4,11,3,21,6,3,12,7,1,2,2,8,6,7,12,4,3,7,9,10,12
"evm.TU.chromosome_14.891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_14.892",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"evm.TU.chromosome_14.893",10,11,8,6,28,15,6,7,15,8,3,21,4,103,38,25,20,20,9,36,8,3,7,11,32,50,7,12,40,30,87
"evm.TU.chromosome_14.894",0,0,0,1,2,1,0,0,0,0,1,0,1,2,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0
"evm.TU.chromosome_14.895",0,7,6,8,8,6,1,10,9,2,1,10,3,20,3,3,11,7,7,6,0,6,1,1,12,4,3,8,6,6,2
"evm.TU.chromosome_14.896",2,0,0,1,3,0,2,0,3,0,0,3,2,5,2,2,3,2,1,0,1,2,1,0,3,1,1,3,1,0,1
"evm.TU.chromosome_14.897",2,0,1,1,5,2,3,2,3,1,4,0,1,5,6,4,5,10,1,5,0,1,2,1,5,4,3,4,16,4,6
"evm.TU.chromosome_14.898",9,3,0,4,10,1,7,0,3,1,9,4,2,6,14,0,4,24,1,3,5,0,1,0,3,4,0,2,19,1,17
"evm.TU.chromosome_14.899",0,9,6,2,1,6,2,3,8,4,2,4,4,11,1,8,8,5,5,1,4,2,3,1,8,3,8,4,11,1,4
"evm.TU.chromosome_14.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_14.90",2,0,1,0,2,2,0,1,0,2,0,2,0,1,0,3,6,6,1,1,1,0,1,3,1,2,3,1,10,2,0
"evm.TU.chromosome_14.900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_14.901",61,10,12,15,61,22,67,9,19,15,57,29,11,25,36,8,24,75,6,37,6,17,27,11,26,60,16,25,82,11,44
"evm.TU.chromosome_14.902",1,1,2,1,4,4,1,2,0,1,1,3,1,4,1,3,6,3,1,5,1,3,0,0,1,2,1,3,10,2,1
"evm.TU.chromosome_14.903",0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,0,0,0,1,0,0,0,3,0,1,1,0,1
"evm.TU.chromosome_14.904",0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,2,1,10,0,0,0,0,0,1,0,0,1,0,0,0
"evm.TU.chromosome_14.905",0,1,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0
"evm.TU.chromosome_14.906",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1
"evm.TU.chromosome_14.907",4,0,6,1,2,4,1,2,1,1,0,2,1,6,1,0,3,1,1,2,2,3,1,0,1,9,1,2,9,2,2
"evm.TU.chromosome_14.908",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"evm.TU.chromosome_14.909",2,2,5,18,21,7,12,3,9,8,16,15,22,21,8,3,35,24,17,20,23,17,14,7,16,12,7,3,18,13,15
"evm.TU.chromosome_14.91",20,4,6,7,41,4,22,4,2,2,8,11,5,15,36,3,9,43,1,23,3,8,9,1,4,8,1,8,60,8,17
"evm.TU.chromosome_14.910",3,0,0,2,2,2,1,0,1,1,0,4,1,5,2,2,2,1,0,3,2,1,0,3,0,1,0,1,9,0,2
"evm.TU.chromosome_14.911",3,1,0,4,2,2,2,1,2,1,0,6,4,17,8,10,7,1,1,7,0,2,1,4,1,2,1,3,3,3,1
"evm.TU.chromosome_14.912",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
