,A4.counts.txt,A5.counts.txt,A6.counts.txt,C4.counts.txt,C5.counts.txt,C9.counts.txt,D4.counts.txt,D5.counts.txt,D6.counts.txt,E10.counts.txt,E11.counts.txt,E3.counts.txt,F7.counts.txt,F8.counts.txt,F9.counts.txt,H1.counts.txt,H11.counts.txt,H15.counts.txt,I1.counts.txt,I2.counts.txt,I3.counts.txt,J13.counts.txt,J14.counts.txt,J15.counts.txt,K1.counts.txt,K2.counts.txt,K3.counts.txt,L6.counts.txt,L7.counts.txt,L8.counts.txt,M1.counts.txt,M2.counts.txt,M3.counts.txt,N4.counts.txt,N5.counts.txt,N6.counts.txt,O1.counts.txt,O2.counts.txt,P1.counts.txt,P2.counts.txt,P3.counts.txt,Q1.counts.txt,Q11.counts.txt,Q4.counts.txt,R7.counts.txt,R8.counts.txt,R9.counts.txt
evm.TU.chromosome_1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1003_evm.TU.chromosome_1.1005,0,15,3,1,2,1,2,3,2,0,0,3,0,3,11,3,0,3,6,4,3,1,3,0,0,2,1,2,2,3,3,0,3,2,8,3,2,2,3,4,5,0,5,0,3,1,0
evm.TU.chromosome_1.1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1008,0,0,0,0,0,0,1,0,1,1,2,0,0,1,2,1,0,3,1,2,3,0,2,0,0,0,0,0,0,0,1,0,1,0,4,0,2,1,0,0,0,0,2,0,0,1,1
evm.TU.chromosome_1.1009,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
evm.TU.chromosome_1.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
evm.TU.chromosome_1.1010,0,6,5,1,2,2,3,5,4,0,0,1,4,6,25,5,8,4,6,2,3,5,5,9,1,26,8,1,2,3,9,3,5,0,3,0,1,0,2,0,2,1,2,1,0,0,1
evm.TU.chromosome_1.1011,0,0,3,0,0,0,6,6,8,0,0,0,0,0,2,3,0,5,6,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1012,0,4,9,0,1,2,8,6,13,0,1,0,3,2,8,5,5,17,8,1,1,1,0,1,3,11,9,0,1,0,1,0,1,3,1,1,4,0,2,0,0,0,1,0,3,3,1
evm.TU.chromosome_1.1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1014,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1017,1,1,11,5,8,4,0,4,3,5,11,9,2,0,0,0,0,5,9,3,7,0,0,0,0,0,3,1,0,0,4,2,3,2,0,1,0,1,1,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1018,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1019,0,3,1,3,0,1,2,3,1,4,0,2,8,13,15,4,0,3,8,9,3,1,3,5,1,1,0,2,1,3,7,0,2,7,6,1,3,2,2,1,6,1,5,4,6,4,1
evm.TU.chromosome_1.102,0,2,4,3,4,0,0,1,4,0,0,4,1,1,3,2,2,6,3,0,0,5,3,4,2,4,3,1,0,2,6,1,2,3,3,3,3,4,1,1,1,2,5,8,1,4,2
evm.TU.chromosome_1.1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1021,0,1,0,10,17,6,0,0,3,8,0,11,6,1,9,9,1,21,1,0,0,17,7,12,4,9,9,10,9,22,12,12,26,7,40,9,23,17,11,13,7,8,9,25,5,30,7
evm.TU.chromosome_1.1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1023,10,51,89,40,30,39,39,27,60,22,47,65,26,21,78,57,25,131,148,25,51,130,69,58,16,35,33,71,38,29,120,40,38,72,134,25,79,34,65,40,46,47,96,68,69,55,19
evm.TU.chromosome_1.1024,1,8,21,25,5,5,4,39,9,6,2,4,4,6,7,8,2,7,9,5,4,6,9,1,4,15,9,1,3,1,3,1,1,1,7,1,3,2,4,2,4,2,5,22,2,5,2
evm.TU.chromosome_1.1025,4,3,6,7,9,6,3,16,7,9,6,18,5,6,9,4,6,9,32,10,11,8,7,6,3,8,4,5,10,4,10,0,2,9,34,5,14,13,6,9,7,6,11,34,3,4,1
evm.TU.chromosome_1.1026,1,2,16,15,4,11,8,35,10,9,14,11,14,8,5,8,4,15,41,6,4,22,25,8,1,8,1,17,13,6,16,15,10,13,71,0,16,17,13,14,5,11,12,54,8,34,1
evm.TU.chromosome_1.1027,0,5,4,7,1,6,5,18,2,9,10,3,0,12,8,3,2,6,26,11,6,3,16,0,0,6,4,3,13,4,9,4,0,6,23,3,15,3,13,12,6,10,7,23,8,6,1
evm.TU.chromosome_1.1028,1,33,43,26,16,14,14,40,23,14,30,20,26,59,50,17,14,58,92,37,28,32,46,7,3,31,11,40,15,22,40,11,13,32,102,10,31,30,27,15,21,24,42,107,24,32,5
evm.TU.chromosome_1.1029,0,4,13,3,1,1,2,3,4,1,3,3,9,0,11,5,0,6,29,7,13,9,5,1,0,2,0,6,0,1,7,4,4,4,7,2,5,0,7,4,2,14,16,14,8,11,3
evm.TU.chromosome_1.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1030,0,192,2,0,0,0,1,5,2,0,0,0,189,732,333,0,0,0,1,1,0,432,598,145,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,7,4,0,0,0
evm.TU.chromosome_1.1031,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1032,0,0,0,0,0,1,0,0,0,0,1,1,2,1,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
evm.TU.chromosome_1.1033,0,17,8,4,10,13,20,11,10,11,17,24,21,3,24,18,2,33,35,4,10,25,4,12,8,8,16,43,1,28,54,4,33,18,29,8,30,3,14,10,9,15,31,10,9,9,18
evm.TU.chromosome_1.1034,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0
evm.TU.chromosome_1.1035,2,1,2,3,3,5,3,0,4,2,3,5,1,2,7,11,1,7,23,1,4,22,9,12,6,2,2,0,0,0,0,0,0,22,32,9,41,9,26,12,13,0,0,0,12,3,7
evm.TU.chromosome_1.1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
evm.TU.chromosome_1.1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
evm.TU.chromosome_1.104,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1041,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,1,0,2,0,0,0,0,0
evm.TU.chromosome_1.1042,3,22,34,19,14,18,19,27,23,25,24,24,7,15,44,21,13,47,60,10,19,39,32,13,8,26,16,30,32,24,53,14,32,22,78,12,27,21,19,28,21,13,31,68,11,29,10
evm.TU.chromosome_1.1043,0,11,3,0,1,1,0,2,0,8,1,0,0,1,3,0,1,7,3,1,0,6,3,1,0,4,1,3,1,1,1,4,4,2,3,1,2,3,3,2,1,2,2,2,3,2,2
evm.TU.chromosome_1.1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1045,16,332,275,450,262,548,488,981,308,900,377,358,185,562,520,624,421,548,1126,817,263,651,1154,165,153,706,238,483,770,210,707,206,223,783,2327,348,1114,681,982,1012,478,701,649,1535,405,521,220
evm.TU.chromosome_1.1046,0,6,9,5,3,4,4,24,3,11,6,6,6,7,4,5,10,8,17,15,5,8,23,1,0,13,1,4,16,3,10,3,5,2,51,0,9,10,8,10,7,7,7,45,3,17,1
evm.TU.chromosome_1.1047,0,0,4,0,0,1,0,0,0,0,1,3,0,0,3,1,0,0,0,0,0,2,2,2,0,1,1,0,0,1,1,0,1,2,0,0,1,0,0,0,1,0,0,1,0,0,0
evm.TU.chromosome_1.1048,0,0,0,0,1,0,1,8,0,0,0,1,0,1,0,1,0,1,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,6,0,0,1
evm.TU.chromosome_1.1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.105,1,4,19,0,0,1,12,1,2,0,5,5,3,2,9,37,7,64,2,0,2,1,0,0,6,2,2,2,2,1,6,0,1,19,21,10,12,2,15,1,7,1,7,4,5,4,0
evm.TU.chromosome_1.1050,0,1,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,2,0,0,0,6,0,2,4,2,3,1,0,0,5,2,3,1
evm.TU.chromosome_1.1051,0,0,0,0,2,3,1,0,0,1,1,0,0,0,2,0,0,2,8,0,0,2,0,1,0,0,0,2,0,0,4,1,1,2,1,0,0,0,0,1,0,0,2,0,2,3,3
evm.TU.chromosome_1.1052,0,2,4,4,1,5,11,5,10,6,8,3,3,4,4,7,5,9,10,5,2,10,2,1,0,9,0,6,7,6,9,1,2,12,17,1,11,7,8,5,5,4,6,9,5,3,1
evm.TU.chromosome_1.1053,0,1,4,0,1,0,3,3,1,0,0,2,3,4,3,6,8,11,5,2,1,0,0,0,5,7,8,0,2,3,2,2,1,1,2,1,2,2,0,0,1,1,0,1,1,1,0
evm.TU.chromosome_1.1054,1,4,12,9,7,14,5,4,6,1,7,7,6,2,6,7,2,14,27,6,4,15,8,4,1,10,1,11,5,8,17,2,4,6,21,2,14,5,6,7,8,4,12,15,14,10,2
evm.TU.chromosome_1.1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1056,0,9,1,0,0,1,1,0,1,0,0,0,1,2,2,1,0,0,2,1,0,2,2,0,0,0,0,1,1,0,1,2,1,2,5,0,1,4,0,3,2,0,0,2,1,2,1
evm.TU.chromosome_1.1057,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1058,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.106,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1,1,5,3,0,4,1,3,0,0,0,1,0,0,1,1,0,0,0,5,3,0,0,0,0,1,0,0,3,0,0,0
evm.TU.chromosome_1.1060,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
evm.TU.chromosome_1.1061,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
evm.TU.chromosome_1.1063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1064,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1066,0,3,3,2,0,2,7,7,6,5,2,2,1,3,4,2,0,0,13,3,3,12,15,5,1,5,0,4,4,2,4,1,2,6,17,3,12,4,9,7,1,4,5,10,1,1,3
evm.TU.chromosome_1.1067,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,3,1,1,0,2,1,0,0,0,1,1,0,2,3,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0
evm.TU.chromosome_1.1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.107,0,0,0,1,1,2,1,1,3,4,0,3,0,0,0,1,1,3,8,2,1,3,2,0,1,2,2,1,0,0,5,0,7,2,7,0,1,4,1,2,2,2,6,2,6,2,0
evm.TU.chromosome_1.1070,0,10,4,7,14,22,10,5,5,4,16,8,3,1,11,15,2,24,15,11,8,23,18,8,1,2,5,9,3,3,7,2,7,11,13,7,15,5,12,8,8,1,5,5,8,8,3
evm.TU.chromosome_1.1071,0,0,2,0,4,2,5,1,3,0,4,1,0,0,0,2,0,3,3,1,5,6,0,2,0,0,2,0,1,0,0,0,1,4,2,1,5,0,2,1,3,3,2,1,5,0,1
evm.TU.chromosome_1.1072,0,2,1,3,0,7,1,1,0,0,1,1,0,1,3,0,1,2,5,1,1,4,1,1,0,0,0,3,2,0,5,2,1,1,3,1,2,2,3,0,1,1,3,1,0,1,0
evm.TU.chromosome_1.1073,1,8,1,0,2,5,4,4,1,6,5,4,1,2,1,0,0,3,7,0,4,5,4,0,0,0,0,1,7,1,6,0,0,8,32,5,16,2,12,8,10,5,2,3,1,0,3
evm.TU.chromosome_1.1074,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,3,3,0,1,0,0,0,1,1,1,0,0,0,0,3,3,0,1,0,2,0,1,1,0,0,0
evm.TU.chromosome_1.1075,1,3,11,3,0,4,5,2,4,0,2,2,4,2,7,2,0,3,10,1,1,9,2,3,1,2,1,7,0,2,6,1,8,2,4,3,1,1,3,2,1,3,4,5,1,0,0
evm.TU.chromosome_1.1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1077,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,3,6,1,5,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1078,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1081,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
evm.TU.chromosome_1.1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,7
evm.TU.chromosome_1.1086,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,7
evm.TU.chromosome_1.1087,11,177,77,65,184,575,96,90,81,232,54,272,62,180,380,167,171,196,187,82,139,572,592,199,130,187,343,130,215,131,274,72,79,369,501,362,531,163,386,129,305,96,164,174,94,67,125
evm.TU.chromosome_1.1088,0,5,16,1,0,1,7,6,14,1,1,2,6,4,6,6,1,7,18,0,4,11,5,10,2,1,5,7,1,6,11,0,9,9,4,2,4,2,7,1,5,1,6,7,0,0,1
evm.TU.chromosome_1.1089,1,22,1,4,3,4,0,2,3,5,3,7,0,1,3,3,4,19,8,0,4,6,9,3,1,3,6,2,3,1,6,0,2,5,9,6,4,4,5,4,5,1,15,10,8,2,2
evm.TU.chromosome_1.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
evm.TU.chromosome_1.1090,0,8,10,1,0,0,3,0,5,0,1,2,0,2,0,0,1,6,2,0,2,0,0,1,0,2,2,0,0,1,0,0,1,3,4,2,4,0,4,2,6,0,3,0,0,1,3
evm.TU.chromosome_1.1091,0,16,1,0,0,1,1,0,0,1,2,4,1,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,4,1,1,1,0,0,0,0,0,1,0,0,0
evm.TU.chromosome_1.1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1093,0,7,29,43,15,24,14,55,17,11,7,21,3,12,21,17,8,43,65,38,23,49,67,22,5,25,13,26,26,18,38,18,21,19,128,9,34,48,14,22,11,6,36,123,40,85,19
evm.TU.chromosome_1.1094,0,5,8,2,1,1,3,4,2,5,1,2,3,9,9,3,2,2,12,7,5,5,5,1,0,4,1,4,4,2,5,2,2,3,11,0,9,3,4,0,4,0,4,10,3,2,1
evm.TU.chromosome_1.1095,0,15,14,2,4,5,7,13,6,4,5,3,5,3,7,5,1,9,31,14,12,7,1,0,0,0,1,34,22,10,33,11,20,17,18,2,23,16,8,10,8,1,4,11,0,5,4
evm.TU.chromosome_1.1096,0,12,0,9,2,9,9,4,1,16,12,4,5,5,0,5,4,8,31,18,0,19,37,2,7,8,2,14,30,1,18,7,3,20,38,3,32,7,20,13,3,25,3,34,16,3,1
evm.TU.chromosome_1.1097,0,7,10,0,7,3,5,3,7,3,4,8,8,0,16,5,1,18,17,3,5,13,4,1,1,3,2,9,1,5,11,1,12,7,3,3,11,3,13,1,8,2,11,9,5,6,0
evm.TU.chromosome_1.1098,0,3,3,2,0,1,1,9,3,0,1,1,1,1,6,0,0,1,2,1,0,3,1,1,1,0,2,1,0,1,0,0,2,2,8,0,2,0,2,2,2,2,2,4,2,0,0
evm.TU.chromosome_1.1099,0,21,15,76,9,18,9,122,15,87,12,38,17,85,20,11,71,40,30,103,10,32,88,31,6,86,16,22,81,12,28,70,23,23,285,4,26,121,17,109,9,12,19,217,7,97,3
evm.TU.chromosome_1.11,1,1,5,0,2,3,1,2,3,2,0,2,3,1,2,5,1,2,2,3,1,4,3,0,0,1,0,1,2,1,3,3,2,2,8,1,2,0,1,0,0,2,2,6,1,3,0
evm.TU.chromosome_1.110,0,0,0,1,7,1,1,0,1,0,0,3,2,2,2,1,0,3,4,0,0,2,2,4,0,4,3,1,1,1,0,0,1,2,1,0,1,1,1,0,2,2,4,6,0,2,0
evm.TU.chromosome_1.1100,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,2,0,0,1,6,1,0,0,1,1,0,0,0,0,0,1,9,0,2,0,0,1,0,0,1,1,0,0,0
evm.TU.chromosome_1.1101,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_1.1102,0,0,0,0,0,4,0,1,1,1,1,1,0,0,0,2,0,4,6,0,0,3,1,1,0,4,0,1,2,1,2,0,1,3,1,2,3,0,1,0,0,1,2,0,1,1,0
evm.TU.chromosome_1.1103,0,3,1,1,4,1,1,0,3,0,0,0,1,0,2,1,1,1,3,1,0,5,3,2,0,3,0,7,1,3,2,0,0,2,2,1,1,0,1,0,0,0,1,1,2,4,2
evm.TU.chromosome_1.1104,1,4,4,2,0,4,4,7,2,1,0,2,1,2,7,3,1,6,12,6,2,5,11,0,0,8,2,4,4,2,13,1,8,3,17,1,7,3,5,4,6,3,7,19,1,11,2
evm.TU.chromosome_1.1105,0,12,14,6,8,16,14,25,13,10,2,19,3,12,24,27,6,32,38,15,12,30,29,20,3,15,11,15,13,12,23,10,18,13,44,4,23,8,21,13,15,16,22,35,16,14,10
evm.TU.chromosome_1.1106,0,20,20,27,8,17,10,27,23,10,7,25,10,11,33,14,8,27,25,14,12,25,26,17,4,10,14,13,18,13,30,9,24,9,62,11,30,7,19,9,20,11,17,20,17,27,15
evm.TU.chromosome_1.1107,0,0,1,3,0,2,2,3,2,1,0,4,0,3,4,0,1,3,12,0,1,2,8,0,0,2,4,0,4,3,12,2,2,0,9,0,2,3,1,0,0,2,3,5,1,4,1
evm.TU.chromosome_1.1108,0,4,3,2,2,6,2,0,9,2,1,11,4,1,0,6,1,11,17,4,3,14,8,7,0,3,5,11,0,5,9,1,3,5,6,2,6,1,3,1,2,4,1,3,8,6,4
evm.TU.chromosome_1.1109,0,0,2,2,4,0,0,1,1,0,4,2,0,0,2,1,0,4,5,0,4,11,2,1,1,1,0,0,1,1,2,0,0,0,3,0,4,1,3,0,0,3,5,3,3,5,1
