delta.rank	pval	level	nseqs	term	name	p.adj
-735	3.59841949556775e-4	2	191	GO:0004252;GO:0008236;GO:0017171	serine-type peptidase activity	0.0825296909391541
929	4.21426060162233e-4	2	116	GO:0008017;GO:0015631	tubulin binding	0.0825296909391541
-1323	5.23023730033232e-4	3	55	GO:0005518	collagen binding	0.0825296909391541
1124	5.37564391532276e-4	2	76	GO:0008080;GO:0016407;GO:0016410	acetyltransferase activity	0.0825296909391541
-2666	6.59182834977269e-4	2	13	GO:0043422	protein kinase B binding	0.0825296909391541
